Accession no.	Gene symbol	Cluster	Gene name/or description A	verage fold change
842802	G22P1	Hs.292493	Thyroid autoantigen 70 kDa (Ku antigen)	-4.76
729942	SPRR2C	Hs.2421	Small proline-rich protein 2C	1.09
415388	ACYP1	Hs.18573	Acylphosphatase1, erythrocyte (common) type	-1.35
39885	DBCCR1L	Hs.65765	Similar to RIKEN cDNA B830045N13, DBCCR1-like	-5.06
810813	S100A2	Hs.516484	S100 calcium binding protein A2	1.84
139009	FN1	Hs.203717	Fibronectin 1	1.24
1035889	KRT4	Hs.371139	Keratin 4	-1.75
592540	KRT5	Hs.433845	Keratin 5	1.85
877827	RPS27A	Hs.311640	Ribosomal protein S27a	-1.17
813742			In multiple clusters PTK7 protein tyrosine kinase 7, exportin 6	1.22
357892	NOTCH2NL	Hs.502564	Notch homologue 2	-2.13
214565			In multiple clusters Ribosomal protein S14	-2.55
134476	SYBL1	Hs.24167	Synaptobrevin-like 1	-2.16
122159	COL3A1	Hs.443625	Collagen, type III, alpha 1	1.49
23073	FGF2		St. Fibroblast growth factor 2 (basic)	1.6
970590	MAPK1	Hs.431850	LOC150225	1.34
868368	TMSB4X	Hs.522584	Thymosin, beta 4, X chromosome	1.15
813614	SPRR1B	Hs.1076	Small proline-rich protein 1B (cornifin)	1.09
813823	LUM	Hs.406475	Lumican	1.06
418126	U2AF1	Hs.365116	U2 (RNU2) small nuclear RNA auxiliary factor 1	-2.53
1519515	HSHIN1	Hs.270851	HIV-1induced protein Hin-1	-2.25
782513	G1P3	Hs.523847	Interferon, alpha-inducible protein (clone IFI-6-16)	1.31
50703		In multiple clusters	KIAA0169 protein, SH3-domain GRB2-like endophilin B2	-9.13
550353	PIGF	Hs.468415	Phosphatidylinositol glycan, class F	-1.66
839991	COL1A2	Hs.489142	Collagen, type I, alpha 2	1.42
549146	TRIM22	Hs.501778	Tripartite motif-containing 22	1.48
307231	ADH1B	Hs.4	Alcohol dehydrogenase IB (class I), beta polypeptide	1.25
1502206	MGAM	Hs.122785	Maltase-glucoamylase (alpha-glucosidase)	-1.99
208718	ANXA1	Hs.494173	Annexin A1	-1.09
204179	CARF	Hs.32922	Collaborates/cooperates with ARF protein	-3.2
418323	SDHA	Hs.547025	Similar to Succinate dehydrogenase flavoprotein subunit	-2.77
70692	SERPINB2	Hs.514913	Serine (or cysteine) proteinase inhibitor, clade B, member 2	-1.39
771016	PTPN18	Hs.516390	Protein tyrosine phosphatase, non ^ receptor type 18	-2.03
81331		In multiple clusters	With strong similarity to protein pir:I56326 (H. sapiens)	1.26
210646	PRKAG2	Hs.131133	Protein kinase, gamma 2 noncatalytic subunit	-1.56
810734	POLD4	Hs.523829	Polymerase (DNA-directed), delta 4	1.59
704290	ECE1	Hs.195080	Endothelin converting enzyme 1	1.29
1897302		Not in UniGene	Serine/threonine kinase 17b (apoptosis inducing)	-2.22
203514	KIAA1991	Hs.369437	Hypothetical protein FLJ00225	-1.56
796198	EFNB2	Hs.149239	Ephrin-B2	1.16
2027587	CD19	Hs.96023	CD19 antigen	-1.69
501890	cyclophilin A	Hs.505141	similar to Peptidylprolyl isomerase A, isoform 1	-1.53
258026		Hs.174273	Homo sapiens ^ transcribed sequences	-1.3
68894	FCGRT	Hs.111903	Fc fragment of IgG, receptor, transporter, alpha	-1.6
250654	SPARC	Hs.111779	Secreted protein, acidic, cysteine-rich (osteonectin)	1.26
782793		Hs.535454	Homo sapiens, similar to LOC161981	1.31
183120	CRSP6	Hs.444931	Homo sapiens ^ transcribed sequences	-2.55
220096	CNGB1	Hs.147062	Cyclic nucleotide ^ gated channel beta 1	-1.21
2306221	WNT10B	Hs.91985	Wingless-type MMTV integration site family, member 10B	-1.77
1638971	UBE3A	Hs.22543	SNRPN upstream reading frame	-1.51
202194	SPTA1	Hs.119825	Spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	-1.62
768561	CCL2	Hs.303649	Chemokine (C-C motif) ligand 2	1.13
242070		Hs.16222	Homo sapiens ^ transcribed sequences	-1.42
68049	IGFBP5	Hs.369982	Insulin-like growth factor binding protein 5	1.18
628418	GPD1	Hs.524418	Glycerol-3-phosphate dehydrogenase1 (soluble)	-1.52
245277	ITM2A	Hs.17109	Integral membrane protein 2A	1.25
487820	CEBPD	Hs.440829	CCAAT/enhancer binding protein (C/EBP), delta	-1.57
487959		Not in UniGene	Eleven nineteen lysine-rich leukemia gene-associated factor 1	-1.82
207771		Hs.37648	Sapiens cDNA FLJ31407 fis, clone NT2NE2000137	-1.39
293539		Hs.269113	With weak similarity to protein sp:P11369	1.32
810358		In multiple clusters	Acyl-Coenzyme A dehydrogenase	-1.01
1552481	LCP2	Hs.304475	Lymphocyte cytosolic protein 2	-1.37
646556	ZFp85	Hs.427120	Moderately similar to zinc finger protein 85	-1.73
1016051	ROCK1	Hs.306307	Rho-associated, coiled-coil containing protein kinase 1	-2.07
1543395	CCRK	Hs.522274	Cell cycle ^ related kinase	2.19
DNR98		Not in UniGene	DKF2-p418-K2134	-7.26
DNR110		Not in UniGene	418G-1157-Coas2	-2.25
DNR181		Not in UniGene	DKF2-p418-Do116	-3.27
DNR212		Not in UniGene	OS bibl-12	-3.41
DNR232		Not in UniGene	OS bibl-3	-2.06
DNR240		Not in UniGene	ATCC 37940 Osteonectin	1.34
DNR288		Not in UniGene	Leptin	-1.92
DNR388		Not in UniGene	Collagenase 3	-1.29
