Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
0.02	3089192	0	SFTPC	surfactant protein C	6440	8p21.3	P11686
0.03	3142381	0	FABP4	fatty acid binding protein 4, adipocyte	2167	8q21.13	P15090
0.05	3360401	0	HBB	hemoglobin, beta	3043	11p15.4	P68871
0.05	2955638	0	CLIC5	chloride intracellular channel 5	53405	6p12.3	Q9NZA1
0.05	3763390	0	TMEM100	transmembrane protein 100	55273	17q22	Q9NV29
0.06	3461981	0	TSPAN8	tetraspanin 8	7103	12q21.1	P19075
0.06	3333488	0	SCGB1A1	secretoglobin, family 1A, member 1 (uteroglobin)	7356	11q12.3	P11684
0.07	3280573	0	NEBL	nebulette	10529	10p12.31	O76041
0.07	2834472	0	SCGB3A2	secretoglobin, family 3A, member 2	117156	5q33.1	Q96PL1
0.07	3679959	0	EMP2	epithelial membrane protein 2	2013	16p13.13	P54851
0.07	3291435	0	RTKN2	rhotekin 2	219790	10q21.2	Q8IZC4
0.07	3907190	0	SLPI	secretory leukocyte peptidase inhibitor	6590	20q13.12	P03973
0.08	2514566	0	SSB	Sjogren syndrome antigen B (autoantigen La)	6741	2q31.1	P05455
0.09	2477302	0	CCDC75	coiled-coil domain containing 75	253635	2p22.2	Q8N954
0.09	3446137	0	LMO3	LIM domain only 3 (rhombotin-like 2)	55885	12p12.3	Q8TAP4
0.1	2514216	0	NOSTRIN	nitric oxide synthase trafficker	115677	2q24.3	Q8IVI9
0.1	3898355	0	FLRT3	fibronectin leucine rich transmembrane protein 3	23767	20p12.1	Q9NZU0
0.1	2707876	0	LAMP3	lysosomal-associated membrane protein 3	27074	3q27.1	Q9UQV4
0.1	2349402	0	AMY1B	amylase, alpha 1B (salivary)	280	1p21.1	P19961
0.1	2597347	0	ACADL	acyl-Coenzyme A dehydrogenase, long chain	33	2q34	P28330
0.1	3802396	0	AQP4	aquaporin 4	361	18q11.2	P55087
0.1	3662150	0	MT1M	metallothionein 1M	4499	16q13	Q8N339
0.1	2784687	0	ANKRD50	ankyrin repeat domain 50	57182	4q28.1	Q9ULJ7
0.1	3390542	0	RDX	radixin	5962	11q22.3	P35241
0.11	3813297	0	CYB5A	cytochrome b5 type A (microsomal)	1528	18q22.3	P00167
0.11	3518766	0	EDNRB	endothelin receptor type B	1910	13q22.3	P24530
0.11	2955863	0	GPR116	G protein-coupled receptor 116	221395	6p12.3	Q8IZF2
0.11	4000538	0	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)	2277	Xp22.2	O43915
0.11	2854092	0	LIFR	leukemia inhibitory factor receptor alpha	3977	5p13.1	P42702
0.11	2894711	0	TMEM14B	transmembrane protein 14B	81853	6p24.2	Q9NUH8
0.11	3667766	0	KIAA0174	KIAA0174	9798	16q22.3	P53990
0.12	2721959	0	SLC34A2	solute carrier family 34 (sodium phosphate), member 2	10568	4p15.2	O95436
0.12	3389450	0	CARD16	caspase recruitment domain family, member 16	114769	11q22.3	Q5EG05
0.12	3127610	0	PEBP4	phosphatidylethanolamine-binding protein 4	157310	8p21.3	Q96S96
0.12	2480383	0	EPAS1	endothelial PAS domain protein 1	2034	2p21	Q99814
0.12	3507003	0	LNX2	ligand of numb-protein X 2	222484	13q12.2	Q8N448
0.12	3486956	0	C13orf15	chromosome 13 open reading frame 15	28984	13q14.11	Q9H4X1
0.12	3975227	0	MAOA	monoamine oxidase A	4128	Xp11.3	P21397
0.12	3557986	0	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	4738	14q12	Q15843
0.12	3461795	0	PTPRB	protein tyrosine phosphatase, receptor type, B	5787	12q15	P23467
0.12	2676167	0	TNNC1	troponin C type 1 (slow)	7134	3p21.1	P63316
0.12	3385175	0	PICALM	phosphatidylinositol binding clathrin assembly protein	8301	11q14.2	Q13492
0.12	3020302	0	CAV1	caveolin 1, caveolae protein, 22kDa	857	7q31.2	Q03135
0.13	3460198	0	WIF1	WNT inhibitory factor 1	11197	12q14.3	Q9Y5W5
0.13	3096271	0	C8orf40	chromosome 8 open reading frame 40	114926	8p11.21	Q96E16
0.13	2343823	0	LPHN2	latrophilin 2	23266	1p31.1	O95490
0.13	3789947	0	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	23327	18q21.31	Q96PU5
0.13	3494137	0	LMO7	LIM domain 7	4008	13q22.2	Q8WWI1
0.13	3723186	0	HIGD1B	HIG1 hypoxia inducible domain family, member 1B	51751	17q21.31	Q9P298
0.13	2503109	0	EPB41L5	erythrocyte membrane protein band 4.1 like 5	57669	2q14.2	Q9HCM4
0.13	3190659	0	SET	SET nuclear oncogene	6418	9q34.11	Q01105
0.13	2482505	0	SPTBN1	spectrin, beta, non-erythrocytic 1	6711	2p16.2	Q01082
0.13	2377165	0	C4BPA	complement component 4 binding protein, alpha	722	1q32.2	P04003
0.13	3681488	0	PLA2G10	phospholipase A2, group X	8399	16p13.12 / 16p13.11	O15496
0.13	3326400	0	CAT	catalase	847	11p13	P04040
0.13	2403080	0	FCN3	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	8547	1p36.11	O75636
0.13	3256590	0	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2	9060	10q23.2	O95340
0.14	3985008	0	TCEAL4	transcription elongation factor A (SII)-like 4	140597	Xq22.1	Q9H3H9
0.14	2949830	0	AGER	advanced glycosylation end product-specific receptor	177	6p21.32	Q15109
0.14	2725061	0	LIMCH1	LIM and calponin homology domains 1	22998	4p13	Q9UPQ0
0.14	3376556	0	ATL3	atlastin GTPase 3	25923	11q13.1	Q6DD88
0.14	3299970	0	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	27063	10q23.31	Q15327
0.14	2485406	0	HSPC159	galectin-related protein	29094	2p14	Q3ZCW2
0.14	3561321	0	MBIP	MAP3K12 binding inhibitory protein 1	51562	14q13.3	Q9NS73
0.14	3364759	0	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	5286	11p15.1	O00443
0.14	2971267	0	ROS1	c-ros oncogene 1 , receptor tyrosine kinase	6098	6q22.2	P08922
0.14	2779823	0	SLC39A8	solute carrier family 39 (zinc transporter), member 8	64116	4q24	Q9C0K1
0.14	3209623	0	ZFAND5	zinc finger, AN1-type domain 5	7763	9q21.13	O76080
0.14	3060332	0	STEAP4	STEAP family member 4	79689	7q21.12	Q687X5
0.14	3405587	0	GPRC5A	G protein-coupled receptor, family C, group 5, member A	9052	12p13.1	Q8NFJ5
0.14	3391149	0	FDXACB1	ferredoxin-fold anticodon binding domain containing 1	91893	11q23.1	Q9BRP7
0.15	2591367	0	CALCRL	calcitonin receptor-like	10203	2q32.1	Q16602
0.15	3988165	0	SLC6A14	solute carrier family 6 (amino acid transporter), member 14	11254	Xq23	Q9UN76
0.15	3393670	0	AMICA1	adhesion molecule, interacts with CXADR antigen 1	120425	11q23.3	Q86YT9
0.15	3576704	0	TC2N	tandem C2 domains, nuclear	123036	14q32.12	Q8N9U0
0.15	3273484	0	LARP5	La ribonucleoprotein domain family, member 5	23185	10p15.3	Q92615
0.15	3522398	0	AIDA	axin interactor, dorsalization associated	23348	13q32.3	Q9BZ29
