Gene	location on chromosome	Putative function	UniGene	Meana	SDb	P	No. of cases	Fold change
Collagen type III ? 1 (COL3A1)	2q31	Extracellular matrix	Hs.119571	1.54	1	<0.0001	19	2.91
Keratin 14 (KRT14)	17q12–q21	Cytoskeleton	Hs.117729	1.38	1.4	0.0004	19	2.6
Collagen, type VII, ? (COL7A1)	3p21.1	Extracellular matrix	Hs.1640	1.21	0.95	<0.0001	19	2.31
SNL (Fascin)	7p22	Cytoskeleton/regulation of cellular processes	Hs.118400	1.15	0.82	<0.0001	19	2.22
SPARC	5q31.3–q32	Extracellular matrix remodelling	Hs.111779	1.06	0.73	<0.0001	17	2.08
Transgelin 2 (TAGLN2)	1q21–q25	Cytoplasmic/anti-pathogen response	Hs.75725	1.04	0.78	<0.0001	19	2.06
Laminin ? 2 (LAMC2)	1q25–q31	Extracellular matrix	Hs.54451	1.04	0.97	0.0002	19	2.06
FADD	11q13.3	Death receptor/cytoplasmic response	Hs.86131	1.03	0.95	0.0006	16	2.04
Cystatin SN (CST1)	20p11.21	Cysteine protease inhibitor	Hs.123114	1.03	1.05	0.0005	19	2.04
HLA-B	6p21.3	Immune system	Hs.77961	1.02	1	0.0003	19	2.03
SCYB10	4q21	Positive control of cell proliferation/cell motility/extracellular matrix	Hs.2248	1.02	1.06	0.0005	19	2.03
CDC25B	20p13	Mitosis/cell cycle control	Hs.153752	1.01	1	0.0003	19	2.01
Collagen, type I, alpha 2 (COL1A2)	7q22.1	Extracellular matrix	Hs.179573	1.01	0.75	<0.0001	19	2.01
