Spotnum	P value	Well ID	Clone IMAGE	Title	Gene	Map
4160	0	209599	78844	G protein coupled receptor interacting protein, complement-c1q tumor necrosis factor-related	ZSIG37	17q25.2
1255	0	209586	85582	target of myb1 (chicken) homolog-like 2	TOM1L2	17p11.2
3913	0	200933	813714	CASP8 and FADD-like apoptosis regulator	CFLAR	2q33-q34
2295	0	27153	259230	Adenylate kinase 2 (adk2)	AK2	1p34
5865	0	201673	712668	JAK binding protein	SSI-1	16p13.13
6251	0	28756	788256	Mitotic kinesin-like protein-1	KNSL5	15
2353	0	28253	341782	HMG-2=high mobility group 2 protein	HMG2	4q31
6713	0	28381	712866	HDAC2=histone deacetylase 2=homologue of yeast RPD3 transcription factor	HDAC2	6q21
6303	0	200813	204214	CDC6 (cell division cycle 6, S. cerevisiae) homolog	CDC6	17q21.3
3976	0	205511	366971	topoisomerase (DNA) II alpha (170kD)	TOP2A	17q21-q22
5224	0	27456	2178	tryptophanyl-tRNA synthetase=WARS=IFN-inducible gamma2=IFP53
6252	0	28754	293925	MIR-7=monocyte/macrophage Ig-related receptor=HM43 monocyte inhibitory receptor (overlaps with lysozyme)=LIR-1	FLJ23356
3960	0	202659	129355	hypothetical protein	LOC56912	11
6844	0	201720	759873	37 kDa leucine-rich repeat (LRR) protein	P37NB	7q22.1-7q31.33
3068	0	208428	502669	histone deacetylase 2	HDAC2	6q21
3077	0	208746	726658	DR-nm23	NME3	16q13
6741	0	28581	789182	PCNA=proliferating cell nuclear antigen	PCNA	20pter-p12
1881	0	28206	239799	MCM2=DNA replication licensing factor	MCM2	3q21
1509	0	201566	810859	NK4=Natural killer cells protein-4=increased after activation of T cells by mitogens or activation of NK cells by IL-2	NK4	16p13.3
879	0	27777	767804	Aldehyde dehydrogenase 10 (fatty aldehyde dehydrogenase)	ALDH3A2	17p11.2
7622	0	27280	325880	tubulin-beta	FKBP1A	20p13
5459	0	207650	325583	KIAA1538 protein	KIAA1538	17
2771	0	26933	202961	CENP-F kinetochore protein=mitosin=cell-cycle-dependent 350K nuclear protein=AH antigen	CENPF	1q32-q41
6007	0	209253	50480	arginase, type II	ARG2	14q24.1-q24.3
3441	0	201738	949928	zinc finger protein 220	ZNF220	8p11
6649	0	26969	34783	pre-pro-orphanin FQ=prepronociceptin	PNOC	8p21
5976	0	208447	856135	SFRS protein kinase 1	SRPK1	6p21.3-p21.2
894	0	28131	730921	Glutathione S-transferase M3 (brain)	GSTM3	1p13.3
3087	0	208790	781047	BUB1=putative mitotic checkpoint protein ser/thr kinase	BUB1	2q14
4004	0	207439	810446	KIAA1522 protein	KIAA1522	1
7482	0	202232	814576	butyrate response factor 2 (EGF-response factor 2)	BRF2	2p22.3-p21
1818	0	27468	502085	Guanylate binding protein 1 interferon-inducible 67kD	GBP1	1
2162	0	202143	85259	heme oxygenase (decycling) 1	HMOX1	22q13.1
874	0	27755	744128	Autoimmunogenic cancer/testis antigen NY-ESO-1	CTAG1	Xq28
4627	0	200133	203275	replication factor C (activator 1) 4 (37kD)	RFC4	3q27
138	0	207451	502142	sin3-associated polypeptide, 30kD	SAP30	4q33-q34.3
2456	0	201379	486208	transforming growth factor, beta 3	TGFB3	14q24
6784	0	200712	376516	vesicle trafficking, beach and anchor containing	LRBA	4
1733	0	200154	229365	protein tyrosine phosphatase, receptor type, C	PTPRC	1q31-q32
962	0	28975	365681	GATA-3=T-cell specific transcription factor	GATA3	10p15
7624	0	27284	327289	KIAA0175=putative kinase	KIAA0175	9
7292	0	201384	825470	topoisomerase (DNA) II alpha (170kD)	TOP2A	17q21-q22
1417	0	28474	201890	c-IAP2=MIHC=IAP homolog C=TNFR2-TRAF signalling complex protein	BIRC3	11q22
