Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0438gpr ST vs LT	4578LTSTgpr LT vs ST	4579LTSTgpr ST vs LT	5343gpr LT vs ST	5357gpr ST vs LT	5358gpr LT vs ST	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
BG070287	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	Mm.351746	16019		12		2.4922	1.4523	2.555	1.8961	2.5391	2.4649	6	4.882445538	0.204815393	4.631047151	2.233266667	0.482237946	0.811435066
BG074408	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	Mm.12818	13206		13		1.9769	2.0204	2.0489	2.3769	3.2795	1.5265	6	4.986096295	0.200557699	4.099821213	2.20485	0.537791744	0.811435066
AI847831	D430026P16Rik	RIKEN cDNA D430026P16 gene	Mm.169755	320183		10	10 D2	1.5174	1.4888	1.2078	1.5359	1.2426	1.5448	6	2.693787848	0.371224483	3.962480923	1.422883333	0.359089005	0.811435066
AI838613	Emp1	epithelial membrane protein 1	Mm.182785	13730		6		1.7639	2.391	2.5612	1.1932	3.201	2.0718	6	5.038333799	0.198478314	3.800201752	2.197016667	0.578131586	0.811435066
AV074733	Igh-6	immunoglobulin heavy chain 6 (heavy chain of IgM)	Mm.351746	16019		12		1.9031	0.8512	2.4015	1.8616	2.0903	2.6197	6	4.144396072	0.24128968	3.574038978	1.954566667	0.546878945	0.811435066
BG071366	Vldlr	very low density lipoprotein receptor	Mm.4141	22359		19		1.0333	1.4409	1.632	1.0604	1.5989	1.3875	6	2.598651264	0.384815005	3.383750225	1.358833333	0.401576134	0.811435066
BG075534		2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430008K23 product:unknown EST, full insert sequence	Mm.30745	NA		NA		1.0314	1.3971	1.8134	1.5985	1.5431	1.0725	6	2.706329521	0.369504154	3.343255405	1.409333333	0.421545219	0.811435066
AV087001				NA	CD53 antigen	NA		1.8813	1.3088	1.5704	0.9641	1.6098	1.0995	6	2.712839792	0.368617418	3.219989981	1.40565	0.436538625	0.811435066
AA395947	Il1r1	interleukin 1 receptor, type I	Mm.896	16177		1		2.0995	1.3494	1.5508	0.8291	1.3726	1.5948	6	2.858322719	0.349855527	3.155769298	1.466033333	0.464556561	0.811435066
AA154832	Ccl9	chemokine (C-C motif) ligand 9	Mm.2271	20308		11		1.373	1.6878	1.5021	1.5888	0.7924	1.1811	6	2.608620576	0.383344366	3.153980808	1.3542	0.429362156	0.811435066
AV023026	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230	special AT-rich sequence binding protein 1	17	17 C	1.423	1.6244	1.5329	1.7558	0.6717	1.3881	6	2.707609222	0.369329515	3.099537804	1.399316667	0.451459784	0.811435066
BG073341	Dhrs3	dehydrogenase/reductase (SDR family) member 3	Mm.14063	20148		4	4 E1	0.7718	1.9947	1.7492	1.6178	1.2941	2.4492	6	3.339481708	0.299447665	3.096566382	1.646133333	0.531599562	0.811435066
BG064842	Emb	embigin	Mm.274926	13723		13	13 D2.3	1.0226	1.6988	1.5432	1.0783	1.8545	1.0525	6	2.665703132	0.375135546	3.080136885	1.374983333	0.446403321	0.811435066
AA216971		Transcribed sequences	Mm.143248					1.5092	1.0663	1.3235	1.9784	0.9891	2.2777	6	3.036308368	0.329347312	3.018249025	1.524033333	0.504939559	0.811435066
BG069829	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230		17	17 C	2.3526	1.3689	1.6369	1.5008	2.7049		5	3.525044279	0.28368438	2.964001291	1.723013333	0.581313287	0.811435066
BG072100	Chdh	choline dehydrogenase	Mm.259916	218865		14	14 A3	1.3678	1.737	1.7711	1.6987	2.7349	0.6845	6	3.472946257	0.287939958	2.935274896	1.665666667	0.567465306	0.811435066
AI840607	Cd53	CD53 antigen	Mm.2692	12508		3		1.2692	1.5277	1.9487	0.699	1.6538	1.1611	6	2.693345594	0.371285438	2.908325919	1.376583333	0.473324989	0.811435066
AV018220	Vldlr	very low density lipoprotein receptor	Mm.4141	22359		19		1.5366	0.8752	0.9563	1.5996	0.9947	1.388	6	2.38601743	0.419108422	2.872270225	1.225066667	0.426515115	0.811435066
AV140128	Cnn3	calponin 3, acidic	Mm.275555	71994		3	3 G1	1.8168	1.5648	1.8711	1.4698	0.589	1.131	6	2.76726858	0.361367164	2.857879402	1.407083333	0.492352243	0.811435066
AA153963	Lck	lymphocyte protein tyrosine kinase	Mm.293753	16818		4		0.8601	1.1895	1.0885	0.8805	0.952	0.8695	6	1.970837447	0.507398518	2.76908108	0.97335	0.3515065	0.811435066
AA240645	Fnbp4	formin binding protein 4	Mm.207895	55935		2	2 E1	1.8542	1.628	0.9019	0.7305	1.5715	1.2143	6	2.587751828	0.38643582	2.764024327	1.316733333	0.476382686	0.811435066
BG072979	Nusap1	nucleolar and spindle associated protein 1	Mm.290015	108907		2	2 E5	0.8335	1.1516	1.3063	0.8563	1.302	0.9021	6	2.103591275	0.475377518	2.740018861	1.058633333	0.386359871	0.811435066
BG071280	Vldlr	very low density lipoprotein receptor	Mm.4141	22359		19		1.1144	1.2655	1.546	0.7311	2.2958	1.3469	6	2.767172427	0.361379721	2.713479793	1.383283333	0.509782065	0.811435066
AV111391				NA	cyclin B1, related sequence 1	NA		0.9739	1.511	1.5169	0.8956	0.9963	0.8175	6	2.215597181	0.451345582	2.640618476	1.118533333	0.423587634	0.811435066
AV095124				NA	cyclin B1, related sequence 1	NA		0.691	1.4892	1.4267	1.0531	0.7773	1.2406	6	2.21031958	0.452423264	2.579929167	1.112983333	0.431400733	0.811435066
AW557070	Cenpe	centromere protein E	Mm.161470	229841		3	3 G3	1.1684	1.4121	1.4467	1.1231	1.2647	0.4455	6	2.262901194	0.441910589	2.569258965	1.143416667	0.445037531	0.811435066
NA	NA	NA	NA		NA			0.8245	1.0636	1.8492	1.0437	0.8691	1.2769	6	2.29587892	0.435563039	2.567817099	1.1545	0.449603673	0.811435066
AV023741				NA	GTP binding protein (gene overexpressed in skeletal muscle)	NA		0.8893	0.7761	1.0987	0.7433	1.1207	1.298	6	2.00229859	0.499426012	2.562340491	0.987683333	0.385461392	0.811435066
NA	NA	NA	NA		NA			1.2059	1.1862	1.5505	0.4733	0.9997	1.2008	6	2.199676689	0.454612264	2.498480434	1.102733333	0.441361605	0.811435066
BG074640	Il10ra	interleukin 10 receptor, alpha	Mm.26658	16154		9		1.1513	1.2025	0.9808	1.5824	3.1963	1.3042	6	3.521045487	0.284006555	2.486476505	1.569583333	0.631248005	0.811435066
AV005185	Car1	carbonic anhydrase 1	Mm.273195	12346	carbonic anhydrase 1	3		0.4287	1.846	2.287		1.3075	1.5044	5	2.688938646	0.371893945	2.485782635	1.395033333	0.561204875	0.811435066
BG074767	Top2a	topoisomerase (DNA) II alpha	Mm.4237	21973		11		1.0988	0.8697	1.0292	0.7675	1.2575	0.683	6	1.9514238	0.512446348	2.474836594	0.95095	0.384247591	0.811435066
AV023250	Gem	GTP binding protein (gene overexpressed in skeletal muscle)	Mm.247486	14579		4		0.9833	0.8362	1.1172	0.655	0.7731	1.0674	6	1.885131068	0.530467094	2.450578078	0.905366667	0.369450243	0.811435066
AA060358	Kif4	kinesin family member 4	Mm.3130	16571		X		0.7112	0.8088	0.9571	0.8299	0.728	0.847	6	1.760497112	0.568021381	2.448176082	0.813666667	0.332356268	0.811435066
AV008822	Lck	lymphocyte protein tyrosine kinase	Mm.293753	16818		4		0.9914	1.2376	1.1525	0.7721	0.5696	1.1549	6	1.997952517	0.500512395	2.436120629	0.979683333	0.402148942	0.811435066
AV084040	4930541M15Rik	RIKEN cDNA 4930541M15 gene	Mm.144143	67886		1	1 E4	0.6104	0.7925	1.7347	0.8881	1.3303	1.4815	6	2.290755734	0.436537159	2.394820427	1.139583333	0.475853354	0.811435066
BG063333	Vldlr	very low density lipoprotein receptor	Mm.4141	22359		19		1.5531	0.7606	1.3375	0.3881	2.2507	2.0585	6	2.898188499	0.345043119	2.353224895	1.391416667	0.591280787	0.811435066
AV070800				NA		NA		1.8226	1.3865	1.3479	1.0969	0.4316		5	2.197450869	0.455072746	2.349752657	1.156341667	0.49211208	0.811435066
AV024927	1200008O12Rik	RIKEN cDNA 1200008O12 gene	Mm.9916	74107		19	19 C3	0.5354	0.9137	0.9681	1.0944	1.1249	0.7739	6	1.885911664	0.530247529	2.337638206	0.901733333	0.385745463	0.811435066
AV053883	Cd52	CD52 antigen	Mm.24130	23833		4		0.5519	1.6071	1.3745	1.2806	0.796	0.8533	6	2.179582194	0.458803528	2.337633903	1.077233333	0.460822087	0.811435066
BG067618	Cnn3	calponin 3, acidic	Mm.275555	71994		3	3 G1	1.5225	0.9843	1.4112	1.1146		1.5239	5	2.258640659	0.442744177	2.331579727	1.140533333	0.489167632	0.811435066
AV034689	Ccl9	chemokine (C-C motif) ligand 9	Mm.2271	20308		11		1.1188	1.1701	1.0849		0.557	1.295	5	1.911356787	0.523188557	2.325535457	0.977001667	0.420119015	0.811435066
AV162234	H2afy	H2A histone family, member Y	Mm.283802	26914		13	13 B1	0.5879	0.9056	0.9086	0.8234	0.7363	1.0513	6	1.79357824	0.557544677	2.312664659	0.835516667	0.36127878	0.811435066
NA	NA	NA	NA		NA			0.8461	0.9272	1.0191	0.7382	1.2367	0.5982	6	1.877396601	0.532652504	2.311336045	0.89425	0.386897441	0.811435066
NA	NA	NA	NA		NA			0.681	0.8723	0.9531	0.6767	0.7065	0.88	6	1.740092139	0.574682212	2.302394913	0.794933333	0.345263677	0.811435066
AV087875				NA	2310033K24	NA		1.4377	0.8609	1.8901	2.3097	0.4116	1.0532	6	2.765792362	0.361560041	2.287279513	1.3272	0.58025265	0.811435066
AV017487	Dtx4	deltex 4 homolog (Drosophila)	Mm.247695	207521		19	19 A	0.7294	0.8379		0.6078	0.8076	1.0852	5	1.64021605	0.60967578	2.286336524	0.826366667	0.361437023	0.811435066
AV109292	2410030K01Rik	RIKEN cDNA 2410030K01 gene	Mm.295642	67629		9	9 A3	0.7055	0.7683	0.7533	0.7585	1.2633	0.9631	6	1.843547079	0.542432581	2.26879408	0.868666667	0.38287594	0.811435066
AV114376				NA	AA710601 EST:Barstead mouse irradiated colon MPLRB7:Mus musc	NA		1.155	0.4707	1.0023	0.7073	1.1315	1.0786	6	1.925235205	0.519417055	2.263557753	0.924233333	0.40831003	0.811435066
BG065579	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230		17	17 C	1.382	1.1658	1.7236		2.2473	1.2733	5	2.719589622	0.367702536	2.261655596	1.319546667	0.583442797	0.811435066
AV008798				NA	centromere autoantigen A	NA		1.1343	0.8241	0.9695	0.8673	0.4725	0.9548	6	1.845630111	0.541820376	2.251011046	0.870416667	0.386678097	0.811435066
X12531	Ccl3	chemokine (C-C motif) ligand 3	Mm.1282	20302		11		1.0152	1.1849	1.7854	1.9429	0.1014	1.7701	6	2.678361147	0.373362644	2.245897163	1.299983333	0.57882585	0.811435066
AA395947	Il1r1	interleukin 1 receptor, type I	Mm.896	16177		1		2.0324	1.318	1.6398	1.0289	1.5943	0.0661	6	2.634517891	0.37957609	2.226875385	1.279916667	0.574758999	0.811435066
NA	NA	NA	NA		NA			0.947	0.7357	0.8434	0.5608	0.7494	1.0875	6	1.778095634	0.562399446	2.214029769	0.820633333	0.370651445	0.811435066
AV017266	Cst7	cystatin F (leukocystatin)	Mm.12965	13011	cystatin 7	2	2 G1-G3	2.004	1.0534	0.8773	0.8163	0.6796	1.05	6	2.22609414	0.4492173	2.205672545	1.0801	0.489691909	0.811435066
AI841308	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	Mm.4550	11931		1		0.6912	0.907	0.7701	0.7533	1.7494	1.2394	6	2.100665095	0.476039709	2.200889615	1.0184	0.46272198	0.811435066
AV162250				NA	KIAA0101	NA		1.0245	0.5855	0.8156	0.5677	1.1487	1.2161	6	1.886220105	0.530160821	2.175717117	0.893016667	0.410447047	0.811435066
NA	NA	NA	NA		NA			1.3959	0.5646	1.0428	0.5468	0.9473	1.1001	6	1.950587369	0.51266609	2.169528054	0.932916667	0.430009036	0.811435066
BG073324	D430026P16Rik	RIKEN cDNA D430026P16 gene	Mm.169755	320183		10	10 D2	1.533	0.8878	1.289	1.1274	3.9658	1.1452	6	4.534898854	0.220512085	2.165896852	1.658033333	0.765518142	0.811435066
BG074845	Foxm1	forkhead box M1	Mm.42148	14235		6		0.3204	0.7679	0.8823	1.1941	1.3598	1.2145	6	1.994982945	0.501257418	2.115841898	0.9565	0.452065913	0.811435066
BG065056	2610311M19Rik	RIKEN cDNA 2610311M19 gene	Mm.33831	108912		14	14 D1	0.5966	0.9838	0.7713	0.787	1.6736	0.8961	6	1.995538461	0.501117879	2.114788977	0.9514	0.449879402	0.811435066
BG071673	Camk1d	calcium/calmodulin-dependent protein kinase ID	Mm.313822	227541		2	2 A1	0.8733	0.599	0.7297	0.6619	1.4555	1.0514	6	1.900338289	0.526222097	2.100740816	0.895133333	0.426103652	1.253527275
BE847062	Il10ra	interleukin 10 receptor, alpha	Mm.26658	16154		9		0.984	0.5232	1.1028	1.443	0.4724	1.1492	6	1.981162203	0.504754229	2.099062261	0.945766667	0.450566276	1.253527275
AA035888	Cdc2a	cell division cycle 2 homolog A (S. pombe)	Mm.281367	12534		10		0.6479	0.5503	0.7505	0.8452	0.8345	0.6768	6	1.648665742	0.606551088	2.093951711	0.717533333	0.342669475	1.253527275
BI076837				NA		NA		1.1282	0.5257	0.6268	0.8412	1.4292	0.8465	6	1.908712174	0.52391346	2.083755158	0.8996	0.431720587	1.253527275
AV135781				NA	aurora-related kinase 1 (ARK1)	NA		1.0507	0.5564	0.7325	0.9256	0.5451	1.0151	6	1.76388067	0.566931775	2.073402944	0.804233333	0.387880868	1.253527275
BG067065		Transcribed sequences	Mm.34949					1.4044	1.1182	0.8364	1.2928	3.4121	0.6276	6	3.540569855	0.28244041	2.052433191	1.448583333	0.7057883	1.253527275
BG068271	Centd1	centaurin, delta 1	Mm.244403	212285		5	5 C3.1	0.3009	1.3637	1.2893	1.1246	1.5073	0.518	6	2.117434187	0.472269696	2.04851381	1.0173	0.496603926	1.253527275
AA154813	Ccnb1	cyclin B1	Mm.260114	268697		13	13 D1	1.0303	1.4451	1.3496	0.4908	0.4779	0.8933	6	1.994839866	0.501293371	2.04242114	0.947833333	0.464073405	1.253527275
BG064847	Emb	embigin	Mm.274926	13723		13	13 D2.3	0.7821	1.3414	1.3387	0.2382	1.494	0.8169	6	2.090110237	0.478443664	2.042258714	1.001883333	0.490576109	1.253527275
AV316721	Cd69	CD69 antigen	Mm.74745	12515		6		1.2267	1.1004	1.4164	0.5852	1.2913	0.2674	6	2.05083447	0.487606394	2.040436391	0.981233333	0.480893861	1.253527275
NA	NA	NA	NA		NA			0.6642	1.3851	0.9958	0.8911	0.4214	0.8848	6	1.871850119	0.534230807	2.040205352	0.873733333	0.428257544	1.253527275
AV104495	2600017H08Rik	RIKEN cDNA 2600017H08 gene	Mm.272969	66442		2	2 C2	0.4432	0.8599	1.0402	0.6237	0.7906	1.1234	6	1.78004257	0.561784317	2.035114398	0.8135	0.399731829	1.253527275
NA	NA	NA	NA		NA			0.9423	0.7804	1.2487	0.5458	1.2251	0.4723	6	1.866722317	0.535698315	2.017223775	0.8691	0.430839657	1.253527275
AU044112	Cdca1	cell division cycle associated 1	Mm.151315	66977		1	1 H3	1.2097	0.8978	1.2491	0.2517	1.7891	0.7494	6	2.146790657	0.465811604	2.013842688	1.024466667	0.50871236	1.253527275
BG063496	1200008O12Rik	RIKEN cDNA 1200008O12 gene	Mm.9916	74107		19	19 C3	1.6376	1.0517	1.1382	0.4679	0.6347	0.7016	6	1.991254728	0.50219592	1.9961269	0.938616667	0.470218936	1.253527275
AV171691	Sgol1	shugoshin-like 1 (S. pombe)	Mm.153202	72415		17	17 C	0.5591	0.445	0.9492	0.8124	0.8565	1.0706	6	1.738757178	0.575123435	1.991654112	0.782133333	0.392705404	1.253527275
BG071096		Transcribed sequences	Mm.173371					0.9039	0.3469	0.5294	1.6526	1.6897	1.1177	6	2.187695319	0.457102043	1.98409114	1.040033333	0.52418627	1.253527275
AV113917				NA	C77976 EST:blastocyst:Mus musculus	NA		0.6773	0.9657	0.8252	0.4347	0.742	0.7313	6	1.668032098	0.599508847	1.983334477	0.729366667	0.367747687	1.253527275
NA	NA	NA	NA		NA			0.6689	0.8688	0.9105	0.5092	0.9617	0.5482	6	1.688137477	0.592368817	1.982990638	0.74455	0.375468238	1.253527275
