Rank	Elevated mRNA Levels in	Gene Symbol	Annotation	Gene Ontology
1	RD	DD96	Epithelial protein up-regulated in carcinoma, membrane associated protein 17//(Hs.271473;NM_005764)	Oncogenesis; extracellular; integral to membrane
2	PCR	FCGR3A	Fc fragment of IgG, low affinity Illa, receptor for (CD16)// (Hs.334687;NM_000569)	Receptor activity; immune response; integral to membrane; IgG binding activity
3	PCR	PLD3	Similar to vaccinia virus HindIII K4L ORF//(Hs.74573;NM_012268)	Phospholipase D activity; enzyme activity; metabolism
4	RD	CCNL2	Hypothetical protein hCLA-iso//(Hs. 143601;NM_030937)	Unknown
5	PCR	PP591	Hypothetical protein PP591//(Hs.118666;NM_025207)	Unknown
6	PCR	HN1	Hematological and neurological expressed 1//(Hs. 109706;NM_016185)	Unknown
7	PCR		UNIGENE-ambiguity: Hs.21286::Hs.236223! ESTs//(Hs.21286;)	Unknown
8	PCR	PP591	Hypothetical protein PP591//(Hs.118666;NM_025207)	Unknown
9	RD		Homo sapiens mRNA; cDNA DKFZp547D086 (from clone DKFZp547D086)//(Hs.21958;)	Unknown
10	PCR	SEC61A1	Protein transport protein SEC61 alpha subunit isoform 1//(Hs.306079;NM_013336)	Unknown
11	RD		ESTs//(Hs. 126572;)	Unknown
12	PCR		UNIGENE-ambiguity: Hs.7718::Hs.118127! hypothetical protein FLJ22678//(Hs.7718;NM_024536)	Unknown
13	PCR	KPNA2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)// (Hs.159557;NM_002266)	Nuclear localization sequence binding activity; protein transporter; regulation of DNA recombination; G2 phase of mitotic cell cycle; spindle pole body and microtubule cycle
14	RD	NFAT5	Nuclear factor of activated T-cells 5, tonicity-responsive//(Hs.86998;NM_006599)	RNA polymerase II transcription factor activity; transcription factor activity
15	PCR	HN1	Hematological and neurological expressed 1//(Hs.109706;NM_016185)	Unknown
16	RD		DKFZP564I1171 protein//(Hs.107614;)	Unknown
17	PCR	SLC35B1	UDP-galactose transporter related//(Hs. 154073;NM_005827)	UDP-galactose transporter activity; small molecule transport; membrane; microsome
18	PCR	PCDHB2	Protocadherin beta 2//(Hs.266470;NM_018936)	Calcium-dependent cell adhesion molecule activity; calcium ion binding activity
19	PCR	NME1	Nonmetastatic cells 1, protein (NM23A) expressed in//(Hs. 118638;NM_000269)	Nucleoside-diphosphate kinase activity; ATP binding activity; negative regulation of cell proliferation
20	RD	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1//(Hs.76224;NM_004105:NM_018894)	Calcium ion binding activity; extracellular matrix
21	PCR	SLC35B1	UDP-galactose transporter related// (Hs. 154073;NM_005827)	UDP-galactose transporter activity; small molecule transport; membrane; microsome
22	PCR	RALGDS	Ral guanine nucleotide dissociation stimulator//(Hs.106185;)	Ral guanyl-nucleotide exchange factor activity; RAS protein signal transduction; oncogenesis; regulation of cell cycle
23	pCR	SURF4	Surfeit 4//(Hs.284296;)	Molecular_function unknown; endoplasmic reticulum membrane; integral to membrane
24	RD	KRT13	Keratin 13//(Hs.74070;NM_002274)	Structural constituent of cytoskeleton; epidermal differentiation
25	PCR	FLJ13855	Hypothetical protein FLJ13855//(Hs. 168232;NM_023079)	Ubiquitin conjugating enzyme activity; ubiquitin-protein ligase activity; protein modification
26	PCR	GSR	Glutathione reductase// (Hs.121524;NM_000637)	Glutathione reductase (NADPH) activity; glutathione metabolism; disulfide oxidoreductase activity
27	RD	LOC51061	Hypothetical protein// (Hs.275425;NM_015914)	Electron transporter activity; electron transport
28	PCR	ATF5	Activating transcription factor 5//(Hs.9754;NM_012068)	Transcription corepressor activity; RNA polymerase II transcription factor activity; regulation of cell cycle
29	RD	LCHN	LCHN protein//(Hs. 12461;)	Unknown
30	RD	PTPRC	Protein tyrosine phosphatase, receptor type, C//(Hs.170121;NM_002838)	Transmembrane receptor protein tyrosine phosphatase activity; cell surface receptor linked signal transduction
31	RD	ACLY	ATP citrate lyase//(Hs.174140;NM_001096)	ATP-citrate (pro-S)-lyase activity; ATP binding activity; ATP catabolism; metabolism; lipid biosynthesis
32	PCR		Homo sapiens, clone MGC:16438 IMAGE:3946506, mRNA, complete cds//(Hs.32399;)	Unknown
33	RD	FAAH	Fatty acid amide hydrolase// (Hs.326190;NM_001441)	Enzyme activity; metabolism
34	PCR	RTKN	Rhotekin//(Hs.58215;)	Unknown
35	RD		Homo sapiens mRNA; cDNA DKFZp761P1714 (from clone DKFZp761P1714)//(Hs.348484;)	Unknown
