I/C	Accession Number	Number	Description	Functional Category
0.16	N91385	MS4A1	Membrane-spanning 4-domains, A1	Extracellular
0.2	AA429895	ABCC3	ATP-binding cassette C (CFTR/MRP)	Extracellular
0.25	AA448569	SRPX	Sushi repeat – containing protein, X chromosome	Extracellular
0.25	AA598653	OSF2	Osteoblast-specific factor 2 (fasciclin 1 – like)	Extracellular
0.33	N76878	DEPP	Decidual protein induced by progesterone	Extracellular
0.33	T77595	TNC	Tenascin C (hexabrachion)	Extracellular
0.33	H79047	IGFBP2	Insulin-like growth factor binding protein 2	Extracellular
0.33	R7563.5	COLA1	Collagen, type V, alpha 1	Extracellular
0.33	T49159	SERPIN	Serine (or cysteine) proteinase inhibitor, clade B 2	Extracellular
0.5	R71440	SERPINH2	Serine (or cysteine) proteinase inhibitor, clade H2 (hsp47)	Extracellular
0.5	M65062	IGFBP5	Insulin-like growth factor binding protein 5	Extracellular
0.25	AA029842	MTCP1	Mature T-cell proliferation 1	Vascular involvement/angiogenesis
0.25	AA401693	CD163	CD163	Vascular involvement/angiogenesis
0.33	H16637	VCAM1	Vascular cell adhesion molecule 1	Vascular involvement/angiogenesis
0.33	AA421296	CD68	CD68 antigen	Vascular involvement/angiogenesis
0.33	A4491191	IF116	Interferon gamma – inducible protein 16	Vascular involvement/angiogenesis
0.5	R19956	VEGF	Vascular endothelial growth factor	Vascular involvement/angiogenesis
0.09	W05628	PSHL	Phosphoserine phosphatase – like	Signal transduction
0.09	W07300	AP1G1	Adaptor-related protein complex 1, gamma 1	Signal transduction
0.25	N63635	P1M1	Pim-1 protooncogene gene	Signal transduction
0.25	AA598496	IQGAP	IQ motif containing GTPase-activating protein 1	Signal transduction
0.25	AA019996	PTGER4	Prostaglandin E receptor 4 (subtype EP4)	Signal transduction
0.25	AA397813	CKS2	CDC28 protein kinase regulatory subunit 2	Signal transduction
0.25	AA446290	ST5	Suppression of tumorigenicity 5	Signal transduction
0.25	AA489246	ST14	Suppression of tumorigenicity 14	Signal transduction
0.25	N53172	RDCl	G protein – coupled receptor	Signal transduction
0.33	AA443506	ARHGAP1	Rho GTPase – activating protein 1	Signal transduction
0.33	H62028	DYRK3	Dual-specificity tyrosine (Y) phosphorylation-regulated kinase 3	Signal transduction
0.33	AA453774	RGS16	Regulator of G-protein signalling 16	Signal transduction
0.33	AA487560	CAV1	Caveolin 1, caveolae protein, 22 kDa	Signal transduction
0.33	AA478542	AKAP12	AKAP12 A kinase (PRKA) anchor protein (gravin) 12	Signal transduction
0.5	AA029737	TK2	Thymidine kinase 2, mitochondrial	Signal transduction
0.5	AA496785	ABL1	Abelson murine leukemia viral oncogene homolog 1	Signal transduction
0.33	AA668595	PIG3	p53-induced gene 3	Apoptosis
0.33	AA228130	PSIP2	PC4-and SFRSI-interacting protein 2	Apoptosis
0.37	H45000	CASP4	Caspase 4	Apoptosis
0.08	AA280677	ZNF258	Zinc finger protein 258	Transcription
0.33	AA402207	EYA2	Eyes absent (Drosophila) homolog 2	Transcription
0.33	N94468	JUNB	Jun B protooncogene	Transcription
0.33	H26183	CEBPB	CCAAT/enhancer – binding protein (C/EBP), beta	Transcription
0.5	P18146	EGR1	Early growth response 1	Transcription
0.33	AA454572	MCM2	MCM2 minichromosome maintenance – deficient 2, mitotin	Proliferation
0.045	H93118	H93118	Hypothetical protein FLJ12592	Unknown function
0.04	R76499	R76499	Hypothetical protein BCOO7384	Unknown function
0.11	N29376	MNDA	Myeloid cell nuclear differentiation antigen	Unknown function
0.12	R78516	SELT	Selenoprotein T	Unknown function
0.14	AA481758	DNAJBl	DnaJ (Hsp40) homolog, subfamily B, member 1	Unknown function
0.2	AA490991	HNRPF	Heterogeneous nuclear ribonucleoprotein F	Unknown function
0.2	N8Ol29	MTIL	Metallothionein 1L	Unknown function
0.2	R64251	DDX38	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 38	Unknown function
0.25	AA486518	CLIC1	Chloride intracellular channel 1	Unknown function
0.33	N49629	UBD	Ubiquitin D	Unknown function
0.33	AA459318	TPD52	TPD52 tumor protein D52	Unknown function
