Probe set	Uni gene	Symbol	Name	Pattern	Location P
202310_s_at	Hs.172928	COL1A1	collagen, type I, ?1	1	4.58E-12
216470_x_at	Hs.367767	PRSS1	protease, serine, 1 (trypsin 1)	3	1.29E-11
213089_at	Hs.545578	LOC153561	hypothetical protein LOC153561	1	1.23E-10
217683_at	Hs.117848	HBE1	Hemoglobin, epsilon 1	2	2.73E-10
203381_s_at	Hs.515465	APOE	apolipoprotein E	13	6.92E-10
1569491_at	Hs.531872	—	H. sapiens, clone IMAGE:5275957, mRNA	3	6.98E-10
214411_x_at	Hs.74502	CTRB1	chymotrypsinogen B1	3	1.49E-09
233149_at	Hs.132260	—	CDNA clone IMAGE:4750272, containing frame-shift errors	2	5.21E-09
1565659_at	Hs.32956	FUT6	Fucosyltransferase 6 (? (1,3) fucosyltransferase)	2	6.32E-09
224997_x_at	Hs.551588	H19	H19, imprinted maternally expressed untranslated mRNA	7	7.95E-09
202403_s_at	Hs.489142	COL1A2	collagen, type I, ?2	1	8.08E-09
1561891_at	Hs.385509	—	H. sapiens, clone IMAGE:4137880, mRNA	2	8.39E-09
211699_x_at	Hs.449630	HBA1, 2	hemoglobin, ?1, ?2	2	1.06E-08
216405_at	Hs.445351	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)	2	1.40E-08
1557505_a_at	Hs.167535	SRP54	signal recognition particle 54 kDa	1	1.41E-08
211745_x_at	Hs.449630	HBA1, 2	hemoglobin, ?1, ?2	2	1.47E-08
217572_at	Hs.551006	—	transcribed locus, strongly similar to NP_032244.1 hemoglobin ?, adult chain 1; ?1 globin [Mus musculus]	2	2.04E-08
209458_x_at	Hs.449630	HBA1, 2	hemoglobin, ?1, ?2	2	2.20E-08
1570339_x_at	Hs.535639	—	H. sapiens, clone IMAGE:4933000, mRNA	1	2.82E-08
241867_at	Hs.270244	PARP6	poly(ADP-ribose) polymerase family, member 6	2	2.86E-08
204018_x_at	Hs.449630	HBA1, 2	hemoglobin, ?1, ?2	2	4.03E-08
219039_at	Hs.516220	SEMA4C	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain (semaphorin) 4C	2	5.13E-08
236582_at	Hs.369606	CPSF6	cleavage and polyadenylation specific factor 6, 68 kDa	1	5.21E-08
1555778_a_at	Hs.136348	POSTN	periostin, osteoblast specific factor	1	5.37E-08
206446_s_at	Hs.21	ELA2A	elastase 2A	3	5.91E-08
226252_at	Hs.202577	—	CDNA FLJ34585 fis, clone KIDNE2008758	7	6.45E-08
224646_x_at	Hs.551588	H19	H19, imprinted maternally expressed untranslated mRNA	7	7.20E-08
1562265_at	Hs.378760	—	mRNA; cDNA DKFZp313I1020 (from clone DKFZp313I1020)	7	7.57E-08
206151_x_at	Hs.181289	ELA3B	elastase 3B, pancreatic	3	8.87E-08
206598_at	Hs.89832	INS	insulin	3	9.72E-08
227423_at	Hs.459507	LRRC28	leucine rich repeat containing 28	1	1.05E-07
205066_s_at	Hs.527295	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	12	1.09E-07
212099_at	Hs.502876	RHOB	ras homologue gene family, member B	7	1.19E-07
1557232_at	Hs.547594	—	H. sapiens, clone IMAGE:4797260, mRNA	1	1.21E-07
215076_s_at	Hs.443625	COL3A1	collagen, type III, ?1	2	1.28E-07
207463_x_at	Hs.435699	PRSS3	protease, serine, 3 (mesotrypsin)	3	1.34E-07
215540_at	Hs.74647	TRA@	T-cell receptor ? locus	13	1.35E-07
240482_at	Hs.519632	HDAC3	Histone deacetylase 3	2	1.38E-07
242846_at	Hs.445885	KIAA1217	KIAA1217	7	1.65E-07
206813_at	Hs.483811	CTF1	cardiotrophin 1	13	1.68E-07
205509_at	Hs.477891	CPB1	carboxypeptidase B1 (tissue)	3	1.78E-07
238062_at	Hs.426410	LOC338328	high density lipoprotein-binding protein	2	1.90E-07
1557690_x_at	Hs.156832	NPAS2	neuronal PAS domain protein 2	12	2.20E-07
205879_x_at	Hs.350321	RET	ret proto-oncogene	2	2.45E-07
219463_at	Hs.22920	C20orf103	chromosome 20 open reading frame 103	3	2.87E-07
210080_x_at	Hs.471034	ELA3A	elastase 3A, pancreatic (protease E)	3	2.96E-07
239373_at	Hs.62578	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2	1	2.98E-07
202936_s_at	Hs.2316	SOX9	SRY (sex determining region Y)-box 9	12	3.18E-07
244778_x_at	Hs.471818	M11S1	membrane component, chromosome 11, surface marker 1	7	3.23E-07
226061_s_at	Hs.188882	NUDT3	nudix (nucleoside diphosphate linked moiety X)-type motif 3	1	3.42E-07
