Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	RatioPPC/BMPC	GenBank	Gene	Localization	Description	Function
208910_s_at	U133A	2.2	2.8	2.8	4.1	L04636.1	C1QBP	17p13.3	complement component 1, q subcomponent binding protein	Intercellular communication signals
216194_s_at	U133A	1.8	2.4	2.4	3.7	AD001527	CKAP1	19q13.11-q13.12	cytoskeleton-associated protein 1	Cytosqueleton
202041_s_at	U133A	1.7	2	2.3	3.1	NM_004214.3	FIBP	11q13.1	fibroblast growth factor (acidic) intracellular binding protein	Transduction signals
201503_at	U133A	1.5	1.7	1.7	1.8	BG500067	G3BP	5q33.1	Ras-GTPase-activating protein SH3-domain-binding protein	Transduction signals
218192_at	U133A	1.6	2	2	1.9	NM_016291.1	IHPK2	3p21.31	inositol hexaphosphate kinase 2	Transduction signals
222077_s_at	U133A	1.7	2.1	1.8	8.3	AU153848	RACGAP1	12q13.12	Rac GTPase activating protein 1	Transduction signals
200750_s_at	U133A	1.7	2	2.1	3.7	AF054183.1	RAN	6p21	RAN, member RAS oncogene family	Transduction signals
222140_s_at	U133A	1.6	1.6	1.5	2	AK021758.1	SH120	1p36.13-q31.3	putative G-protein coupled receptor	Transduction signals
202266_at	U133A	1.6	2	2	2	NM_016614.1	TTRAP	6p22.3-p22.1	TRAF and TNF receptor-associated protein	Transduction signals
201947_s_at	U133A	1.6	2	2.2	3	NM_006431.1	CCT2	12q14.3	chaperonin containing TCP1, subunit 2 (beta)	Protein synthesis and regulation
208696_at	U133A	1.7	2.1	2.3	3.4	AF275798.1	CCT5	5p15.2	chaperonin containing TCP1, subunit 5 (epsilon)	Protein synthesis and regulation
200820_at	U133A	2.1	2.3	2.9	2.9	NM_002812.1	PSMD8	19q13.13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	Protein synthesis and regulation
218830_at	U133A	1.5	1.8	1.8	1.6	NM_016093.1	RPL26L1	5q35.2	ribosomal protein L26-like 1	Protein synthesis and regulation
203213_at	U133A	1.9	2.2	1.7	10.5	AL524035	CDC2	10q21.1	cell division cycle 2, G1 to S and G2 to M	Cell cycle
202892_at	U133A	1.7	2.3	2.2	2.2	NM_004661.1	CDC23	5q31	CDC23 (cell division cycle 23, yeast, homolog)	Cell cycle
202107_s_at	U133A	2.2	2.8	2.5	12.5	NM_004526.1	MCM2	3q21	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	Cell cycle
202589_at	U133A	2.1	2.9	2.5	11.6	NM_001071.1	TYMS	18p11.32	thymidylate synthetase	Cell cycle
220864_s_at	U133A	1.8	2.2	2.3	3.5	NM_015965.1	GRIM19	19p13.2	cell death-regulatory protein GRIM19	Apoptosis
202170_s_at	U133A	1.5	1.8	2.1	1.7	AF151057.1	AASDHPPT	11q22	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Metabolism
224903_at	U133B	1.6	1.7	1.7	4.4	AL519818	CIRH1A	16q22.1	testis expressed gene 292	Metabolism
217933_s_at	U133A	1.5	1.8	1.9	2.1	NM_015907.1	LAP3	4p15.32	leucine aminopeptidase 3	Metabolism
230027_s_at	U133B	1.9	2.3	2.4	13.7	N74662	MRPL43	10q24.31	mitochondrial ribosomal protein L43	Metabolism
204331_s_at	U133A	1.7	2.2	2.3	3	NM_021107.1	MRPS12	19q13.1-q13.2	mitochondrial ribosomal protein S12	Metabolism
201157_s_at	U133A	1.5	1.7	1.9	1.8	NM_021079.1	NMT1	17q21.31	N-myristoyltransferase 1	Metabolism
223100_s_at	U133B	1.5	1.9	2.1	4.7	BC000025.1	NUDT5	10p14-p13	nudix (nucleoside diphosphate linked moiety X)-type motif 5	Metabolism
208694_at	U133A	1.6	1.9	2.4	2.3	U47077.5	PRKDC	8q11	protein kinase, DNA-activated, catalytic polypeptide	Metabolism
209900_s_at	U133A	1.5	1.6	2	2.7	AL162079.1	SLC16A1	1p12	solute carrier family 16 (monocarboxylic acid transporters), member 1	Metabolism
226242_at	U133B	1.7	1.9	2.1	4.3	BF515750	ATF5	19q13.3	activating transcription factor 5	Nuclear functions
205345_at	U133A	1.7	2.1	2.3	5.2	NM_000465.1	BARD1	2q34-q35	BRCA1 associated RING domain 1	Nuclear functions
205394_at	U133A	1.6	2	1.8	7.9	NM_001274.1	CHEK1	11q24-q24	CHK1 checkpoint homolog (S. pombe)	Nuclear functions
201241_at	U133A	1.5	1.8	2	2.2	NM_004939.1	DDX1	2p24	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1	Nuclear functions
216212_s_at	U133A	2	2.8	2.8	3	AJ010395	DKC1	Xq28	dyskeratosis congenita 1, dyskerin	Nuclear functions
201323_at	U133A	1.7	2	1.8	2.8	NM_006824.1	EBNA1BP2	1p35-p33	EBNA1 binding protein 2	Nuclear functions
208887_at	U133A	1.5	1.8	1.9	1.5	BC000733.1	EIF3S4	19p13.2	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	Nuclear functions
203358_s_at	U133A	1.6	1.9	2.3	5.1	NM_004456.1	EZH2	7q35-q36	enhancer of zeste homolog 2 (Drosophila)	Nuclear functions
209971_x_at	U133A	1.6	2.1	2.1	2.1	AI928526	HRI	7p22	heme-regulated initiation factor 2-alpha kinase	Nuclear functions
204744_s_at	U133A	1.5	1.8	2.1	2.1	NM_013417.1	IARS	9q21	isoleucine-tRNA synthetase	Nuclear functions
202417_at	U133A	1.5	1.8	1.8	2.3	NM_012289.1	KEAP1	19p13.2	Kelch-like ECH-associated protein 1	Nuclear functions
202737_s_at	U133A	1.6	2	2.1	3.3	NM_012321.1	LSM4	19p13.11	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Nuclear functions
211747_s_at	U133A	1.5	1.9	1.9	1.5	BC005938.1	LSM5	7p14.3	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Nuclear functions
201970_s_at	U133A	1.5	1.8	2.8	10.6	NM_002482.1	NASP	1p34.1	nuclear autoantigenic sperm protein (histone-binding)	Nuclear functions
