GenBank accession no.	Symbol	Gene name	Predominantly expressed class	PermutationalP-value	Median-fold difference (log 2)
NM_024829	FLJ22662	Hypothetical protein FLJ22662	PD	8.1E?12	2
BC009799	AREG	Amphiregulin (schwannoma-derived growth factor)	PD	9.3E?12	8
NM_014325	CORO1C	Coronin, actin binding protein, 1C	PD	2.3E?10	4.6
BC010488	AVEN	Apoptosis, caspase activation inhibitor	PD	4.2E?10	4.3
NM_004090	DUSP3	Dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	PD	9.4E?10	4.4
AI026836	DJ473B4	Hypothetical protein dJ473B4	PD	1.7E?9	8
BU500509	PHLDA2	Pleckstrin homology-like domain, family A, member 2	PD	1.8E?9	8
NM_016090	RBM7	RNA binding motif protein 7	PD	1.8E?8	2.9
BX092512		EST	PD	7.7E?8	3
AI436027	OSMR	Oncostatin M receptor	PD	1.1E?7	3.7
AI971137	GCLC	Glutamate–cysteine ligase, catalytic subunit	PD	1.2E?7	3.9
BQ024877	COL4A3BP	Collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	PD	2.0E?7	3.6
U52522	ARFIP2	ADP-ribosylation factor interacting protein 2 (arfaptin 2)	PD	2.6E?7	2.8
BM996053	C10orf9	Chromosome 10 open reading frame 9	PD	4.2E?7	2.5
AK025452	NIP30	NEFA-interacting nuclear protein NIP30	PD	5.1E?7	3.7
N52048	KIAA0776	KIAA0776 protein	PD	5.4E?7	7.2
AA507009	SLC35F2	Solute carrier family 35, member F2	PD	6.0E?7	5.8
AA226243	GAMLG	Calcium modulating ligand	PD	6.8E?7	5
AF005888	NOC4	Neighbor of COX4	PD	1.1E?6	4
AF012281	PDZK1	PDZ domain containing 1	PD	1.3E?6	4.5
AI188190	DIS3	Mitotic control protein dis3 homolog	PD	1.7E?6	3.8
BC001535	CGI-48	CGI-48 protein	PD	2.0E?6	3.5
NM_007007	CPSF6	Cleavage and polyadenylation specific factor 6, 68?kDa	PD	2.2E?6	3.4
NM_002254	KIF3C	Kinesin family member 3C	PD	2.2E?6	3.5
BQ135232	CD9	CD9 antigen (p24)	PD	2.2E?6	1.7
BC051322	LRRC8	Leucine rich repeat containing 8	PD	2.5E?6	3.4
BC038504	SNF1LK	SNF1-like kinase	PD	2.6E?6	2.8
U78556	CRA	Cisplatin resistance associated	PD	2.7E?6	3.7
BC035625	EGR2	Early growth response 2 (Krox-20 homolog,Drosophila)	PD	3.4E?6	3
X52426	KRT13	Keratin 13	PD	1.9E?5	3.4
NM_005504	BCAT1	Branched chain aminotransferase 1, cytosolic	PD	2.3E?5	1.7
NM_006643	SDCCAG3	Serologically defined colon cancer antigen 3	PR	2.6E?5	3.7
AA464095	PIGK	Phosphatidylinositol glycan, class K	PD	3.2E?5	1.1
AA961188	MRPS9	Mitochondrial ribosomal protein S9	PD	9.8E?5	2.3
NM_018123	ASPM	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	PR	2.3E?4	2.8
NM_022735	ACBD3	acyl-Coenzyme A binding domain containing 3	PD	2.4E?4	3.8
AA160544	ZNF325	Zinc finger protein 325	PR	2.7E?4	4.5
AK057653	LOC285513	Hypothetical protein LOC285513	PD	2.7E?4	3.8
NM_003310	TSSC1	Tumor suppressing subtransferable candidate 1	PD	2.9E?4	4.7
BC007451	XAB1	XPA binding protein 1	PD	3.0E?4	1.3
BC035467	HNLF	Putative NFkB activating protein HNLF	PR	3.5E?4	1.1
CK004097	EIF4EBP2	Eukaryotic translation initiation factor 4E binding protein 2	PR	3.6E?4	1.4
NM_144683	MGC23280	Hypothetical protein MGC23280	PR	4.2E?4	2.3
NM_004600	SSA2	Sjogren syndrome antigen A2 (60?kDa, ribonucleoprotein autoantigen SS-A/Ro)	PR	4.2E?4	1.2
NM_002730	PRKACA	Protein kinase, cAMP-dependent, catalytic, alpha	PR	5.0E?4	1.2
NM_005102	FEZ2	Fasciculation and elongation protein zeta 2 (zygin II)	PD	6.1E?4	3.3
NM_005839	SRRM1	Serine/arginine repetitive matrix 1	PR	7.0E?4	1.4
NM_006207	PDGFRL	Platelet-derived growth factor receptor-like	PD	7.0E?4	2.4
AI096936	SNX13	Sorting nexin 13	PR	8.4E?4	1.6
NM_014785	KIAA0258	KIAA0258 gene product	PD	8.9E?4	2.5
BF973104	TOM7	Homolog of Tom7 (S. cerevisiae)	PR	1.0E?3	1.5
