Probe set ID	Unigene	Gene symbol	Chromosomal location	P
202337_at	Hs.94446	PMF1	chr1q12	0.0095375
214197_s_at	Hs.20991	SETDB1	chr1q21	0.0016913
217778_at	Hs.7854	SLC39A1	chr1q21	0.0044798
212147_at	Hs.4990	SMG5	chr1q21.2	0.0024339
208100_x_at	Hs.516316	SEMA6C	chr1q21.2	0.0029472
202596_at	Hs.111680	ENSA	chr1q21.2	0.005137
217007_s_at	Hs.92208	ADAM15	chr1q21.3	0.002951
219373_at	Hs.110477	DPM3	chr1q22	0.0049546
219125_s_at	Hs.292154	RAG1AP1	chr1q22	0.0085894
205789_at	Hs.1799	CD1D	chr1q22-q23	0.0023229
216885_s_at	Hs.110707	WDR42A	chr1q22-q23	0.0096002
205253_at	Hs.155691	PBX1	chr1q23	0.0079297
217797_at	Hs.177507	Ufc1	chr1q23.3	0.0063011
201482_at	Hs.77266	QSCN6	chr1q24	0.0011956
207350_s_at	Hs.102664	VAMP4	chr1q24-q25	0.0017361
215109_at	Hs.127338	KIAA0492	chr1q25.1	0.007433
218253_s_at	Hs.274151	LGTN	chr1q31-q32	0.000072
208270_s_at	Hs.283667	RNPEP	chr1q32	0.0078793
212165_at	Hs.17481	TMEM183A	chr1q32.1	0.0064554
202186_x_at	Hs.155079	PPP2R5A	chr1q32.2-q32.3	0.0048414
212922_s_at	Hs.66170	SMYD2	chr1q41	0.008241
220406_at	Hs.169300.1	TGFB2	chr1q41	0.000893
207025_at	Hs.100072	GJA12	chr1q41-q42	0.0042464
220279_at	Hs.121748	TRIM17	chr1q42	0.0000805
213595_s_at	Hs.326691	CDC42BPA	chr1q42.11	0.000582
215583_at	Hs.287529	TMEM63A	chr1q42.12	0.00429
221582_at	Hs.28777	HIST3H2A	chr1q42.13	0.0000185
212155_at	Hs.144904	RNF187	chr1q42.13	0.005275
205689_at	Hs.31438	PCNXL2	chr1q42.2	0.000767
208934_s_at	Hs.4082	LGALS8	chr1q42-q43	0.0063052
203581_at	Hs.119007	RAB4A	chr1q42-q43	0.0074064
204678_s_at	Hs.79351	KCNK1	chr1q42-q43	0.0094796
220661_s_at	Hs.23617	ZNF692	chr1q44	0.0026939
