Search key	Title	Gene	Cluster	Chr	Cytoband	Entrez Gene
Hs.492314	Lysosomal associated protein transmembrane 4 beta	LAPTM4B	Hs.492314	8	8q22.1	55353
Hs.643487	Acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	ACAA1	Hs.643487	N/A	3p23-p22	30
Hs.222055	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	NDST1	Hs.222055	5	5q33.1	3340
Hs.23131	Kinesin family member C3	KIFC3	Hs.23131	16	16q13-q21	3801
Hs.654836	Tetraspanin 4	TSPAN4	N/A	N/A	N/A	N/A
Hs.370549	B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A	Hs.370549	2	2p16.1	53335
Hs.659321	Zinc finger protein 253	ZNF253	N/A	N/A	N/A	N/A
Hs.418581	FLJ20160 protein	FLJ20160	Hs.418581	2	2q32.2	54842
Hs.431400	Retinoic acid induced 14	RAI14	Hs.431400	5	5p13.3-p13.2	26064
Hs.435166	Lamin B receptor	LBR	Hs.435166	1	1q42.1	3930
Hs.445977	General transcription factor IIIA	GTF3A	Hs.445977	13	13q12.3-q13.1	2971
Hs.47166	Chromosome 3 open reading frame 14	C3orf14	Hs.47166	3	3p14.2	57415
Hs.517603	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	MFNG	Hs.517603	22	22q12	4242
Hs.523875	Inositol polyphosphate phosphatase-like 1	INPPL1	Hs.523875	11	11q23	3636
Hs.531941	V-myb myeloblastosis viral oncogene homolog (avian)	MYB	Hs.531941	6	6q22-q23	4602
Hs.533040	PDZ and LIM domain 7 (enigma)	PDLIM7	Hs.533040	5	5q35.3	9260
Hs.533719	Rho guanine nucleotide exchange factor (GEF) 17	ARHGEF17	Hs.533719	11	11q13.4	9828
Hs.534309	Cysteine-rich protein 2	CRIP2	Hs.534309	14	14q32.3	1397
Hs.85195	Myeloid leukemia factor 1	MLF1	Hs.85195	3	3q25.1	4291
