ID	Gene Symbol	Gene Title	logFC	t	P.Value	adj.P.Val	B	Pathway	go biological process term	go molecular function term	go cellular component term
213880_at	LGR5	leucine-rich repeat-containing G protein-coupled receptor 5	5.290612188	17.13250635	0.0000146	0.0025925	4.136886944	---	signal transduction /// G-protein coupled receptor protein signaling pathway /// G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// G-protein coupled receptor activity /// protein binding /// protein-hormone receptor activity	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
225688_s_at	PHLDB2 /// PLCXD2	pleckstrin homology-like domain, family B, member 2 /// phosphatidylinositol-specific phospholipase C, X domain containing 2	4.348138457	12.29272221	0.000072	0.004945762	2.45552861	---	signal transduction /// intracellular signaling cascade /// lipid catabolic process	phospholipase C activity /// signal transducer activity /// hydrolase activity	cytoplasm /// membrane
207761_s_at	METTL7A	methyltransferase like 7A	4.215496211	12.76465751	0.0000601	0.004643294	2.651096908	---	metabolic process	methyltransferase activity /// transferase activity	---
225912_at	TP53INP1	tumor protein p53 inducible nuclear protein 1	3.93498343	6.412098302	0.001474925	0.01993943	-0.9538504	---	apoptosis	---	nucleus
210393_at	LGR5	leucine-rich repeat-containing G protein-coupled receptor 5	3.891128711	36.45044083	0.000000371	0.000786578	7.26086208	---	signal transduction /// G-protein coupled receptor protein signaling pathway /// G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// G-protein coupled receptor activity /// protein binding /// protein-hormone receptor activity	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
242904_x_at	---	---	3.837465829	5.691259515	0.002493029	0.026806386	-1.558229352	---	---	---	---
1569532_a_at	RP11-216L13.5	MSFL2541	3.800598842	6.062286721	0.001890961	0.022988731	-1.239878713	---	lipid metabolic process /// transport	transporter activity /// binding	extracellular region
202094_at	BIRC5	baculoviral IAP repeat-containing 5	3.772706675	8.56051733	0.000395789	0.010723324	0.552310253	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Apoptosis>Apoptosis</a>	G2/M transition of mitotic cell cycle /// cytokinesis /// apoptosis /// anti-apoptosis /// cell cycle /// mitosis /// cell surface receptor linked signal transduction /// protein complex localization /// protein complex localization /// positive regulatio	endopeptidase inhibitor activity /// cysteine protease inhibitor activity /// receptor activity /// receptor activity /// protein binding /// protein binding /// microtubule binding /// peptidase activity /// zinc ion binding /// zinc ion binding /// tubu	chromosome, centromeric region /// chromosome, centromeric region /// chromosome, centromeric region /// intracellular /// nucleus /// chromosome /// cytoplasm /// cytoplasm /// cytoplasm /// centriole /// cytosol /// spindle microtubule /// cytoplasmic m
229305_at	MLF1IP	MLF1 interacting protein	3.680441441	24.37981048	0.00000264	0.001314544	5.756380134	---	transcription /// regulation of transcription, DNA-dependent /// signal transduction /// interspecies interaction between organisms	transcription factor activity /// signal transducer activity	chromosome, centromeric region /// condensed chromosome kinetochore /// nucleus /// chromosome /// cytoplasm
207214_at	SPINK4	serine peptidase inhibitor, Kazal type 4	3.679278468	3.395670564	0.019958569	0.097520006	-3.937931329	---	---	endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity	extracellular region
223939_at	SUCNR1	succinate receptor 1	3.675100684	10.03025896	0.000188761	0.00769515	1.388442734	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:GPCRDB_Class_A_Rhodopsin-like>GPCRDB_Class_A_Rhodopsin-like</a>	signal transduction /// G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// purinergic nucleotide receptor activity, G-protein coupled	plasma membrane /// membrane /// integral to membrane /// integral to membrane
210334_x_at	BIRC5	baculoviral IAP repeat-containing 5	3.603561503	7.040635317	0.000969384	0.016346283	-0.471445334	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Apoptosis>Apoptosis</a>	G2/M transition of mitotic cell cycle /// cytokinesis /// apoptosis /// anti-apoptosis /// cell cycle /// mitosis /// cell surface receptor linked signal transduction /// protein complex localization /// protein complex localization /// positive regulatio	endopeptidase inhibitor activity /// cysteine protease inhibitor activity /// receptor activity /// receptor activity /// protein binding /// protein binding /// microtubule binding /// peptidase activity /// zinc ion binding /// zinc ion binding /// tubu	chromosome, centromeric region /// chromosome, centromeric region /// chromosome, centromeric region /// intracellular /// nucleus /// chromosome /// cytoplasm /// cytoplasm /// cytoplasm /// centriole /// cytosol /// spindle microtubule /// cytoplasmic m
217010_s_at	CDC25C	cell division cycle 25 homolog C (S. pombe)	3.595628465	12.94620165	0.0000562	0.004558275	2.724173289	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Cell_cycle_KEGG>Cell_cycle_KEGG</a>	regulation of cyclin-dependent protein kinase activity /// M phase of mitotic cell cycle /// M phase of mitotic cell cycle /// DNA replication /// protein amino acid dephosphorylation /// cell cycle /// mitosis /// regulation of mitosis /// traversing sta	phosphoprotein phosphatase activity /// protein tyrosine phosphatase activity /// protein tyrosine phosphatase activity /// protein binding /// hydrolase activity	intracellular /// nucleus /// nucleoplasm /// cytosol
209118_s_at	TUBA1A	tubulin, alpha 1a	3.463389697	5.214507701	0.003632631	0.033749212	-1.991742213	---	microtubule-based process /// microtubule-based movement /// protein polymerization	nucleotide binding /// GTPase activity /// structural molecule activity /// GTP binding /// protein domain specific binding	microtubule /// protein complex
226731_at	PELO	Pelota homolog (Drosophila)	3.419722887	25.95918671	0.00000194	0.001202654	6.018381466	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Integrin-mediated_cell_adhesion_KEGG>Integrin-mediated_cell_adhesion_KEGG</a>	translation /// cell adhesion /// cell-matrix adhesion /// integrin-mediated signaling pathway /// neutrophil chemotaxis /// cellular extravasation	magnesium ion binding /// receptor activity /// calcium ion binding /// protein binding /// protein binding /// collagen binding	nucleus /// integrin complex /// integrin complex /// external side of plasma membrane /// membrane /// integral to membrane
219990_at	E2F8	E2F transcription factor 8	3.399831224	10.3366786	0.000163812	0.007200929	1.547105617	---	transcription /// regulation of transcription, DNA-dependent /// cell cycle	DNA binding /// transcription factor activity	nucleus /// transcription factor complex
218755_at	KIF20A	kinesin family member 20A	3.30757306	8.089330279	0.00051419	0.012080658	0.254306704	---	transport /// microtubule-based movement /// protein transport /// vesicle-mediated transport	nucleotide binding /// motor activity /// microtubule motor activity /// transporter activity /// ATP binding	nucleoplasm /// Golgi apparatus /// Golgi apparatus /// microtubule /// microtubule associated complex
228987_at	---	---	3.290271993	12.18224808	0.0000752	0.00508441	2.4085383	---	---	---	---
1556499_s_at	COL1A1	collagen, type I, alpha 1	3.283003043	9.90593435	0.000200165	0.007888475	1.322641178	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Inflammatory_Response_Pathway>Inflammatory_Response_Pathway</a>	skeletal development /// ossification /// phosphate transport /// response to nutrient /// sensory perception of sound /// epidermis development /// response to mechanical stimulus /// response to inorganic substance /// response to corticosteroid stimulu	structural molecule activity /// extracellular matrix structural constituent /// protein binding	extracellular region /// extracellular region /// proteinaceous extracellular matrix /// collagen /// cytoplasm /// plasma membrane
212023_s_at	MKI67	antigen identified by monoclonal antibody Ki-67	3.203480223	6.987250097	0.001003311	0.016514522	-0.51093789	---	cell cycle /// cell proliferation	nucleotide binding /// protein binding /// ATP binding	nucleus
212776_s_at	OBSL1	obscurin-like 1	3.203448068	10.21880355	0.000172913	0.007418182	1.486652549	---	cytoskeleton organization and biogenesis /// cardiac myofibril assembly	cytoskeletal adaptor activity /// kinase activity	intercalated disc /// Z disc /// M band /// perinuclear region of cytoplasm
205046_at	CENPE	centromere protein E, 312kDa	3.191873407	8.621007525	0.00038307	0.010576609	0.589425629	---	mitotic metaphase /// microtubule-based movement /// cell cycle /// mitosis /// mitotic chromosome movement towards spindle pole /// mitotic metaphase plate congression /// cell division /// kinetochore assembly	nucleotide binding /// motor activity /// microtubule motor activity /// microtubule motor activity /// protein binding /// ATP binding /// kinetochore binding	chromosome, centromeric region /// chromosome, centromeric region /// condensed chromosome kinetochore /// outer kinetochore of condensed chromosome /// nucleus /// nucleus /// spindle /// microtubule /// microtubule associated complex
204891_s_at	LCK	lymphocyte-specific protein tyrosine kinase	3.191435907	8.499968501	0.000409029	0.010868907	0.514905157	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Inflammatory_Response_Pathway>Inflammatory_Response_Pathway</a>	protein amino acid phosphorylation /// protein amino acid phosphorylation /// cellular zinc ion homeostasis /// cellular zinc ion homeostasis /// induction of apoptosis /// induction of apoptosis /// caspase activation /// caspase activation /// intracell	nucleotide binding /// glycoprotein binding /// protein kinase activity /// protein tyrosine kinase activity /// protein tyrosine kinase activity /// protein tyrosine kinase activity /// protein tyrosine kinase activity /// non-membrane spanning protein t	pericentriolar material /// pericentriolar material /// cytoplasm /// cytosol /// plasma membrane /// plasma membrane /// plasma membrane /// membrane /// membrane raft /// membrane raft
215509_s_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	3.191099528	6.362172578	0.001527123	0.020328852	-0.993870793	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Cell_cycle_KEGG>Cell_cycle_KEGG</a>	protein amino acid phosphorylation /// cell cycle /// mitosis /// mitotic cell cycle checkpoint /// mitotic cell cycle spindle assembly checkpoint /// cell proliferation /// cell division	nucleotide binding /// protein kinase activity /// protein kinase activity /// protein serine/threonine kinase activity /// ATP binding /// kinase activity /// transferase activity	kinetochore /// kinetochore /// condensed chromosome kinetochore /// nucleus /// spindle pole body
229538_s_at	IQGAP3	IQ motif containing GTPase activating protein 3	3.144488951	7.189837497	0.000881548	0.015585507	-0.362455725	---	signal transduction /// small GTPase mediated signal transduction /// regulation of small GTPase mediated signal transduction	GTPase activator activity /// Ras GTPase activator activity /// calmodulin binding	intracellular
221541_at	CRISPLD2	cysteine-rich secretory protein LCCL domain containing 2	3.124847733	7.112960278	0.000925568	0.016016012	-0.418360501	---	lung development	---	extracellular region /// transport vesicle
210764_s_at	CYR61	cysteine-rich, angiogenic inducer, 61	3.12005607	12.20739685	0.0000744	0.005054856	2.419276773	<a target=external href=http://www.wikipathways.org/index.php/Pathway:Homo_sapiens:Hypertrophy_model>Hypertrophy_model</a>	regulation of cell growth /// chemotaxis /// cell adhesion /// cell proliferation /// anatomical structure morphogenesis	protein binding /// insulin-like growth factor binding /// heparin binding /// growth factor binding	extracellular region
1554966_a_at	FILIP1L	filamin A interacting protein 1-like	3.090606568	21.35054359	0.00000503	0.00160877	5.174239437	---	---	---	myosin complex
223785_at	FANCI	Fanconi anemia, complementation group I	3.077965298	3.791078338	0.013231567	0.075204472	-3.472552557	---	DNA repair /// response to DNA damage stimulus /// cell cycle	protein binding	nucleus /// chromosome
236201_at	---	---	3.070889848	2.945741787	0.032837143	0.130258041	-4.495363861	---	---	---	---
239806_at	---	---	3.070657349	7.878873078	0.000580486	0.012825184	0.115872287	---	---	---	---
1554696_s_at	TYMS	thymidylate synthetase	3.002692152	11.33680848	0.000105818	0.005952958	2.032668037	---	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process /// dTMP biosynthetic process /// DNA replication /// DNA repair /// deoxyribonucleoside monophosphate biosynthetic process /// nucleotide biosynthetic process /// phosphoinositide-medi	thymidylate synthase activity /// thymidylate synthase activity /// methyltransferase activity /// transferase activity	cytosol
205229_s_at	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	3.00036571	6.023116509	0.001945703	0.023326407	-1.272741409	---	sensory perception of sound /// sensory perception of sound	---	extracellular region /// proteinaceous extracellular matrix
203390_s_at	KIF3C	kinesin family member 3C	2.998725426	15.3421481	0.0000249	0.003126092	3.590138498	---	translation /// microtubule-based movement	nucleotide binding /// structural constituent of ribosome /// motor activity /// motor activity /// microtubule motor activity /// ATP binding	intracellular /// ribosome /// kinesin complex /// microtubule /// microtubule associated complex
201969_at	NASP	nuclear autoantigenic sperm protein (histone-binding)	2.945179693	9.78576462	0.000211979	0.008136327	1.258232152	---	blastocyst development /// DNA replication /// DNA replication /// transport /// cell cycle /// cell cycle /// cell proliferation /// protein transport /// histone exchange	binding /// protein binding /// Hsp90 protein binding	nucleus /// nucleus /// cytoplasm
201890_at	RRM2	ribonucleotide reductase M2 polypeptide	2.930134004	8.575398926	0.000392614	0.010705132	0.561464647	---	DNA replication /// DNA replication /// deoxyribonucleoside diphosphate metabolic process /// oxidation reduction	ribonucleoside-diphosphate reductase activity /// ribonucleoside-diphosphate reductase activity /// iron ion binding /// protein binding /// oxidoreductase activity /// metal ion binding /// transition metal ion binding	cytoplasm /// cytoplasm /// cytosol
212949_at	NCAPH	non-SMC condensin I complex, subunit H	2.927182957	6.960531279	0.00102082	0.016661581	-0.530803101	---	mitotic cell cycle /// cell cycle /// mitosis /// mitotic chromosome condensation /// mitotic chromosome condensation /// cell division	---	nucleus /// cytoplasm
203764_at	DLGAP5	discs, large (Drosophila) homolog-associated protein 5	2.924249404	6.13625822	0.001792467	0.022302673	-1.178285474	---	M phase of mitotic cell cycle /// M phase of mitotic cell cycle /// cell cycle /// mitotic chromosome movement towards spindle pole /// cell-cell signaling /// cell proliferation /// positive regulation of mitotic metaphase/anaphase transition	phosphoprotein phosphatase activity /// phosphoprotein phosphatase activity /// protein binding	nucleus /// nucleus /// nucleus /// cytoplasm /// spindle pole centrosome /// spindle pole centrosome
