Contig	Putative product	UniProt accession	Location	Stage	ESTs
Sm12542	Tetraspanin 1	O44420	Membrane	2+7	3/4
Sm04463	Tetraspanin 2	O44420		7	1/1
Sm03463	Hypothetical	N/A		2+7	3/4
Sm12462	SGTP4	Q26581		7	5/5
Sm13225	Sodium ion channel	Q6ZMN3		7	1/1
Sm11655	Cadherin	Q8VDA1		7	1/1
Sm12654	Scramblase	P58195	Membrane associated	2+7	1/1
Sm07783	Annexin 1	Q86DV3		2+7	1/1
Sm03987	Annexin 2	Q86E42		7	1/1
Sm12683	Hypothetical containing PDZ	Q801P2		7	2/2
Sm13052	Tensin	Q8IZW7		7	2/2
Sm13221	Hypothetical	N/A	Secreted	2+7	1/1
Sm12775	Wasp venom allergen	Q86F86		7	2/3
Sm12764	Antigen 5	Q86FG7		7	5/5
Sm12352	Hypothetical	N/A		7	2/2
Sm01621	Hypothetical	N/A		7	1/1
Sm00556	Arp-2	Q7SXW6	Cytoskeleton	2+7	1/1
Sm12997	Severin1	Q24800		2+7	2/2
Sm12742	Severin 2	Q24800		2+7	3/3
Sm13240	Fimbrin	Q26574		7	14/14
Sm12876	SM22.6	P14202		7	9/11
Sm03779	LAMP	Q86E98	Organelle	2+7	1/1
Sm12766	Mitochondrial ribosomal protein	Q86EG7		7	1/1
Sm12907	Cathepsin B1 isotype 2	Q8MNY1		7	1/5
Sm00165/Sm00493/Sm11814	Lactate dehydrogenase	Q7Z1I3	Cytosolic	2+7	8/9
Sm09078	Ribosomal protein	Q86DZ5		2+7	1/1
Sm13152	Hypothetical	Q7PWE8		7	1/1
Sm04825	Hypothetical	Q8MPF1	Unknown	7	2/3
Sm11584	Hypothetical	N/A		2+7	1/1
Sm13096	Hypothetical	N/A		2+7	4/4
Sm05403	Hypothetical	N/A		2+7	1/1
Sm11750	Hypothetical	N/A		2+7	1/1
Sm11870	Hypothetical	N/A		2+7	1/2
Sm12883	Hypothetical	N/A		2+7	1/1
Sm12913	Hypothetical	N/A		7	1/2
Sm29274	Hypothetical	N/A		7	1/1
