Column #	Probeset ID	Gene Symbol	Gene Title	RefSeq Transcript ID	p-value(MDS vs. Non-leukemia and healthy bone marrow)	stepup(p-value(MDS vs. Non-leukemia and healthy bone marrow))	Fold-Change(MDS vs. Non-leukemia and healthy bone marrow)	MDS - Mean	MDS - Median	MDS - Std	Non-leukemia and healthy bone marrow - Mean	Non-leukemia and healthy bone marrow - Median	Non-leukemia and healthy bone marrow - Std
10608	201150_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	NM_000362	5.13E-06	0.000547845	1.52815	4.72083	4.43807	1.06096	4.10904	3.95569	0.653953
35783	226517_at	BCAT1	branched chain amino-acid transaminase 1, cytosolic	NM_001178091 /// NM_001178092 /// NM_001178093 /// NM_001178094 /// NM_005504	3.16E-05	0.00203529	1.53009	6.99542	7.15021	1.08291	6.3818	6.5071	1.03313
20059	210664_s_at	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	NM_001032281 /// NM_006287	3.63E-05	0.00225728	1.53335	5.93996	5.82579	1.14731	5.32327	5.0756	0.881907
22463	213150_at	HOXA10	homeobox A10	NM_018951 /// NM_153715	8.46E-05	0.00410626	1.53594	5.86995	5.5249	1.28912	5.25083	5.26089	0.570596
21779	212464_s_at	FN1	fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478	3.04E-05	0.00197075	1.53733	4.37802	3.91082	1.21038	3.75759	3.69088	0.569791
27066	217771_at	GOLM1	golgi membrane protein 1	NM_016548 /// NM_177937	3.09E-07	6.63E-05	1.5391	5.70035	5.66122	0.947707	5.07826	5.04788	0.627611
239	1552583_s_at	ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene	NR_003087 /// NR_003088	0.00370831	0.0532296	1.54024	5.77685	5.75844	1.61838	5.1537	5.25114	1.42962
12933	203476_at	TPBG	trophoblast glycoprotein	NM_001166392 /// NM_006670	1.30E-07	3.43E-05	1.54251	5.47982	5.26102	0.947947	4.85454	4.74125	0.486483
36150	226885_at				0.000100024	0.00464632	1.54573	5.92568	6.05934	1.23394	5.2974	5.27913	0.987763
28195	218901_at	PLSCR4	phospholipid scramblase 4	NM_001128304 /// NM_001128305 /// NM_001128306 /// NM_001177304 /// NM_020353 //	1.46E-05	0.00116075	1.548	4.83949	4.71013	1.14338	4.20908	4.03028	0.748711
12067	202609_at	EPS8	epidermal growth factor receptor pathway substrate 8	NM_004447	4.43E-07	8.56E-05	1.5537	4.42639	4.16679	1.00805	3.79068	3.60782	0.527452
14823	205366_s_at	HOXB6	homeobox B6	NM_018952	2.06E-05	0.00148146	1.55542	4.20553	3.76394	1.25649	3.56822	3.56179	0.227021
22290	212977_at	CXCR7	chemokine (C-X-C motif) receptor 7	NM_020311	0.000194801	0.00743765	1.56052	5.34472	4.92549	1.39304	4.7027	4.60245	0.737491
27627	218332_at	BEX1	brain expressed, X-linked 1	NM_018476	0.000344364	0.0111541	1.56565	10.4596	10.7558	1.38968	9.81284	9.8725	1.08573
14508	205051_s_at	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	NM_000222 /// NM_001093772	3.62E-07	7.33E-05	1.56877	7.10786	7.15255	0.965164	6.45822	6.55411	0.776528
19896	210495_x_at	FN1	fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478	7.90E-06	0.00073818	1.57124	4.90279	4.51887	1.18367	4.25088	4.17103	0.561114
12012	202554_s_at	GSTM3	glutathione S-transferase mu 3 (brain)	NM_000849 /// NR_024537	6.04E-05	0.00323969	1.57214	7.07281	7.04378	1.20774	6.42008	6.43942	1.10771
18809	209386_at	TM4SF1	transmembrane 4 L six family member 1	NM_014220	0.000166879	0.00668144	1.58397	5.37769	4.71962	1.39042	4.71414	4.40929	0.915538
47281	238022_at	CRNDE	colorectal neoplasia differentially expressed (non-protein coding)	XR_042100 /// XR_042101 /// XR_042102	2.17E-05	0.00154288	1.58793	6.02718	5.99868	1.2535	5.36003	5.40562	0.729566
29131	219837_s_at	CYTL1	cytokine-like 1	NM_018659	0.000191116	0.0073328	1.59106	7.21417	7.17456	1.40735	6.54418	6.75067	0.973414
38714	229450_at	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	NM_001031683 /// NM_001549	0.00495946	0.0643012	1.59263	7.30296	7.008	1.77719	6.63155	6.36274	1.66775
7859	1565358_at	RARA	retinoic acid receptor, alpha	NM_000964 /// NM_001024809 /// NM_001145301 /// NM_001145302	0.0024532	0.0411451	1.64194	6.22018	6.33137	1.74698	5.50478	5.54267	1.66852
42632	233371_at	ABCC13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene	NR_003087 /// NR_003088	0.00284352	0.0450114	1.64666	6.52177	6.65704	1.81307	5.80222	5.92114	1.6153
22649	213338_at	TMEM158	transmembrane protein 158 (gene/pseudogene)	NM_015444	3.48E-05	0.00219096	1.65627	7.43923	7.28049	1.32925	6.7113	6.44722	1.11447
37321	228057_at	DDIT4L	DNA-damage-inducible transcript 4-like	NM_145244	2.05E-07	4.87E-05	1.65789	4.46123	3.94999	1.151	3.73188	3.6824	0.405432
19310	209894_at	LEPR	leptin receptor	NM_001003679 /// NM_001003680 /// NM_002303	0.000125124	0.00545545	1.67218	6.99632	7.10265	1.46163	6.25459	6.30585	1.23922
47280	238021_s_at	CRNDE	colorectal neoplasia differentially expressed (non-protein coding)	XR_042100 /// XR_042101 /// XR_042102	1.79E-05	0.001341	1.68379	6.61785	6.68363	1.40771	5.86614	5.83656	0.763259
23959	214651_s_at	HOXA9	homeobox A9	NM_152739	4.80E-05	0.00275818	1.70202	7.37413	7.25338	1.50603	6.60688	6.80782	0.886378
23107	213797_at	RSAD2	radical S-adenosyl methionine domain containing 2	NM_080657	1.52E-05	0.00119678	1.70566	6.81777	6.74179	1.2536	6.04743	5.88692	1.39023
29404	220110_s_at	NXF3	nuclear RNA export factor 3	NM_022052	1.54E-07	3.88E-05	1.71977	6.17156	6.21776	1.15321	5.38934	5.38209	0.799224
21050	211719_x_at	FN1	fibronectin 1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478	1.50E-05	0.00117883	1.72306	4.94025	4.29428	1.48582	4.15527	3.9211	0.614373
51884	242625_at	RSAD2	radical S-adenosyl methionine domain containing 2	NM_080657	5.37E-05	0.00297152	1.73681	6.82042	6.70223	1.42022	6.02398	5.82726	1.46595
22726	213415_at	CLIC2	chloride intracellular channel 2	NM_001289	1.38E-06	0.000204413	1.74056	6.70789	6.79383	1.21664	5.90833	6.00209	1.13334
35712	226446_at	HES6	hairy and enhancer of split 6 (Drosophila)	NM_001142853 /// NM_018645	2.36E-09	1.53E-06	1.7471	7.4479	7.44371	1.03718	6.64294	6.64521	0.710183
11125	201667_at	GJA1	gap junction protein, alpha 1, 43kDa	NM_000165	0.00022868	0.00835766	1.77877	4.35371	3.50773	1.81182	3.52283	3.0961	1.02361
33091	223805_at	OSBPL6	oxysterol binding protein-like 6	NM_032523 /// NM_145739	1.06E-10	1.26E-07	1.79113	4.3866	4.07628	1.01273	3.54573	3.45386	0.609293
25365	216063_at	HBBP1	hemoglobin, beta pseudogene 1	NR_001589	1.30E-06	0.00019755	1.80158	6.13045	5.70561	1.38586	5.28118	5.20501	0.845224
22569	213258_at	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	NM_001032281 /// NM_006287	1.59E-07	3.98E-05	1.80464	5.44798	5.30737	1.24448	4.59627	4.49766	0.921788
13368	203911_at	RAP1GAP	RAP1 GTPase activating protein	NM_001145657 /// NM_001145658 /// NM_002885	1.43E-08	6.30E-06	1.82149	7.92383	7.66869	1.13653	7.05871	6.80389	0.95776
12611	203153_at	IFIT1	interferon-induced protein with tetratricopeptide repeats 1	NM_001548	0.000189438	0.00729403	1.83582	7.00965	6.72665	1.76224	6.13322	6.03087	1.55072
1436	1554242_a_at	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	NM_001135058 /// NM_004086	4.24E-10	3.74E-07	1.83808	5.45772	5.28341	1.11639	4.57952	4.49447	0.558613
15652	206196_s_at	RUNDC3A	RUN domain containing 3A	NM_001144825 /// NM_001144826 /// NM_006695	1.54E-06	0.000221856	1.86484	5.94848	5.7365	1.43588	5.04943	4.97528	1.07454
50276	241017_at	RPL31 /// TBC1D8	ribosomal protein L31 /// TBC1 domain family, member 8 (with GRAM domain)	NM_000993 /// NM_001098577 /// NM_001099693 /// NM_001102426	2.27E-07	5.26E-05	1.96455	5.72887	5.28132	1.54082	4.75467	4.73388	0.563152
22423	213110_s_at	COL4A5	collagen, type IV, alpha 5	NM_000495 /// NM_033380 /// NM_033381	3.19E-10	3.11E-07	2.08029	4.19136	3.46019	1.38576	3.13457	3.10585	0.209243
32351	223062_s_at	PSAT1	phosphoserine aminotransferase 1	NM_021154 /// NM_058179	2.86E-08	1.02E-05	2.10035	6.18561	6.15487	1.53218	5.11498	5.05749	0.831
14686	205229_s_at	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	NM_001135058 /// NM_004086	4.34E-13	9.47E-10	2.22075	6.74056	6.71463	1.2226	5.58952	5.68046	0.740602
18982	209560_s_at	DLK1	delta-like 1 homolog (Drosophila)	NM_003836	1.05E-06	0.000169003	2.25665	4.81161	3.95089	2.00813	3.63742	3.57936	0.3762
11869	202411_at	IFI27	interferon, alpha-inducible protein 27	NM_001130080 /// NM_005532	8.10E-09	4.14E-06	2.55727	6.23663	6.01804	1.68982	4.88202	4.21429	1.6529
13403	203946_s_at	ARG2	arginase, type II	NM_001172	1.04E-09	8.00E-07	2.57672	4.97472	4.13606	1.83196	3.60918	3.4521	0.505809
38886	229622_at	FAM132B	family with sequence similarity 132, member B	XM_001130886 /// XM_001714385	6.52E-19	1.26E-14	3.54715	8.02955	8.20778	1.41559	6.20289	6.1301	1.39265
