Gene name	EntrezGene ID	fold change over ERpositive	perm. p?value
PFKP: phosphofructokinase, platelet	5214	3.84	0.000007
CXCL10: chemokine (C-X-C motif) ligand 10	3627	3.81	0.000026			Gene name EntrezGene ID
MET	4233	2.75	0.000052			fold change over ERpositive
maternal embryonic leucine zipper kinase	9833	2.72	0.000005			perm. p?value
PDXK	8566	2.7	0.000001
LYN	4067	2.6	0.000114
CCL4: chemokine (C-C motif) ligand 4	6351	2.54	0.000298
CHEK1	1111	2.54	0.000049
EGFR	1956	2.51	0.000112
PRKX /// PRKY	5613	2.49	0.000009
AURKB: aurora kinase B	9212	2.48	0.000571
BUB1	699	2.39	0.000013
YES1	7525	2.37	0.000022
LCK	3932	2.31	0.000358
SEPHS1: selenophosphate synthetase 1	22929	2.28	0.000173
CDC2	983	2.27	0.000311
UGP2	7360	2.24	0.000002
SGK	6446	2.22	0.000042
MAP4K4	9448	2.22	0.000077
IRAK1	3654	2.16	0.000138
PTK7	5754	2.16	0.002156
RPS6KA1	6195	2.15	0.000423
PIM1: pim-1 oncogene	5292	2.15	0.000283
MPZL1: myelin protein zero-like 1	644387	2.13	0
EPHA2	1969	2.12	0.000126
CDC7: cell division cycle 7 homolog	8317	2.1	0.002258
STK17B: serine/threonine kinase 17B	9262	2.1	0.000754
SMG1	23049	2.1	0.00052
STK38L: serine/threonine kinase 38 like	23012	2.1	0.000754
PGK1: phosphoglycerate kinase 1	5230	2.09	0.004493
YWHAQ	10971	2.07	0.000049
MAP3K5	4217	2.06	0.002712
PIK3CB	5291	2.05	0.000158
EPHB2	2048	2.05	0.000216
MAP4K2	5871	2.05	0.0054
SRPK1: SFRS protein kinase 1	6732	2.04	0.000081
VRK2	7444	2.04	0.000158
DAPK1: death-associated protein kinase 1	1612	2.03	0.000109
MAP2K6	5608	2.03	0.006521
MALT1	10892	2.03	0.000043
UCK2: uridine-cytidine kinase 2	7371	2.03	0.000253
EPHB6	2051	2.02	0.00254
MAPK1	5594	2.01	0.001285
LIMK2	3985	2.01	0.000162
RYK: RYK receptor-like tyrosine kinase	6259	2.05	0.000191
RPS6KA3	6197	2.04	0.000657
EPHB4: EPH receptor B4	2050	2.02	0.001583
TTK: TTK protein kinase	7272	2	0.000435
vRAF1	5894	2	0.000352
PRPS1	5631	2	0.000689
TLR1	7096	2	0.000156
AK2: adenylate kinase 2	204	2	0.000063
