mouse_unigeneid	mouse_mean_by_grade_NB	human_unigeneid	human mean_by_grade	differ_by_grade_human_mouse_NB	mouse_genetitle	human_genetitle	mouse_genesymbol	human_gene_symbol
Mm.426290	1	Hs.214043	3.825397	2.825397	coiled-coil domain containing 90A	Coiled-coil domain containing 90A, mRNA (cDNA clone MGC:16830 IMAGE:3886144)	Ccdc90a	CCDC90A
Mm.446687	1	Hs.159492	3.936508	2.936508	sacsin	spastic ataxia of Charlevoix-Saguenay (sacsin)	Sacs	SACS
Mm.79815	1	Hs.255874	2.595238	1.595238	RIKEN cDNA 4931414P19 gene	chromosome 14 open reading frame 93	4931414P19Rik	C14orf93
Mm.474527	1	Hs.408730	3.515873	2.515873	contactin associated protein-like 1	contactin associated protein 1	Cntnap1	CNTNAP1
Mm.259234	1	Hs.568152	3.309524	2.309524	cDNA sequence BC048546	hypothetical protein LOC100132881 /// similar to hCG38149 /// ovostatin /// ovostatin 2	BC048546	LOC100132881 /// LOC728715 /// OVOS /// OVOS2
Mm.210823	1	Hs.466257	2.230159	1.230159	pre-B-cell leukemia homeobox 4	pre-B-cell leukemia homeobox 4	Pbx4	PBX4
Mm.21853	2	Hs.430299	3.793651	1.793651	peroxisomal membrane protein 2	peroxisomal membrane protein 2, 22kDa	Pxmp2	PXMP2
Mm.272357	1	Hs.128055	2.150794	1.150794	oxidative stress induced growth inhibitor 1	oxidative stress induced growth inhibitor 1	Osgin1	OSGIN1
Mm.12825	1	Hs.655516	2.047619	1.047619	retinol binding protein 2, cellular	retinol binding protein 2, cellular	Rbp2	RBP2
Mm.44355	4	Hs.659778	1.603175	-2.396825	family with sequence similarity 81, member A	Family with sequence similarity 81, member A (FAM81A), mRNA	Fam81a	FAM81A
Mm.314497	3.411765	Hs.333958	1	-2.411765	solute carrier family 4, sodium bicarbonate cotransporter-like, member 10	solute carrier family 4, sodium bicarbonate transporter, member 10	Slc4a10	SLC4A10
Mm.291129	3.352941	Hs.128196	1.015873	-2.337068	MICAL C-terminal like	MICAL C-terminal like	Micalcl	MICALCL
Mm.25410	4	Hs.632268	2.722222	-1.277778	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	Dsn1	DSN1
Mm.236256	4	Hs.34012	1.257936	-2.742064	breast cancer 2	breast cancer 2, early onset	Brca2	BRCA2
Mm.336244	3.588235	Hs.60386	1.071429	-2.516807	nuclear RNA export factor 3	nuclear RNA export factor 3	Nxf3	NXF3
Mm.101656	4	Hs.355952	2.722222	-1.277778	YdjC homolog (bacterial)	YdjC homolog (bacterial)	Ydjc	YDJC
Mm.205196	4	Hs.187866	1.603175	-2.396825	RIKEN cDNA 2410076I21 gene	chromosome 15 open reading frame 60	2410076I21Rik	C15orf60
Mm.390700	4	Hs.615287	1.015873	-2.984127	neurofilament, medium polypeptide	neurofilament, medium polypeptide	Nefm	NEFM
