Gene	Accession no.	Tributyrin 3 h	Tributyrin 72 h	MPA 6 h	MPA 72 h
Chemokine (C-C motif) ligand 20	NM_004591	40.9	21.5	37.8	27
Chemokine (C-X-C motif) ligand 3	NM_002090	21.6	NA	2.7	4
Interleukin 6 (IFN?2)	NM_000600	17.1	3	5.3	15
TNF-?-induced protein 3	NM_006290	12.1	3.3	4.2	6.6
Baculoviral IAP repeat-containing 3	U37546	11.7	NA	4.1	5.4
Pentaxin-related gene, rapidly induced by IL-1?	NM_002852	11.3	3.8	4.2	2.1
Chemokine (C-X-C motif) ligand 5	AK026546	9.6	NA	3.9	9.2
Adrenergic, ?-2-, receptor, surface	NM_000024	9.1	2.2	3	2.6
Guanylate-binding protein 1, IFN-inducible, 67 kDa	AW014593	8.1	3.9	17.8	4.6
Interleukin 1, ?	NM_000576	6.7	5.3	2.8	2.5
Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	NM_002575	6.6	NA	12.9	NA
Activating transcription factor 3	NM_001674	6.4	2.3	2.2	11.3
Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)	NM_001945	6.3	NA	3	2.3
Tuftelin 1	NM_020127	5	NA	2.4	2.7
Regulator of G-protein signaling 4	AL514445	4.8	3	3.7	13
Dual specificity phosphatase 1	NM_004417	4.6	NA	2.5	4.4
V-ets erythroblastosis virus E26 oncogene homologue 1 (avian)	BC017314	4.4	NA	3
Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NM_000389	4.2	3.5	2.2	3.4
V-ets erythroblastosis virus E26 oncogene homologue 1 (avian)	BE218980	4.2	NA	2.1	NA
Endothelin 1	NM_001955	4	3.1	2.2	NA
Inhibitor of DNA-binding 2, dominant negative helix-loop-helix protein	D13891	3.9	NA	3.1	NA
Oxidized low density lipoprotein (lectin-like) receptor 1	AF035776	3.8	NA	3.6	NA
Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	NM_000963	3.8	2.3	3	NA
Cysteine-rich, angiogenic inducer, 61	AF003114	3.7	NA	2.3	2.6
Inhibitor of DNA-binding 2, dominant negative helix-loop-helix protein	NM_002166	3.5	NA	2.8	NA
Superoxide dismutase 2, mitochondrial	X15132	3.5	NA	2	NA
Interleukin 8	AF043337	3.4	2.4	2.8	2.6
Connective tissue growth factor	M92934	3.4	NA	2.7	NA
A kinase (PRKA) anchor protein (gravin) 12	BF511276	3.3	NA	3.7	NA
Inhibitor of DNA-binding 3, dominant negative helix-loop-helix protein	NM_002167	3.3	NA	3.2	NA
Adrenomedullin	NM_001124	3.2	2.8	2.7	4.7
Chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	NM_002993	3.1	2.1	2.1	2.5
Matrix metalloproteinase 13 (collagenase 3)	NM_002427	3	NA	4	2.1
Programmed cell death 1 ligand 1	AI608902	3	NA	3.1	2.6
Inhibin, ?A (activin A, activin AB? polypeptide)	NM_002192	3	NA	2.4	2.6
Keratin 6B	AI831452	3	8.4	2.4	3.2
Dual adaptor of phosphotyrosine and 3-phosphoinositides	AA150186	2.9	NA	2.6	NA
Protein kinase STYK1	NM_018423	2.9	NA	2.2	NA
Ubiquitin specific protease 53	H25097	2.9	3.1	2.1	NA
Claudin 1	NM_021101	2.8	2	3.1	NA
UDP-glucose ceramide glucosyltransferase	AI378044	2.8	2.2	2.5	NA
Salvador homologue 1 (Drosophila)	BF983202	2.8	NA	2.1	NA
Chemokine (C-X-C motif) receptor 4	AJ224869	2.8	NA	2	NA
Occludin	U53823	2.7	NA	2.1	NA
Nuclear factor of ? light polypeptide gene enhancer in B-cells 2 (p49/p100)	BC002844	2.6	NA	2.2	2.8
LIM protein (similar to rat protein kinase C-binding enigma)	AF116705	2.6	NA	2.1	NA
Myosin regulatory light chain MRCL3	BU676221	2.6	NA	2	20.7
V-myb myeloblastosis viral oncogene homologue (avian)-like 1	AW592266	2.4	NA	2.2	2.3
Sterile ? motif domain containing 4	AL117523	2.3	2.2	3	NA
Specifically androgen-regulated protein	NM_023938	2.3	NA	2.9	NA
Small nRNA activating complex, polypeptide 1, 43 kDa	NM_003082	2.3	NA	2.4	3
Decay accelerating factor for complement (CD55, Cromer blood group system)	NM_000574	2.3	NA	2.1	2.9
Heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA-binding protein 1, 37 kDa)	BF970044	2.3	NA	2.1	15.8
Chondroitin sulfate GalNAcT-2	AL139812	2.3	NA	2	NA
Solute carrier family 30 (zinc transporter), member 1	AI553933	2.2	NA	2.7	NA
Keratin 17	NM_000422	2.1	3.9	4.1	4
Dual specificity phosphatase 14	NM_007026	2.1	NA	2.4	NA
