Clone	M value	Gene symbol
205440_s_al	7.004544088	NPY1R
217561_at	5.506065541	CALCA
203413_at	4.293524987	NELL2
206915_at	4.205361231	NKX2-2
214636_at	3.667256337	CALCB
236088_at	3.503590436	NTNG1
228038_at	3.400729183	SOX2
201565_s_at	2.792584692	ID2
204105_s_at	2.571239931	NRCAM
205932_s_at	2.652991206	MSX1
1554485_s_at	2.655283127	TMEM37
213479_at	2.366643943	NPTX2
218162_at	2.249141903	OLFML3
205249_at	2.243181602	EGR2
230303_at	2.39988201	SYNPR
208605_s_at	2.227463845	NTRK1
39966_at	2.222217226	CSPG5
204869_at	2.146557475	PCSK2
221933_at	1.982400408	NLGN4X
203929_s_at	1.659102536	MAPT
232226_at	1.62194636	LRRC4C
205858_at	1.528171209	NGFR
207980_s_at	1.461895211	CITED2
227933_at	1.209141398	LRRN6A
205440_s_at	7.004544088	NPY1R
206915_at	4.205361231	NKX2-2
204475_at	3.88747653	MMP1
201565_s_at	2.792584692	ID2
209541_at	2.366028399	IGF1
201645_at	1.576763978	TNC
37892_at	1.434881719	COL11A1
203234_at	1.46967763	UPP1
205440_s_at	7.004544088	NPY1R
202746_at	6.728787172	ITM2A
219908_at	4.691662572	DKK2
203358_s_at	3.103715832	EZH2
228636_at	2.688202743	BHLHB5
1552610_a_at	2.165365299	JAK1
205249_al	2.243181602	EGR2
225871_at	2.188749054	STEAP2
219528_s_at	1.988302947	BCL11B
206812_at	1.359914681	ADRB3
241946_at	1.313478058	ZDHHC21
226106_at	1.192636061	RNF141
227933_at	1.209141398	LRRN6A
219825_at	1.544188607	CYP26B1
