Gene	Accession	Map	Description	-fold	Expression
ANXA2	D00017	15q21	Annexin A2	>10	Down-regulation
BENE	U17077	2q13	T-lymphocyte maturation factor	>10	Down-regulation
BTUB	X79535	6p21.3	Beta tubulin	>10	Down-regulation
CAPN4	X04106	19	Calpain	5	Down-regulation
CARD2	X74929	12q13	Keratin 8	8	Down-regulation
CCND1	M73554	11q13	Cyclin D1	>10	Down-regulation
CDK2AP1	AF089814	11q13	CDK2-associated protein	10	Down-regulation
H4M	AL021807	6p21.3	H4 histone family	>10	Down-regulation
HRAS1	J00277	11p15.5	H-RAS 1	6	Down-regulation
HSP70	L12723	5q31	Heat shock protein 70	5	Down-regulation
IEX1	S81914	6p21.3	Radiation-inducible immediate-early response gene	7	Down-regulation
ILF3	U10324	19	Interleukin enhancer binding factor 3	>10	Down-regulation
MAGE3	U03735	Xq28	Melanoma antigen 3	7	Down-regulation
MAGE4	U10688	Xq28	Melanoma antigen 4	>10	Down-regulation
MAGE6	U10691	Xq28	Melanoma antigen 6	6	Down-regulation
MIG2	Z24725	14	Mitogen-inducible gene	6	Down-regulation
MKPL	AF038844	17q12	MKP1-like protein tyrosine phosphatase	6	Down-regulation
NIN1P	D38047	19	Proteasome 26S subunit 31	5	Down-regulation
3-Oct	Z11898	6p21	Octamer-binding protein 3A	6	Down-regulation
P63	X69910	12	Tumor protein 63	8	Down-regulation
PDF	AB000584	19p	Prostate-derived factor	>10	Down-regulation
PSMD11	AB003102	17	Proteasome 26S subunit p44.5	5	Down-regulation
PSMD13	AB009398	11p15.5	Proteasome 26S subunit p40.5	10	Down-regulation
RAI3	AF095448	12p13	Retinoic acid-induced gene	8	Down-regulation
STIP1	M86752	11q13	Stress-induced phosphoprotein 1	>10	Down-regulation
STRAT	X57348	1p	Stratifin	>10	Down-regulation
TFAP2	U85658	20q13.2	Transcription factor AP-2	8	Down-regulation
TM4SF1	AF065388	1	Transmembrane 4 superfamily 1	5	Down-regulation
TXNR	X91247	12q23	Thioredoxin reductase 1	6	Down-regulation
UBC12	AF075599	19	Ubiquitin-conjugating enzyme 12	>10	Down-regulation
AML1	D43968	21q22.3	Acute myeloid leukemia 1	8	Up-regulation
ATF3	L19871	1	Activating transcription factor 3	8	Up-regulation
CDKI1A	U03106	6p21.2	Cyclin-dependent kinase inhibitor 1A (p21)	>10	Up-regulation
COIL	U06632	17q22-q23	Coilin	7	Up-regulation
DLEC1	AB020522	3p22	Deleted in lung and esophageal cancer	7	Up-regulation
DLK1	U15979	14q32	Delta-like homolog 1	7	Up-regulation
DNM2	L36983	19	Dynamin	8	Up-regulation
EBAF	AF081507	1q42.1	Endometrial bleeding-associated factor	6	Up-regulation
GNA15	M63904	19p13.3	Guanine-nucleotide-binding protein alpha 15	5	Up-regulation
HOX7	M97676	4p16	Homeobox 7	6	Up-regulation
IL-1RAP	AB006537	3q28	Interleukin-1 receptor accessory protein	>10	Up-regulation
LTK	D16105	15q15.1	Leukocyte tyrosine kinase	5	Up-regulation
MEOX1	U10492	17q21	Mesenchyme homeobox 1	6	Up-regulation
PKCB	X06318	16p11.2	Protein kinase C, beta 1	6	Up-regulation
PTPN7	M64322	1q32.1	Protein tyrosine phosphatase nonreceptor type 7	5	Up-regulation
PTPRS	U35234	19p13.3	Protein tyrosine phosphatase receptor S	>10	Up-regulation
SCYA18	Y13710	17q11.2	Small inducible cytokine subfamily A18	6	Up-regulation
TBR1	U49250	2q23-q37	T-box gene (transcription factor)	6	Up-regulation
TOB2	D64109	22q13	Transducer of ERB B2	6	Up-regulation
TRAF6	U78798	11	TNF receptor-associated factor 6	>10	Up-regulation
ZNF136	U09367	19p13	Zinc finger protein 136	7	Up-regulation
ZNF261	X95808	Xq13.1	Zinc finger protein 261	>10	Up-regulation
