S. mediterranea Gene	Human Gene	HGNC Gene Abbrev
CUFF.324722	ENSG00000148584	A1CF
CUFF.430709	ENSG00000115977	AAK1
CUFF.83203	ENSG00000090861	AARS
CUFF.404575	ENSG00000008311	AASS
CUFF.436350	ENSG00000165029	ABCA1
CUFF.123141	ENSG00000154263	ABCA10
CUFF.89073	ENSG00000005471	ABCB4
CUFF.200565	ENSG00000004846	ABCB5
CUFF.239910	ENSG00000131269	ABCB7
CUFF.190419	ENSG00000103222	ABCC1
CUFF.537599	ENSG00000140798	ABCC12
CUFF.190422	ENSG00000243064	ABCC13
CUFF.116640	ENSG00000023839	ABCC2
CUFF.536176	ENSG00000173208	ABCD2
CUFF.579115	ENSG00000117528	ABCD3
CUFF.15414	ENSG00000164163	ABCE1
CUFF.602695	ENSG00000033050	ABCF2
CUFF.267437	ENSG00000118777	ABCG2
CUFF.596664	ENSG00000172350	ABCG4
CUFF.493293	ENSG00000158201	ABHD3
CUFF.69032	ENSG00000011198	ABHD5
CUFF.342890	ENSG00000138443	ABI2
CUFF.328898	ENSG00000167315	ACAA2
CUFF.529178	ENSG00000132142	ACACA
CUFF.525661	ENSG00000122971	ACADS
CUFF.436425	ENSG00000072778	ACADVL
CUFF.121470	ENSG00000182827	ACBD3
CUFF.32877	ENSG00000107897	ACBD5
CUFF.260353	ENSG00000176244	ACBD7
CUFF.560391	ENSG00000078124	ACER3
CUFF.260617	ENSG00000131473	ACLY
CUFF.42738	ENSG00000100412	ACO2
CUFF.71138	ENSG00000087008	ACOX3
CUFF.26432	ENSG00000130377	ACSBG2
CUFF.487164	ENSG00000151726	ACSL1
CUFF.59404	ENSG00000123983	ACSL3
CUFF.664678	ENSG00000068366	ACSL4
CUFF.389996	ENSG00000131069	ACSS2
CUFF.146761	ENSG00000111058	ACSS3
CUFF.450051	ENSG00000077522	ACTN2
CUFF.175854	ENSG00000115073	ACTR1B
CUFF.256197	ENSG00000115091	ACTR3
CUFF.206083	ENSG00000135503	ACVR1B
CUFF.629425	ENSG00000114739	ACVR2B
CUFF.618314	ENSG00000137845	ADAM10
CUFF.433454	ENSG00000151694	ADAM17
CUFF.160903	ENSG00000185736	ADARB2
CUFF.204181	ENSG00000129467	ADCY4
CUFF.544680	ENSG00000162104	ADCY9
CUFF.255612	ENSG00000087274	ADD1
CUFF.199622	ENSG00000147576	ADHFE1
CUFF.175901	ENSG00000159346	ADIPOR1
CUFF.365292	ENSG00000006831	ADIPOR2
CUFF.258893	ENSG00000043591	ADRB1
CUFF.312330	ENSG00000100077	ADRBK2
CUFF.279720	ENSG00000130706	ADRM1
CUFF.614823	ENSG00000035687	ADSS
CUFF.618449	ENSG00000141385	AFG3L2
CUFF.590055	ENSG00000166748	AGBL1
CUFF.590046	ENSG00000146856	AGBL3
CUFF.170849	ENSG00000084693	AGBL5
CUFF.472848	ENSG00000162688	AGL
CUFF.60287	ENSG00000158669	AGPAT6
CUFF.71687	ENSG00000018510	AGPS
CUFF.723886	ENSG00000164089	AGXT2L1
CUFF.421362	ENSG00000175309	AGXT2L2
CUFF.363969	ENSG00000158467	AHCYL2
CUFF.658120	ENSG00000164022	AIMP1
CUFF.687001	ENSG00000004455	AK2
CUFF.341044	ENSG00000140057	AK7
CUFF.406341	ENSG00000155085	AKD1
CUFF.197251	ENSG00000117020	AKT3
CUFF.43297	ENSG00000148218	ALAD
CUFF.125272	ENSG00000023330	ALAS1
CUFF.545284	ENSG00000128918	ALDH1A2
CUFF.466780	ENSG00000184254	ALDH1A3
CUFF.320397	ENSG00000072210	ALDH3A2
CUFF.144392	ENSG00000159423	ALDH4A1
CUFF.202602	ENSG00000119711	ALDH6A1
CUFF.263910	ENSG00000164904	ALDH7A1
CUFF.588969	ENSG00000143149	ALDH9A1
CUFF.629866	ENSG00000136872	ALDOB
CUFF.225926	ENSG00000119523	ALG2
CUFF.278692	ENSG00000180318	ALX1
CUFF.344949	ENSG00000139344	AMDHD1
CUFF.71633	ENSG00000101935	AMMECR1
CUFF.414695	ENSG00000116748	AMPD1
CUFF.390720	ENSG00000133805	AMPD3
CUFF.419414	ENSG00000145020	AMT
CUFF.288755	ENSG00000151150	ANK3
CUFF.92686	ENSG00000151687	ANKAR
CUFF.438408	ENSG00000076513	ANKRD13A
CUFF.205891	ENSG00000154065	ANKRD29
CUFF.258537	ENSG00000137494	ANKRD42
CUFF.239836	ENSG00000151458	ANKRD50
CUFF.228900	ENSG00000198142	ANKRD57
CUFF.232106	ENSG00000134343	ANO3
CUFF.20336	ENSG00000151572	ANO4
CUFF.376089	ENSG00000171714	ANO5
CUFF.564459	ENSG00000177119	ANO6
CUFF.314160	ENSG00000143401	ANP32E
CUFF.306539	ENSG00000172671	ANUBL1
CUFF.433718	ENSG00000109511	ANXA10
CUFF.83676	ENSG00000166747	AP1G1
CUFF.207289	ENSG00000129354	AP1M2
CUFF.172254	ENSG00000182287	AP1S2
CUFF.473458	ENSG00000183020	AP2A2
CUFF.488315	ENSG00000006125	AP2B1
CUFF.437568	ENSG00000161203	AP2M1
CUFF.301418	ENSG00000042753	AP2S1
CUFF.400464	ENSG00000132842	AP3B1
CUFF.180738	ENSG00000065000	AP3D1
CUFF.324737	ENSG00000070718	AP3M2
CUFF.408033	ENSG00000177879	AP3S1
CUFF.273269	ENSG00000095139	ARCN1
CUFF.286469	ENSG00000168374	ARF4
CUFF.683638	ENSG00000149182	ARFGAP2
CUFF.329044	ENSG00000066777	ARFGEF1
CUFF.165508	ENSG00000081181	ARG2
CUFF.598021	ENSG00000129675	ARHGEF6
CUFF.366680	ENSG00000102606	ARHGEF7
