Gene	Accession no.	30 min; R	30 min; P-value	6 h; R	6 h; P-value	16 h; R	16 h; P-value	24 h; R	24 h; P-value	48 h; R	48 h; P-value
LIF	NM_002309	1.5	ns	24	<0.001	23	<0.001	8.1	<0.001	30	<0.001
TNFAIP6	NM_007115	1	ns	4.9	<0.001	9.2	<0.001	6.4	<0.001	11	<0.001
IL-6	NM_000600	2	0.018	2.8	<0.001	11	<0.001	13	<0.001	11	<0.001
IL-1B	K02770	1.3	ns	5.9	<0.001	17	<0.001	20	<0.001	9.4	<0.001
DUSP6	BC003143	1.2	ns	4	<0.001	6.8	<0.001	5	<0.001	7.6	<0.001
MMP-13	X75308	0.91	ns	4.6	<0.001	13	<0.001	11	<0.001	6.8	<0.001
MMP-1	X05231	0.93	ns	3.3	<0.001	4.1	<0.001	3.1	<0.001	5.2	<0.001
NOS2A	AB022318	1.1	ns	11	<0.001	9	<0.001	7.1	<0.001	4.9	<0.001
IL-1A	X02851	1.3	ns	2.6	0.002	6.7	<0.001	4.8	<0.001	4.6	<0.001
JUN	J04111	2.7	<0.001	2.1	0.008	3.7	<0.001	2.7	<0.001	4	<0.001
BMP-2	NM_001200	1	ns	3.16	<0.001	6.6	<0.001	1	ns	4	<0.001
RUNX1	NM_001754	1.1	ns	1.5	ns	3.5	<0.001	3.3	<0.001	3.7	<0.001
NFKBIE	U91616	1	ns	2	0.016	2.9	<0.001	2	0.012	2.9	<0.001
NFKB1	M58603	0.86	ns	8.1	<0.001	3	<0.001	2.3	0.004	2.8	<0.001
CD44	NM_000610	1	ns	2.17	0.006	3.3	<0.001	1.9	0.019	2.6	<0.001
TXNRD1	NM_003330	1.1	ns	4.6	<0.001	2.5	0.001	2.4	0.002	2.4	0.002
RELA	Q04206	1.5	ns	2	0.018	1.5	ns	2.3	0.004	1.4	ns
FOS	V01512	2.4	0.002	0.55	0.07	0.5	0.028	0.55	0.042	0.76	ns
PTHR1	NM_000316	0.87	ns	0.38	0.002	0.5	0.008	0.43	0.003	0.55	0.036
HF1	NM_000186	0.79	ns	0.46	0.006	0.48	0.009	0.42	0.002	0.51	0.018
SPP1	NM_000582	0.49	0.011	0.51	0.017	0.68	0.17	0.51	0.016	0.37	<0.001
COL1A2	X55525	0.79	ns	0.35	<0.001	0.43	0.002	0.4	0.001	0.31	<0.001
COMP	NM_000095	0.55	0.032	0.31	<0.001	0.31	<0.001	0.36	<0.001	0.31	<0.001
FGFR2	NM_023028	0.86	ns	0.16	<0.001	0.26	<0.001	0.42	0.002	0.3	<0.001
SCIN	NM_033128	1.2	ns	0.49	0.024	0.31	<0.001	0.3	<0.001	0.29	<0.001
COL10A1	NM_000493	0.6	0.068	0.15	<0.001	0.14	<0.001	0.09	<0.001	0.26	<0.001
A2M	M11313	0.91	ns	0.48	<0.001	0.35	<0.001	0.33	<0.001	0.23	<0.001
Link protein	NM_001884	1	ns	0.59	0.063	0.34	<0.001	0.29	<0.001	0.21	<0.001
GDF5	NM_000557	1	ns	0.4	0.001	0.26	<0.001	0.48	0.009	0.2	<0.001
MATN2	NM_002380	1.2	ns	0.39	<0.001	0.27	<0.001	0.19	<0.001	0.18	<0.001
GDF10	NM_004962	1	ns	0.17	<0.001	0.08	<0.001	0.09	<0.001	0.13	<0.001
MATN3	NM_002381	1.3	ns	0.55	0.033	0.21	<0.001	0.14	<0.001	0.11	<0.001
CKTSF1B1	NM_013372	0.83	ns	0.4	0.001	0.11	<0.001	0.06	<0.001	0.07	<0.001
COL2A1	X16468	0.9	ns	0.31	<0.001	0.11	<0.001	0.09	<0.001	0.06	<0.001
