Probe	UniGene ID	Gene Title	Gene Symbol	Fold change LGSI/PA
207014_at	Hs.116250	gamma-aminobutyric acid (GABA) A receptor, alpha 2	GABRA2	85
203999_at	Hs.310545	synaptotagmin I	SYT1	62
204081_at	Hs.524116	neurogranin (protein kinase C substrate, RC3)	NRGN	49
206172_at	Hs.336046	interleukin 13 receptor, alpha 2	IL13RA2	47
204229_at	Hs.375616	solute carrier family 17, member 7	SLC17A7	45
229039_at	Hs.445503	synapsin II	SYN2	43
203649_s_at	Hs.466804	phospholipase A2, group IIA	PLA2G2A	43
202018_s_at	Hs.529517	lactotransferrin	LTF	39
228245_s_at	Hs.524331	ovostatin /// ovostatin 2	OVOS /// OVOS2	33
227053_at	Hs.520087	protein kinase C and casein kinase substrate in neurons 1	PACSIN1	30
204230_s_at	Hs.375616	solute carrier family 17, member 7	SLC17A7	26
210040_at	Hs.21413	solute carrier family 12, member 5	SLC12A5	24
1553605_a_at	Hs.226568	ATP-binding cassette, sub-family A (ABC1), member 13	ABCA13	24
205489_at	Hs.924	crystallin, mu	CRYM	23
204714_s_at	Hs.30054	coagulation factor V (proaccelerin, labile factor)	F5	23
204260_at	Hs.516874	chromogranin B (secretogranin 1)	CHGB	23
206280_at	Hs.317632	cadherin 18, type 2	CDH18	22
203797_at	Hs.444212	visinin-like 1	VSNL1	20
209160_at	Hs.78183	aldo-keto reductase family 1, member C3	AKR1C3	18
212473_s_at	Hs.501928	microtubule associated monoxygenase, calponin and LIM domain containing 2	MICAL2	18
203998_s_at	Hs.310545	synaptotagmin I	SYT1	18
224795_x_at	Hs.703932	immunoglobulin kappa locus	IGK@ /// IGKC	17
205499_at	Hs.306339	sushi-repeat-containing protein, X-linked 2	SRPX2	17
211430_s_at	Hs.700112	immunoglobulin heavy locus	IGH@ /// IGHG1 /// IGHG2 /// IGHM /// IGHV4-31 /// LOC100294459	16
201340_s_at	Hs.104925	ectodermal-neural cortex (with BTB-like domain)	ENC1	15
1565162_s_at	Hs.389700	microsomal glutathione S-transferase 1	MGST1	15
201843_s_at	Hs.76224	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	15
228302_x_at	Hs.197922	calcium/calmodulin-dependent protein kinase II inhibitor 1	CAMK2N1	14
228367_at	Hs.628152	alpha-kinase 2	ALPK2	14
226086_at	Hs.436643	synaptotagmin XIII	SYT13	14
202508_s_at	Hs.167317	synaptosomal-associated protein, 25kDa	SNAP25	13
242344_at	Hs.303527	gamma-aminobutyric acid (GABA) A receptor, beta 2	GABRB2	13
224209_s_at	Hs.494163	guanine deaminase	GDA	13
1552714_at	Hs.30917	cellular repressor of E1A-stimulated genes 2	CREG2	13
201341_at	Hs.104925	ectodermal-neural cortex (with BTB-like domain)	ENC1	13
202628_s_at	Hs.414795	serpin peptidase inhibitor, clade E, member 1	SERPINE1	13
221671_x_at	Hs.703932	immunoglobulin kappa locus	IGK@ /// IGKC	13
1555229_a_at	Hs.458355	complement component 1, s subcomponent	C1S	13
223316_at	Hs.498720	coiled-coil domain containing 3	CCDC3	12
213332_at	Hs.187284	pappalysin 2	PAPPA2	12
221651_x_at	Hs.703932	immunoglobulin kappa locus	IGK@ /// IGKC	12
203705_s_at	Hs.173859	frizzled homolog 7 (Drosophila)	FZD7	12
225815_at	Hs.193235	complexin 2	CPLX2	12
238426_at	Hs.270753	transmembrane protein 130	TMEM130	12
223500_at	Hs.478930	complexin 1	CPLX1	11
206552_s_at	Hs.2563	tachykinin, precursor 1	TAC1	11
202733_at	Hs.519568	prolyl 4-hydroxylase, alpha polypeptide II	P4HA2	11
204563_at	Hs.82848	selectin L	SELL	11
202437_s_at	Hs.154654	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	11
205525_at	Hs.490203	caldesmon 1	CALD1	10
226931_at	Hs.401954	transmembrane and tetratricopeptide repeat containing 1	TMTC1	10
214432_at	Hs.515427	ATPase, Na+/K+ transporting, alpha 3 polypeptide	ATP1A3	10
1553604_at	Hs.226568	ATP-binding cassette, sub-family A (ABC1), member 13	ABCA13	10
205591_at	Hs.522484	olfactomedin 1	OLFM1	9
202435_s_at	Hs.154654	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	9
229461_x_at	Hs.146542	neuronal growth regulator 1	NEGR1	9
230262_at	Hs.23172	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	ST8SIA3	9
241763_s_at	Hs.403933	F-box protein 32	FBXO32	9
203706_s_at	Hs.173859	frizzled homolog 7 (Drosophila)	FZD7	9
231736_x_at	Hs.389700	microsomal glutathione S-transferase 1	MGST1	9
210016_at	Hs.434418	myelin transcription factor 1-like	MYT1L	9
224918_x_at	Hs.389700	microsomal glutathione S-transferase 1	MGST1	9
226322_at	Hs.401954	transmembrane and tetratricopeptide repeat containing 1	TMTC1	9
211126_s_at	Hs.530904	cysteine and glycine-rich protein 2	CSRP2	8
208051_s_at	Hs.482038	poly(A) binding protein interacting protein 1	PAIP1	8
204463_s_at	Hs.183713	endothelin receptor type A	EDNRA	8
1557122_s_at	Hs.303527	gamma-aminobutyric acid (GABA) A receptor, beta 2	GABRB2	8
