Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
200701_at	Niemann-Pick disease, type C2	NPC2	14q24.3	10577
200731_s_at	protein tyrosine phosphatase type IVA, member 1	PTP4A1	6q12	7803
200777_s_at	basic leucine zipper and W2 domains 1 /// similar to basic leucine zipper and W2 domains 1	BZW1 /// LOC151579	2q33 /// 3q13.31	151579 /// 9689
200795_at	SPARC-like 1 (mast9, hevin)	SPARCL1	4q22.1	8404
201172_x_at	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	ATP6V0E	5q35.2	8992
201278_at	Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	5p13	1601
201302_at	annexin A4	ANXA4	2p13	307
201489_at	peptidylprolyl isomerase F (cyclophilin F)	PPIF	10q22-q23	10105
201626_at	insulin induced gene 1	INSIG1	7q36	3638
201627_s_at	insulin induced gene 1	INSIG1	7q36	3638
201667_at	gap junction protein, alpha 1, 43kDa (connexin 43)	GJA1	6q21-q23.2	2697
201876_at	paraoxonase 2	PON2	7q21.3	5445
201923_at	peroxiredoxin 4	PRDX4	Xp22.11	10549
202296_s_at	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	RER1	1pter-q24	11079
202314_at	cytochrome P450, family 51, subfamily A, polypeptide 1	CYP51A1	7q21.2-q21.3	1595
202539_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	5q13.3-q14	3156
202679_at	Niemann-Pick disease, type C1	NPC1	18q11-q12	4864
202918_s_at	preimplantation protein 3	PREI3	2q33.1	25843
203304_at	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	BAMBI	10p12.3-p11.2	25805
203335_at	phytanoyl-CoA 2-hydroxylase	PHYH	10pter-p11.2	5264
203790_s_at	heat-responsive protein 12	HRSP12	8q22	10247
203814_s_at	NAD(P)H dehydrogenase, quinone 2	NQO2	6pter-q12	4835
203914_x_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	4q34-q35	3248
203924_at	glutathione S-transferase A1	GSTA1	6p12.1	2938
204417_at	galactosylceramidase	GALC	14q31	2581
204440_at	CD83 molecule	CD83	6p23	9308
204565_at	thioesterase superfamily member 2	THEM2	6p22.2	55856
204731_at	transforming growth factor, beta receptor III (betaglycan, 300kDa)	TGFBR3	1p33-p32	7049
204745_x_at	metallothionein 1G	MT1G	16q13	4495
204820_s_at	butyrophilin, subfamily 3, member A3 /// butyrophilin, subfamily 3, member A2	BTN3A3 /// BTN3A2	6p21.3 /// 6p22.1	10384 /// 11118
204979_s_at	SH3 domain binding glutamic acid-rich protein	SH3BGR	21q22.3	6450
205083_at	aldehyde oxidase 1	AOX1	2q33	316
205105_at	mannosidase, alpha, class 2A, member 1	MAN2A1	5q21-q22	4124
205433_at	butyrylcholinesterase	BCHE	3q26.1-q26.2	590
205509_at	carboxypeptidase B1 (tissue)	CPB1	3q24	1360
205633_s_at	aminolevulinate, delta-, synthase 1	ALAS1	3p21.1	211
206286_s_at	teratocarcinoma-derived growth factor 1 /// teratocarcinoma-derived growth factor 3, pseudogene	TDGF1 /// TDGF3	3p21.31 /// Xq22.3	6997 /// 6998
206292_s_at	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	SULT2A1	19q13.3	6822
206461_x_at	metallothionein 1H	MT1H	16q13	4496
206645_s_at	nuclear receptor subfamily 0, group B, member 1	NR0B1	Xp21.3-p21.2	190
206662_at	glutaredoxin (thioltransferase)	GLRX	5q14	2745
207016_s_at	aldehyde dehydrogenase 1 family, member A2	ALDH1A2	15q22.1	8854
208581_x_at	metallothionein 1X	MT1X	16q13	4501
209116_x_at	hemoglobin, beta /// hemoglobin, beta	HBB	11p15.5	3043
209146_at	sterol-C4-methyl oxidase-like	SC4MOL	4q32-q34	6307
209218_at	squalene epoxidase	SQLE	8q24.1	6713
209295_at	tumor necrosis factor receptor superfamily, member 10b	TNFRSF10B	8p22-p21	8795
209392_at	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	8q24.1	5168
209448_at	HIV-1 Tat interactive protein 2, 30kDa	HTATIP2	11p15.1	10553
209457_at	dual specificity phosphatase 5	DUSP5	10q25	1847
209605_at	thiosulfate sulfurtransferase (rhodanese)	TST	22q13.1	7263
210253_at	HIV-1 Tat interactive protein 2, 30kDa	HTATIP2	11p15.1	10553
210524_x_at
210830_s_at	paraoxonase 2	PON2	7q21.3	5445
210950_s_at	farnesyl-diphosphate farnesyltransferase 1	FDFT1	8p23.1-p22	2222
211456_x_at	hypothetical protein LOC650610	LOC650610		650610
211548_s_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	4q34-q35	3248
212228_s_at	coenzyme Q9 homolog (S. cerevisiae)	COQ9	16q13	57017
212281_s_at	transmembrane protein 97	TMEM97	17q11.2	27346
