GenBank Acc. No.	Gene Description
AD000092_cds7_s_at	NA
AF005887_at	(ATF6) CREB binding serum response factor
D14826_s_at	(CREM) cAMP responsive element modulator
D87673_at	(HSF4) heat shock transcription factor 4
D90070_s_at	(APR) PMA induced mRNA
D90224_at	(TNFSF4) tumor necrosis factor (ligand) superfamily  gp34
J04076_at	early growth response 2 (Krox-20 homolog)
J04102_at	ETS2
J04111_at	c-Jun
L19871_at	(ATF3) activating transcription factor 3
L23587_at	DP-1
L34587_at	putative gene
L37936_at	elongation factor Ts
L40386_s_at	DP-2
L46353_at	HMG1-C
M16038_at	Lyn
M37583_at	(H2AFZ)
M57732_at	transcription factor 1, hepatic; LF-B1, HNF1
M61156_at	(TFAP2A) transcription factor AP-2 alpha
M62810_at	transcription factor 6-like 1
M69043_at	(NFKBIA) IKB alpha
M74719_at	(TCF4) transcription factor 4
M77810_at	GATA-2
M92357_at	B94
S73205_at	(INSAF) insulin activator factor
U15460_at	B-ATF
U20734_s_at	JunB
U24166_at	EB1
U51127_at	(IRF5) interferon regulatory factor 5
U52682_at	(IRF4) interferon regulatory factor 4
U59863_at	(I-TRAF)
U91616_at	(NFKBIE) cytoplasmic NFkB inhibitor epsilon
D26070_at	(ITPR1) inositol 1,4,5-triphosphate receptor, type 1
D38076_at	(RANBP1)
D38128_at	(PTGIR) prostaglandin I2 (prostacyclin) receptor (IP)
D49489_at	The transcript is amplified in hydroxyurea-resistant cells
D50678_at	(LRP8) low density lipoprotein receptor-related protein 8
J03258_at	(VDR) vitamin D (1,25- dihydroxyvitamin D3) receptor
K02405_f_at	prepeptide MHC HLA-DC3-beta
L08069_at	(HSJ2) heat shock protein DNAJ-like 2
L08096_at	(TNFSF7) CD27 ligand
L08187_at	(EBI3)
L08488_at	(INPP1) inositol polyphosphate-1-phosphatase
L12723_at	(HSPA4) heat shock 70kD protein 4
L13740_at	TR3 orphan receptor
L19872_at	(AHR) aryl hydrocarbon receptor
L38608_at	(ALCAM) CD6 ligand
L40357_at	(TRIP7) thyroid hormone receptor interactor 7
L40379_at	(TRIP10) thyroid receptor interacting protein 10
L77886_at	(PTPRK) protein tyrosine phosphatase, receptor type, K
M11058_at	(HMGCR)3-hydroxy-3-methylglutaryl-Coenzyme A reductase
M11749_at	Thy-1 glycoprotein
M16276_at	(HLA-DQB1) MHC, class II, DQ beta 1
M16441_cds1_at	(TNF) tumor necrosis factor (TNF superfamily, member 2)
M22382_at	(HSPD1) heat shock protein 60kDa up
M23197_at	(CD33)
