GB acc	Description	Symbol	N	T	N/T
AW058221	Lipase, gastric	LIPF	257.5	1.3	196.6
AI074272	Calpain 9	CAPN9	11.2	1.4	7.8
AI001183	Rab15 effector protein	REP15	23.8	1.1	21
AI913412	Estrogen-related receptor gamma	ESRRG	26.2	1	25.6
AI002047	Poly (ADP-ribose) polymerase family, member 10	PARP10	14.7	1.4	10.2
AA410394	Actin-like 6A	ACTL6A	0.5	0.8	0.6
AA521228	3-hydroxyisobutyryl-Coenzyme A hydrolase	HIBCH	3.1	1	3
H45668	Kruppel-like factor 4	KLF4	14.9	2.8	5.4
R51912	Somatostatin	SST	5.2	0.9	6
AI147534	Glutathione peroxidase 3	GPX3	5.8	1.6	3.6
AI925826	Inhibin, beta A	INHBA	0.2	2.9	0.1
AA976699	Chromogranin A	CHGA	23.4	0.7	32.5
AI418194	SRY-box 21	SOX21	15.9	1.2	13.8
R71093	Serpin peptidase inhibitor, clade H, member 1	SERPINH1	0.5	1.7	0.3
AA931491	Hypothetical protein LOC143381	LOC143381	2.1	0.5	4.6
AI365395	Midnolin	MIDN	1.7	1.1	1.5
AA932696	Family with sequence similarity 107, member A	FAM107A	4.3	1.6	2.7
AA496283	Thy-1 cell surface antigen	THY1	1	5.7	0.2
AI368486	Ghrelin/obestatin preprohormone	GHRL	25.5	1.3	19.9
AI768615	Immature colon carcinoma transcript 1	ICT1	1.5	0.6	2.6
AI418753	V-set and immunoglobulin domain containing 2	VSIG2	13.4	1.7	7.9
AI371514	WD repeats and SOF1 domain containing	WDSOF1	0.5	1	0.5
