# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_019027.1|NM_019027	hgnc_symbol|FLJ20273|FLJ20273
entrezgene|BE962186|6929	hgnc_symbol|TCF3|TCF3
refseq_dna|NM_002398.1|NM_002398	hgnc_symbol|MEIS1|MEIS1
refseq_dna|AF041209.1|09.1	hgnc_symbol|MID1|MID1
entrezgene|BG107456|9792	hgnc_symbol|SERTAD2|SERTAD2
entrezgene|BE311760|3146	hgnc_symbol|HMGB1|HMGB1
embl|AL023584|AL023584	hgnc_symbol|HIVEP2|HIVEP2
refseq_dna|M95585.1|85.1	hgnc_symbol|HLF|HLF
refseq_dna|AF080597.1|97.1	hgnc_symbol|CDY1|CDY1
refseq_dna|AF080216.1|16.1	hgnc_symbol|BCL11A|BCL11A
refseq_dna|AK022844.1|44.1	hgnc_symbol|SCAND2|SCAND2
refseq_dna|NM_003335.1|NM_003335	hgnc_symbol|UBE1L|UBE1L
refseq_dna|NM_000110.2|NM_000110	hgnc_symbol|DPYD|DPYD
refseq_dna|NM_022349.1|NM_022349	hgnc_symbol|MS4A6A|MS4A6A
refseq_dna|AL136636.1|36.1	hgnc_symbol|LOC728866|LOC728866
entrezgene|AI703162|56252	hgnc_symbol|ZAP3|ZAP3
refseq_dna|NM_002221.1|NM_002221	hgnc_symbol|ITPKB|ITPKB
refseq_dna|NM_006264.1|NM_006264	hgnc_symbol|PTPN13|PTPN13
entrezgene|BG111761|55970	hgnc_symbol|GNG12|GNG12
refseq_dna|BC000687.1|87.1	hgnc_symbol|TRAM1|TRAM1
refseq_dna|BC001407.1|07.1	hgnc_symbol|SLC25A16|SLC25A16
refseq_dna|NM_003945.1|NM_003945	hgnc_symbol|ATP6V0E1|ATP6V0E1
embl|U08626|U08626	hgnc_symbol|GLUL|GLUL
entrezgene|AI659957|6861	hgnc_symbol|SYT5|SYT5
refseq_dna|NM_001231.1|NM_001231	hgnc_symbol|CASQ1|CASQ1
refseq_dna|NM_001659.1|NM_001659	hgnc_symbol|ARF3|ARF3
embl|AI933199|AI933199	hgnc_symbol|NXPH4|NXPH4
refseq_dna|NM_031212.1|NM_031212	hgnc_symbol|SLC25A28|SLC25A28
entrezgene|AI689429|5584	hgnc_symbol|PRKCI|PRKCI
refseq_dna|U79271.1|71.1	hgnc_symbol|AKT3|AKT3
entrezgene|BF224073|39	hgnc_symbol|TCP1|TCP1
refseq_dna|NM_004658.1|NM_004658	hgnc_symbol|RASAL1|RASAL1
refseq_dna|AF080569.1|69.1	hgnc_symbol|HSJ2|HSJ2
refseq_dna|AB035172.1|72.1	hgnc_symbol|ST6GALNAC4|ST6GALNAC4
refseq_dna|NM_002629.1|NM_002629	hgnc_symbol|PGAM1|PGAM1
refseq_dna|X13230.1|30.1	hgnc_symbol|MCF2|MCF2
embl|BE222801|BE222801	hgnc_symbol|SCAMP5|SCAMP5
refseq_dna|NM_024329.1|NM_024329	hgnc_symbol|EFHD2|EFHD2
refseq_dna|NM_023928.1|NM_023928	hgnc_symbol|AACS|AACS
refseq_dna|AF251059.1|59.1	hgnc_symbol|STYK1|STYK1
entrezgene|AU149572|108	hgnc_symbol|ADCY2|ADCY2
refseq_dna|NM_004686.1|NM_004686	hgnc_symbol|MTMR8|MTMR8
refseq_dna|AB007877.1|77.1	hgnc_symbol|HSPA12A|HSPA12A
entrezgene|R52647|491	hgnc_symbol|ATP2B2|ATP2B2
refseq_dna|M13975.1|75.1	hgnc_symbol|PRKCB1|PRKCB1
refseq_dna|NM_014859.1|NM_014859	hgnc_symbol|RICH2|RICH2
entrezgene|BG403660|10808	hgnc_symbol|HSPH1|HSPH1
refseq_dna|NM_004530.1|NM_004530	hgnc_symbol|MMP2|MMP2
refseq_dna|NM_000930.1|NM_000930	hgnc_symbol|PLAT|PLAT
refseq_dna|BC003686.1|86.1	hgnc_symbol|SNAP23|SNAP23
refseq_dna|U50748.1|48.1	hgnc_symbol|LEPR|LEPR
refseq_dna|NM_015136.1|NM_015136	hgnc_symbol|STAB1|STAB1
refseq_dna|NM_005767.1|NM_005767	hgnc_symbol|P2RY5|P2RY5
entrezgene|BF978611|9019	hgnc_symbol|MPZL1|MPZL1
refseq_dna|NM_013281.1|NM_013281	hgnc_symbol|FLRT3|FLRT3
refseq_dna|NM_014232.1|NM_014232	hgnc_symbol|VAMP2|VAMP2
refseq_dna|AL161999.1|99.1	hgnc_symbol|CYFIP2|CYFIP2
refseq_dna|BC000256.1|56.1	hgnc_symbol|SSTR2|SSTR2
refseq_dna|AB035305.1|05.1	hgnc_symbol|CDH8|CDH8
refseq_dna|AF180519.1|19.1	hgnc_symbol|GABARAPL1|GABARAPL1
refseq_dna|NM_006159.1|NM_006159	hgnc_symbol|NELL2|NELL2
refseq_dna|NM_005071.1|NM_005071	hgnc_symbol|SLC1A6|SLC1A6
refseq_dna|BC000474.1|74.1	hgnc_symbol|TP53I3|TP53I3
refseq_dna|NM_004304.2|NM_004304	hgnc_symbol|ALK|ALK
refseq_dna|NM_002193.1|NM_002193	hgnc_symbol|INHBB|INHBB
