ProbeUID	ProbeName	GeneName	SystematicName	Description	AverageLog	AveragePV
38686	A_68_P23815278	Clock	chr5:077379328-077379372	PROMOTER	2.020158946	4.34E-23
105591	A_68_P21065497	Psd4	chr2:024205514-024205566	PROMOTER	2.207039257	4.50E-23
120370	A_68_P26783912	Rab6b	chr9:102971566-102971612	INSIDE	1.975705129	4.67E-23
213748	A_68_P20425265	Arl4c	chr1:090532783-090532827	INSIDE	1.965935785	4.67E-23
50286	A_68_P23885799	Cxcl2	chr5:091977027-091977086	PROMOTER	2.211559624	5.95E-23
169498	A_68_P31102748	Ube2i	chr17:025000746-025000790	INSIDE	1.809592093	7.53E-23
28036	A_68_P24991144	Rshl1	chr7:018208949-018209008	PROMOTER	1.915612186	7.79E-23
57278	A_68_P28280361	Adam17	chr12:021618930-021618989	INSIDE	2.027995801	8.80E-23
16833	A_68_P24971245	V1rg3	chr7:011094521-011094574	PROMOTER	1.99939957	8.95E-23
90547	A_68_P26214348	Gm587	chr8:122391488-122391540	PROMOTER	1.766664238	9.20E-23
67170	A_68_P25948079	Atp13a1	chr8:072736065-072736109	INSIDE	1.653916936	1.45E-22
154236	A_68_P28903598	Prlpm	chr13:027804012-027804071	PROMOTER	1.676097278	1.56E-22
173281	A_68_P31775674	Fech	chr18:064616649-064616708	PROMOTER	1.97635108	1.69E-22
44380	A_68_P26290478	Yap1	chr9:008008792-008008851	PROMOTER	1.96444809	1.71E-22
184756	A_68_P21630582	Avp	chr2:130275593-130275637	PROMOTER	1.613344937	1.81E-22
13551	A_68_P23303523	Matn1	chr4:130217977-130218026	INSIDE	1.64017375	2.18E-22
144973	A_68_P20066014	Tcfap2d	chr1:019083843-019083902	PROMOTER	1.754883834	2.19E-22
185962	A_68_P24854730	Tas2r117	chr6:132763229-132763277	PROMOTER	1.641629777	2.24E-22
29658	A_68_P28802641	Pitrm1	chr13:006548885-006548933	INSIDE	1.826505719	2.65E-22
71541	A_68_P23127479	Cyp2j11	chr4:095840539-095840585	INSIDE	1.630497878	2.82E-22
125057	A_68_P21744391	Fkbp1a	chr2:151229364-151229423	PROMOTER	1.841954363	3.08E-22
39897	A_68_P27095740	Nr2e1	chr10:042276206-042276260	PROMOTER	1.647035601	4.36E-22
70903	A_68_P24792534	Lrtm2	chr6:119300696-119300740	PROMOTER	1.482150277	5.10E-22
54759	A_68_P31619641	Dnajc18	chr18:035830212-035830261	PROMOTER	1.895065044	5.57E-22
237961	A_68_P28265938	Ntsr2	chr12:016675674-016675723	PROMOTER	1.492141586	6.11E-22
134774	A_68_P29561120	Dydc2	chr14:039983293-039983348	PROMOTER	1.651942816	7.19E-22
49662	A_68_P26289755	Birc3	chr9:007873962-007874021	PROMOTER	1.589529478	7.51E-22
152658	A_68_P30349978	Ppp1r16a	chr15:076520367-076520411	INSIDE	1.414453884	7.57E-22
