Agilent Accession	Genbank Accession	MAM	Bam1a	Gene Description and Symbol	Gene Specific Factor
A_51_P184886	NM_011920	5.27	19.1	Mus musculus ATP-binding cassette, sub-family G (WHITE), member 2 (Abcg2), mRNA [NM_011920]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_52_P336142	NM_011920	4.9	17.77	Mus musculus ATP-binding cassette, sub-family G (WHITE), member 2 (Abcg2), mRNA [NM_011920]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P342567	NM_031185	9.1	6.6	Mus musculus A kinase (PRKA) anchor protein (gravin) 12 (Akap12), mRNA [NM_031185]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P445166	NM_019959	11.89	17.02	Mus musculus C1q and tumor necrosis factor related protein 1 (C1qtnf1), mRNA [NM_019959]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P455647	NM_009801	7.56	9.21	Mus musculus carbonic anhydrase 2 (Car2), mRNA [NM_009801]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P303160	NM_007482	14.32	23.23	Mus musculus arginase 1, liver (Arg1), mRNA [NM_007482]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_52_P159232	NM_011926	20.6	24.52	Mus musculus CEA-related cell adhesion molecule 1 (Ceacam1), mRNA [NM_011926]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P183446	NM_001039185	10.69	12.16	Mus musculus CEA-related cell adhesion molecule 1, mRNA (cDNA clone MGC:18556 IMAGE:4218391), complete cds [BC016891]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P171728	NM_011926	9.77	12.34	Mus musculus CEA-related cell adhesion molecule 1 (Ceacam1), mRNA [NM_011926]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_52_P240706	NM_007543	23.7	31.29	Mus musculus CEA-related cell adhesion molecule 2 (Ceacam2), mRNA [NM_007543]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P362066	NM_007695	8.34	3.89	Mus musculus chitinase 3-like 1 (Chi3l1), mRNA [NM_007695]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
A_51_P495049	NM_009897	10.34	11.46	Mus musculus creatine kinase, mitochondrial 1, ubiquitous (Ckmt1), mRNA [NM_009897]	Genes present in the tumor-specific HER-2/neu-Induced Gene Expression Signature described by Astolfi
