Accession	Correl	Gene name	Function
AA425754	0.602	NAPA (N-ethyl. sens. factor att. prot alpha)	Vesicle transp.
AA664179	0.58	Keratin 18	Cytoskeleton
AA046700	0.576	F-box only protein 32a	Prot. degrad.
N63943	0.57	Lysozyme (renal amyloidosis)	Inflammation
H68885	0.569	TSSC3 (tumor supp. Subtrans. cand 3)a	Apoptosis
AA022679	0.553	ESTa	Unknown
AA490680	0.538	Transcobalamin II; macrocytic anemiaa	Vitamin transp.
AA486275	0.534	Ser/cyst prot. Inhib. clade B, memb. 1	Protease inhib.
N90783	0.532	Purinergic receptor (family A group 5)a	Unknown
AA464569	0.525	gamma Tubulin ring complex protein	Cytoskeleton
AA464578	0.519	rho/rac guanine nucleotide exch. factor 2	Signal transd.
AA989217	0.508	Ca2+-promoted Ras inactivatora	Unknown
N90281	0.501	B7 protein	Unknown
AA155668	0.501	Regulatory factor X, 2	Transcription
H58175	0.499	EST	Unknown
AA005410	0.497	EST	Unknown
AA702013	0.494	SLC22A1 (solute carrier family 22)	Ion transport
AA004711	0.491	EST	Unknown
AA699573	0.491	Transcription factor 2, hepatic	Unknown
T51895	0.481	EphB4a	Memb. prot.
N52651	0.48	ESTa	Unknown
R33303	0.475	Prot. kinase, AMP-activated, alpha1	Kinase
R54664	0.472	SERPINB1 (ser/cyst prot. inhib, clade B)	Protease inhib.
N89753	0.472	EST	Unknown
H55915	0.471	EST	Unknown
W85876	0.467	ESTa	Unknown
R52797	0.466	Hepatocyte growth factora	Growth factor
AA630354	0.465	Sphingosine kinase 2	Kinase
H55839	0.458	EST	Unknown
AA454014	0.456	EST	Unknown
N67039	0.456	EST	Unknown
N78909	0.456	EST	Unknown
AA971406	0.455	EST	Unknown
AA424587	0.452	UGCGL2	Unknown
W90085	0.448	Nuc. receptor subfam 0, gr. B, memb. 2	Transcription
AA459213	0.445	N2+ channel, nonvoltage-gated 1alpha	Ion channels
N23399	0.444	ESTa	Unknown
H72588	0.443	EST	Unknown
AA453289	0.439	ZYG homolog	Unknown
R23924	0.438	EST	Unknown
H59559	0.437	ESTa	Unknown
W94880	0.436	HIRA	Transcription
N68327	0.436	EST	Unknown
R00151	0.434	EST	Unknown
AA291491	0.433	DC12 protein	Unknown
W15339	0.427	EST	Unknown
AA455284	0.424	ASC-1 complex subunit P100	Unknown
AA142917	0.423	EST	Unknown
AA058709	0.422	EST	Unknown
T90374	0.42	EST	Unknown
AA054704	0.42	EST	Unknown
N95187	0.419	EST	Unknown
N22776	0.419	EST	Unknown
H24316	0.419	Aquaporin 1	Water transp
AA664101	0.418	Aldehyde dehydrogenase 1, member A1	Aldehyde metab.
N71442	0.418	EST	Unknown
AA620746	0.416	ESTa	Unknown
N63864	0.416	EST	Unknown
AA160670	0.414	Lysophosphatidic acid phosphatase	Lipid metab.
H66150	0.413	WSB1 (SOCS box WD prot. SWiP-1)	Unknown
H68848	0.413	Apolipoprotein H (ß2-glycoprotein I)	Immunity
T90369	0.409	EST	Unknown
H86117	0.408	Activity-reg. cytoskeleton-assoc protein	Cytoskeleton
AA418876	0.407	EST	Unknown
H62267	0.407	EST	Unknown
AA406180	0.405	SLC22A1L (solute carrier family 22)	Ion transport
AA037229	0.404	Integrin ß3	Cell adhesion
N75569	0.404	ESTa	Unknown
N50959	0.401	Amine oxidase, copper containing 2	Redox
H42894	0.401	ESTa	Unknown
R16838	0.4	Cytochrome P450 17	Unknown
R70888	0.399	ESTa	Unknown
AA150619	0.399	EST	Unknown
H77714	0.396	ESTa	Unknown
N95621	0.396	EST	Unknown
H73013	0.394	EST	Unknown
AA430668	0.394	FCGRT (Fc frag. of IgG recep, transp, alpha)	Immune resp.
AA136532	0.393	EST	Unknown
AA113881	0.393	Ubiquitin-conjugating enzyme E2G 1	Prot. degrad.
W92160	0.392	EST	Unknown
T96605	0.39	EST	Unknown
AA465353	0.39	Histone deacetylase 1	Transcription
N72116	0.389	Solute carrier family 11, member 2a	Transport
R00822	0.388	EST	Unknown
AA935560	0.388	Relaxin 2	Pregnancy
T58775	0.387	Chemokine (C-C motif) ligand 16a	Chemotaxis
R98262	0.387	EST	Unknown
R33037	0.386	EST	Unknown
AI017703	0.385	EIF3S3 (euk. transl. init. fact 3, subu 3 gamma)	Translation
AA400234	0.385	Multiple endocrine neoplasia I	Tumor supp.
AA633882	0.383	GCN5-like 1a	Transcription
AA495936	0.383	Microsomal glutathione S-transferase 1	Glutathio. conj.
AA845156	0.383	Serine protease inhibitor, Kazal type 1	Protease inhib.
AA004321	0.382	ESTa	Unknown
N63032	0.381	ESTa	Unknown
H10072	0.381	Neuronal Shc adaptor homolog	Unknown
T97710	0.379	Ladinin 1	Base. membr.
H88540	0.377	Heat shock protein 86	Protein folding
R33717	0.377	EST	Unknown
R33537	0.376	Semaphorin 7A	Immune resp.
N68492	0.376	Anaphase-promoting complex 1	Mitosis
AA424937	0.374	EST	Unknown
AA644550	0.374	Translocase of outer mitochon. Memb. 20	Unknown
N32811	0.374	EST	Unknown
AA157499	0.373	Mitogen-activated protein kinase 13a	S. trans/stress res 15
W93847	0.373	Mucin 15	Unknown
AA454584	0.373	ESTa	Unknown
AA701655	0.372	EST	Unknown
N67808	0.371	EST	Unknown
W93024	0.371	EST	Unknown
AA284249	0.37	EST	Unknown
AA609774	0.37	ESTa	Unknown
AA047478	0.369	Coronin, actin-binding protein, 1A	Cytoskeleton
N70057	0.369	Leukocyte-specific transcript 1a	Defense/immunity
W47387	0.368	ESTa	Unknown
R24356	0.367	EST	Unknown
W86860	0.366	Nuclear VCP-like	ATP binding
W86660	0.366	EST	Unknown
R21770	0.365	Down syndrome critical region gene 4	Unknown
AA479795	0.364	IFN stimulated gene 20 kDa	Cell proliferation
W73966	0.363	EST	Unknown
W72227	0.363	ESTa	Unknown
H91216	0.362	EST	Unknown
W47158	0.362	Engulfment and cell motility 2a	Unknown
AA453288	0.362	ESTa	Unknown
N55067	0.362	RAD23 homolog B	DNA repair
AA419092	0.362	EDG4	Lipid binding
AA255954	0.361	Golgi complex associated protein 1	Unknown
AA446027	0.361	Early growth response 2	Transcription
R32952	0.361	S100 calcium-binding protein P	Protein binding
AA630016	-0.601	Chaperonin containing TCP1, subunit 8 (tau)a	Chaperone
AA431773	-0.577	Fatty acid desaturase 1	Fatty acid metab.
