probe set	gene		Accession	EntrezGene	CNR NY72-4P/CNR NY72-4NP	t statistic	P value
Gga.8030.1.S1_at	TFPI2	tissue factor pathway inhibitor 2	BX934121.2	420561	3.95	9.334	0.001598
Gga.502.1.S1_at	HMGA2	high mobility group AT-hook 2	NM_205001.1	395851	3.88	16.401	0.000895
Gga.11456.1.S1_at	LOC418268	similar to PLCPI=cysteine proteinase inhibitor	CK611983	418268	3.68	9.901	0.001085
Gga.5778.1.S1_a_at		Finished cDNA, clone ChEST943l21	CR406934.1		3.64	9.667	0.004343
Gga.512.1.S1_at	K60	K60 protein	NM_205018.1	395872	3.5	9.706	0.001754
Gga.9109.1.S1_at		Transcribed locus	BU299882		3.49	9.473	0.007952
Gga.16627.1.S1_at	LOC419930	hypothetical LOC419930	CN236982	419930	3.45	10.799	0.000439
GgaAffx.8668.1.S1_at	MYCT1	myc target 1	ENSGALT00000022130.1	421641	3.29	10.321	0.000587
GgaAffx.8298.1.S1_at	UPP1	uridine phosphorylase 1	ENSGALT00000021347.1	420942	3.25	8.407	0.00229
Gga.16929.1.S1_at		Finished cDNA, clone ChEST419e20	BU447809		3.2	12.296	0.004752
Gga.7159.1.S1_at	LOC419552	hypothetical LOC419552	CD736327	419552	3.02	12.638	0.001068
GgaAffx.21279.1.S1_at	UPP1	uridine phosphorylase 1	CR523336.1	420942	3	17.799	0.001087
Gga.3219.1.S1_at	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)	NM_204568.1	395255	2.96	5.551	0.011601
GgaAffx.24532.1.S1_at	LOC421712	hypothetical LOC421712	ENSGALT00000023930.1	421712	2.88	10.867	0.001943
Gga.14273.1.S1_at		Finished cDNA, clone ChEST39a8	BU259232		2.86	15.495	0.00308
Gga.817.1.S1_at	PLAU	plasminogen activator, urokinase	NM_205443.1	396424	2.8	9.837	0.00562
Gga.19725.1.S1_at	Finished cDNA, clone ChEST653g24	Finished cDNA, clone ChEST653g24	CR406602.1		2.77	5.488	0.005372
Gga.12998.1.S1_at	LOC420209	similar to carbonic anhydrase III	CR352666.1	420209	2.77	5.311	0.032865
Gga.9983.1.S1_at	LOC424161	similar to LOC129881 protein	CR387407.1	424161	2.74	23.863	0.000019
Gga.2039.1.S1_at	HMOX1	heme oxygenase (decycling) 1	NM_205344.1	396287	2.69	6.017	0.023121
Gga.1148.1.S2_at	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	BU419006	396169	2.67	7.841	0.009571
