NCBI.refseq	mouse.gene.symbol	chr	num.cellline.eligible	num.cellline.mono	num.cellline.mono.trend
NM_027855	0610007C21Rik	chr5	4	0	0
NM_001081394	0610007L01Rik	chr5	4	0	0
NM_021446	0610007P14Rik	chr12	4	0	0
NM_025319	0610009B22Rik	chr11	4	0	1
NM_025323	0610009D07Rik	chr12	3	0	0
NM_024179	0610009O20Rik	chr18	4	0	0
NM_027860	0610010F05Rik	chr11	4	0	1
NM_001177607	0610010K14Rik	chr11	0	0	0
NM_026686	0610011F06Rik	chr17	4	0	0
NR_027897	0610012G03Rik	chr16	4	0	0
NM_026696	0610030E20Rik	chr6	4	0	0
NM_020003	0610031J06Rik	chr3	4	0	0
NM_028754	0610037L13Rik	chr4	4	0	0
NM_025345	0610037P05Rik	chr16	4	0	0
NM_001081108	0910001L09Rik	chr5	4	0	1
NM_134054	1110002B05Rik	chr12	4	0	0
NR_030694	1110002L01Rik	chr12	1	0	0
NM_183275	1110002N22Rik	chr11	4	0	0
NM_133697	1110003E01Rik	chr5	4	0	0
NM_026502	1110004E09Rik	chr16	1	0	0
NM_019772	1110004F10Rik	chr7	4	0	0
NM_028865	1110005A03Rik	chr11	4	1	0
NR_027810	1110006O24Rik	chr5	0	0	0
NM_145955	1110007A13Rik	chr7	4	0	0
NM_026738	1110007C09Rik	chr13	4	1	0
NM_026124	1110008F13Rik	chr2	4	0	0
NM_029096	1110008J03Rik	chr5	4	0	1
NM_025373	1110008L16Rik	chr12	4	0	0
NM_178066	1110012D08Rik	chr10	4	0	0
NM_026787	1110012L19Rik	chrX	4	4	0
NM_001081041	1110014N23Rik	chr19	4	0	0
NM_178065	1110018G07Rik	chr12	4	0	0
NR_027930	1110020A21Rik	chr17	0	0	0
NM_001163741	1110021J02Rik	chr17	4	0	0
NM_026782	1110021J02Rik	chr17	4	0	1
NM_183116	1110021L09Rik	chr10	4	2	0
NM_025402	1110031I02Rik	chr11	4	0	0
NM_023483	1110032A03Rik	chr9	4	0	0
NM_199197	1110032A13Rik	chr18	4	1	0
NM_027269	1110034A24Rik	chr12	4	0	1
NM_028637	1110034G24Rik	chr2	4	0	0
NM_176830	1110036O03Rik	chr11	4	1	0
NM_001081183	1110037F02Rik	chr4	4	0	0
NR_027943	1110038B12Rik	chr17	4	0	0
NM_175133	1110038D17Rik	chr10	4	0	0
NM_054099	1110038F14Rik	chr15	4	0	0
NM_025411	1110049F12Rik	chr4	4	0	0
NM_175123	1110051M20Rik	chr2	4	0	1
NM_001013577	1110054O05Rik	chr4	4	0	0
NM_001167767	1110057K04Rik	chr12	0	0	0
NM_172401	1110057K04Rik	chr12	0	0	0
