Accession	Gene	Discription	Comparison 4	5	Treatment
M88694	Temt	thioether S-methyltransferase	-1.52	1.63	Acute P4 Treatment
AF016271	Cdh16	cadherin 16	2.84		Acute P4 Treatment
X82786	Mki67	antigen identified by monoclonal antibody Ki 67	1.87		Acute P4 Treatment
AI122538		RIKEN cDNA 2810417H13 gene	1.8		Acute P4 Treatment
U01915	Top2a	topoisomerase (DNA) II alpha	1.78		Acute P4 Treatment
M12731	Nmyc1	neuroblastoma myc-related oncogene 1	1.77		Acute P4 Treatment
AA681998	Cks2	CDC28 protein kinase regulatory subunit 2	1.72		Acute P4 Treatment
U34277	Pla2g7	phospholipase A2, group	1.7		Acute P4 Treatment
AI852919	Catnd2	catenin delta 2	1.64		Acute P4 Treatment
X60103	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	1.64		Acute P4 Treatment
L22545	Col18a1	procollagen, type XVIII, alpha 1	1.62		Acute P4 Treatment
U43673	Il18r1	interleukin 18 receptor 1	1.58		Acute P4 Treatment
AI043040	Pkhd1	polycystic kidney and hepatic disease 1	1.57		Acute P4 Treatment
AW120786	Cxcl14	chemokine (C-X-C motif) ligand 14	1.57		Acute P4 Treatment
AA989957		RIKEN cDNA 2700084L22 gene	1.55		Acute P4 Treatment
U52925		RIKEN full-length enriched library, clone:C730026K03	1.54		Acute P4 Treatment
AJ005564	Sprr2f	small proline-rich protein 2F	1.51		Acute P4 Treatment
L11316	Ect2	ect2 oncogene	1.51		Acute P4 Treatment
AA275196	Nusap1	nucleolar and spindle associated protein 1	1.44		Acute P4 Treatment
AJ238213	Exo1	exonuclease 1	1.43		Acute P4 Treatment
M60493	Cftr	cystic fibrosis transmembrane conductance regulator homolog	1.42		Acute P4 Treatment
AW212532		RIKEN cDNA 2810047L02 gene	1.42		Acute P4 Treatment
U03715	Col18a1	procollagen, type XVIII, alpha 1	1.42		Acute P4 Treatment
L08651		Similar to ribosomal protein (LOC240367), mRNA	1.41		Acute P4 Treatment
M13352	Tyms	thymidylate synthase	1.37		Acute P4 Treatment
AA929330	Mcm3	minichromosome maintenance deficient 3 (S. cerevisiae)	1.35		Acute P4 Treatment
J03520	Plat	plasminogen activator, tissue	1.34		Acute P4 Treatment
X58196	H19	H19 fetal liver mRNA	-1.41		Acute P4 Treatment
AI153421		CDNA clone MGC:67258 IMAGE:6413648, complete cds	-1.43		Acute P4 Treatment
W51672		expressed sequence W51672	-1.52		Acute P4 Treatment
AW125222	Galm	galactose mutarotase	-1.55		Acute P4 Treatment
AI848343	Sec23b	SEC23B (S. cerevisiae)	-1.69		Acute P4 Treatment
AV291935	Galm	galactose mutarotase	-1.69		Acute P4 Treatment
V00835	Mt1	metallothionein 1	-1.75		Acute P4 Treatment
AI021573	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	-1.76		Acute P4 Treatment
AV057837	Cldn3	claudin 3	-1.8		Acute P4 Treatment
D26352	Calb1	calbindin-28K	-1.88		Acute P4 Treatment
AA607557	Pla2g10	phospholipase A2, group X	-1.92		Acute P4 Treatment
K02236	Mt2	metallothionein 2	-2.03		Acute P4 Treatment
M31418		interferon activated gene 202A	-2.31		Acute P4 Treatment
AV373378	Clca3	chloride channel calcium activated 3	-2.37		Acute P4 Treatment
AW259788	Lrp2	low density lipoprotein receptor-related protein 2	-2.7		Acute P4 Treatment
X57437	Hdc	histidine decarboxylase	-2.71		Acute P4 Treatment
AF026073	Sult1d1	sulfotransferase family 1D, member 1	-3.04		Acute P4 Treatment
AV380640	Ktn1	kinectin 1	-4.84		Acute P4 Treatment
AJ235940		Cluster Incl AJ235940:Mus musculus IgVk aj4 gene		2.41	Acute P4 Treatment
AV240021	Ptprk	protein tyrosine phosphatase, receptor type, K		1.6	Acute P4 Treatment
X64227	Adam3	a disintegrin and metalloprotease domain 3 (cyritestin)		-1.5	Acute P4 Treatment
AV356682		transducer of ErbB-2.1		-2.8	Acute P4 Treatment
AV271750	Usp14	ubiquitin specific protease 14	7.46	-4.53	Chronic P4 Treatment
AA434661	Mapre1	microtubule-associated protein, RP/EB family, member 1	2.82	-2.93	Chronic P4 Treatment
M36901	Gzmd	granzyme D	1.38	-1.37	Chronic P4 Treatment
AI839876		RIKEN cDNA 2210408F11 gene	-1.69	1.32	Chronic P4 Treatment
