Gene/Protein Name	Classification	GenBank	Expression at 1 wk	Expression at 11 wks	Expression at 18 wks
Casitas B-lineage lymphoma	Oncogene	X57111	NA	NA	2.23
Villin 2	Oncogene	X60671	NA	NA	2.15
FBJ osteosarcoma oncogene	Tumor suppressor	V00727	NA	NA	Down
G-protein coupled receptor 25	Oncogene	U39827	Up	Up	Up
Chemokine-like receptor 1	Oncogene	U79525	Up	Up	Up
SWI/SNF related, matrix associated, actin dependent regulator of   chromatin, subfamily b, member 1	Tumor suppressor	AJ011739	NA	0.49	NA
Notch gene homolog 4 (Drosophila)	Oncogene	M80456	NA	Down	NA
Lymphoid blast crisis-like 1	Oncogene	U28495	NA	NA	Up
Myeloblastosis oncogene-like 1	Oncogene	L35261	NA	Down	NA
Myeloblastosis oncogene-like 2	Oncogene	X70472	3.20	2.94	NA
Neurofibromatosis 2	Tumor suppressor	L27105	NA	NA	2.65
Retinoblastoma-like 1 (p107)	Tumor suppressor	U27177	NA	Down	NA
Transformation related protein 53	Tumor suppressor	K01700	0.39	0.22	0.42
RAB17, member RAS oncogene family	Oncogene	X70804	NA	Up	NA
RAB24, member RAS oncogene family	Oncogene	Z22819	NA	Up	Up
Src homology 2 domain-containing transforming protein C1	Oncogene	U15784	NA	Down	NA
SKI-like	Oncogene	U36203	NA	Down	NA
Vav 1 oncogene	Oncogene	X64361	NA	Up	Up
