gene_assignment	Gene Symbol	RefSeq	p-value(Dose)	p-value(Scan Date)	alt-splicing(Dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_006904 // PRKDC // protein kinase, DNA-activated, catalytic polypeptide // 8q	PRKDC	NM_006904	0.0957297	0.00932901	5.67521E-20	9.80879E-16	11.0448	10.9777	10.8243	10.7534	0.108027	1.16823	1.16823	0 up vs 10
NM_017672 // TRPM7 // transient receptor potential cation channel, subfamily M,	TRPM7	NM_017672	0.198647	0.299516	9.42189E-17	8.1337E-13	10.1495	10.2008	9.83184	9.86969	0.205864	1.25798	1.25798	0 up vs 10
NM_015046 // SETX // senataxin // 9q34.13 // 23064 /// ENST00000224140 // SETX /	SETX	NM_015046	0.227861	0.745906	1.3206E-14	7.59836E-11	10.1695	10.1783	9.94619	9.95774	0.258849	1.16521	1.16521	0 up vs 10
NM_001127715 // STXBP5 // syntaxin binding protein 5 (tomosyn) // 6q24.3 // 1349	STXBP5	NM_001127715	0.537607	0.42771	1.17595E-13	5.09436E-10	9.79983	9.7848	9.70358	9.67451	0.506201	1.07944	1.07944	0 up vs 10
NM_004193 // GBF1 // golgi-specific brefeldin A resistance factor 1 // 10q24 //	GBF1	NM_004193	0.631145	0.353561	4.29691E-13	1.48513E-09	10.8153	10.7927	10.7665	10.7552	0.72688	1.02633	1.02633	0 up vs 10
NM_001376 // DYNC1H1 // dynein, cytoplasmic 1, heavy chain 1 // 14q32.3-qter|14q	DYNC1H1	NM_001376	0.3227	0.15963	1.02791E-12	2.96451E-09	10.9126	10.9381	10.8091	10.8372	0.361311	1.07246	1.07246	0 up vs 10
NM_015092 // SMG1 // PI-3-kinase-related kinase SMG-1 // 16p12.3 // 23049 /// EN	SMG1	NM_015092	0.15605	0.497714	1.29371E-12	3.18243E-09	9.75004	9.71181	9.53633	9.54006	0.270961	1.12642	1.12642	0 up vs 10
NM_015057 // MYCBP2 // MYC binding protein 2 // 13q22 // 23077 /// ENST000003573	MYCBP2	NM_015057	0.0333725	0.000638438	1.49288E-12	3.21635E-09	9.33184	9.4182	9.09385	9.17879	0.0412589	1.18051	1.18051	0 up vs 10
NM_003185 // TAF4 // TAF4 RNA polymerase II, TATA box binding protein (TBP)-asso	TAF4	NM_003185	0.359287	0.682326	6.15092E-12	1.18005E-08	7.81955	7.81642	7.76343	7.77525	0.520825	1.02895	1.02895	0 up vs 10
NM_003069 // SMARCA1 // SWI/SNF related, matrix associated, actin dependent regu	SMARCA1	NM_003069	0.00923016	0.0486451	8.79842E-12	1.51967E-08	10.4856	10.5228	10.1606	10.2028	0.0134951	1.24835	1.24835	0 up vs 10
NM_014159 // SETD2 // SET domain containing 2 // 3p21.31 // 29072 /// ENST000003	SETD2	NM_014159	0.0816655	0.47887	1.21574E-11	1.78446E-08	9.28775	9.28359	9.0815	9.05818	0.0741848	1.16912	1.16912	0 up vs 10
NM_012096 // APPL1 // adaptor protein, phosphotyrosine interaction, PH domain an	APPL1	NM_012096	0.480813	0.28506	1.24285E-11	1.78446E-08	9.51995	9.50351	9.39213	9.33872	0.394648	1.121	1.121	0 up vs 10
NM_004073 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// ENST0	PLK3	NM_004073	0.000108691	0.240093	2.09714E-11	2.78961E-08	9.14874	9.19014	9.92644	9.93807	0.000225335	0.595458	-1.67938	0 down vs 10
NM_003640 // IKBKAP // inhibitor of kappa light polypeptide gene enhancer in B-c	IKBKAP	NM_003640	0.00944977	0.00376102	2.63124E-11	3.24411E-08	9.74684	9.71124	9.52516	9.46832	0.0079469	1.18339	1.18339	0 up vs 10
NM_001105244 // PTPRM // protein tyrosine phosphatase, receptor type, M // 18p11	PTPRM	NM_001105244	0.213239	0.000369231	3.6716E-11	4.22515E-08	10.581	10.6985	10.4342	10.5306	0.182417	1.12344	1.12344	0 up vs 10
NM_014877 // HELZ // helicase with zinc finger // 17q24.2 // 9931 /// ENST000003	HELZ	NM_014877	0.365985	0.859915	4.96061E-11	5.35339E-08	9.57899	9.56024	9.44337	9.45297	0.495767	1.07719	1.07719	0 up vs 10
NM_024408 // NOTCH2 // Notch homolog 2 (Drosophila) // 1p13-p11 // 4853 /// NM_2	NOTCH2	NM_024408	0.462017	0.224442	7.64948E-11	7.77105E-08	10.9002	10.8764	10.8174	10.7915	0.476751	1.06061	1.06061	0 up vs 10
