CodeLink	GeneBank accession no.	Affymetrix	gene symbol
AF097723_PROBE1	NM_031640	1368399_a_at	Pgcp
L22339_PROBE1	NM_031732	1369296_at	Sult1c3
NM_012811_PROBE1	NM_012811	1386860_at	Mfge8
NM_017246_PROBE1	NM_017246	1386959_a_at	Map2k5
NM_019153_PROBE1	NM_019153	1367866_at	Fbln5
NM_019341_PROBE1	NM_019341	1369957_at	Rgs5
U75394_PROBE1	NM_053752	1367642_at	Suclg1
X91234_PROBE1	NM_024391	1387156_at	Hsd17b2
M23601_PROBE1	NM_013198	1368514_at	Maob
AF065147_PROBE1	NM_012924	1368921_a_at	Cd44
AF087433_PROBE1	NM_053667	1367967_at	Lepre1
NM_019283_PROBE1	NM_019283	1398771_at	Slc3a2
L20900_PROBE1	NM_030844	1367787_at	Ica1
BE115626_PROBE1	BE115626	1379260_at	Heca
BF281848_PROBE1	BF281848	1390141_at	Mthfd1l
J02657_PROBE1	NM_019184	1387328_at	Cyp2c11
NM_013052_PROBE1	NM_013052	1367693_at	Ywhah
NM_012657_PROBE1	NM_012657	1368048_at	Serpina3k
Y08172_PROBE1	NM_012816	1367775_at	Amacr
NM_017125_PROBE1	NM_017125	1367709_at	Cd63
M35266_PROBE1	NM_052809	1367755_at	Cdo1
NM_013186_PROBE1	NM_013186	1368242_at	Kcnb1
AW251324_PROBE1	AW251324	1372808_at	Mthfd2
U05014_PROBE1	NM_053857	1386888_at	Eif4ebp1
BE108905_PROBE1	BE108905	1371872_at	Nap1l1
BF416285_PROBE1	BF416285	1376481_at	Adamts9
NM_013145_PROBE1	NM_013145	1387505_at	Gnai1
AF285078_PROBE1	NM_053431	1368023_at	Qsox1
AW524559_PROBE1	AW524559	1389150_at
NM_021653_PROBE1	NM_021653	1369259_at	Dio1
AB012759_PROBE1	NM_031324	1368234_at	Prep
AF169409_PROBE1	NM_080786	1368295_at	Slco2b1
BE111762_PROBE1	BE111762	1375879_at
BF555947_PROBE1	BF555947	1373023_at
NM_017270_PROBE1	NM_017270	1369863_at	Adh4
X67654_PROBE1	NM_053293	1368354_at	Gstt1
AI170382_PROBE1	AI170382	1389648_at	Ripk4
AI412889_PROBE1	BI296275	1389221_at	Mmd2
AW915454_PROBE1	AW915454	1376394_at	Clec9a
L27081_PROBE1	NM_013182	1369498_at	Mc5r
NM_012770_PROBE1	NM_012770	1368779_a_at	Gucy1b2
NM_019290_PROBE1	NM_019290	1368072_at	Btg3
AF015949_PROBE1	NM_031714	1368060_at	Hrsp12
AF285631_PROBE1	NM_031725	1367688_at	Scamp4
AI171656_PROBE1	AI171656	1373696_at	RGD1564859
AI408557_PROBE1	AI408557	1373478_at
AI548730_PROBE1	AI548730	1375022_at	Afg3l2
BE106523_PROBE1	BM389496	1389678_at
BF282573_PROBE1	BF282573	1374489_at	Gtpbp2
BF392344_PROBE1	BF392344	1374883_at	Mtmr7
L46865_PROBE1	NM_017255	1368940_at	P2ry2
M77479_PROBE1	NM_017047	1368609_at	Slc10a1
NM_012552_PROBE1	NM_012552	1387819_at	Cela1
NM_012561_PROBE1	NM_012561	1387843_at	Fst
NM_012733_PROBE1	NM_012733	1367939_at	Rbp1
NM_013161_PROBE1	NM_013161	1368554_at	Pnlip
NM_017214_PROBE1	NM_017214	1368505_at	Rgs4
NM_021593_PROBE1	NM_021593	1368915_at	Kmo
NM_021661_PROBE1	NM_021661	1370133_at	Rgs19
NM_021997_PROBE1	NM_021997	1368571_at	Clip2
U40819_PROBE1	NM_019142	1369104_at	Prkaa1
U62667_PROBE1	NM_031123	1387623_at	Stc1
