Gene name	Affymetrix probe no.	Genbank	Description	Basal raw signal	Max fold inhibition by agonist	Max fold inhibition by antagonist	Function
VAV3	218807_at	NM_006113	Vav 3 oncogene	1,181	14.5	2.7	Oncogenes Cell -associated
SPDEF	220192_x_at	NM_012391	SAM pointed domain containing ets transcription factor	522	14.2	3	Oncogenes Cell -associated
AMIGO2	222108_at	AC_004010	Adhesion molecule with immunoglobulin-like domain 2	1,051	11.7	4.1	Oncogenes Cell -associated
MYB	204798_at	NM_005375	V-myb myeloblastosis viral oncogene homologue	716	9.9	2.2	Oncogenes Cell -associated
RET	211421_s_at	M31213	Ret proto-oncogene	350	8.5	1.8	Oncogenes Cell -associated
C4.4A	204952_at	NM_014400	GPI-anchored metastasis-associated protein homologue	190	8.1	3.2	Oncogenes Cell -associated
MAFB	218559_s_at	NM_005461	V-maf musculoaponeurotic fibrosarcoma oncogene homologue B	774	7.5	2.1	Oncogenes Cell -associated
FGFR3	204379_s_at	NM_000142	Fibroblast growth factor receptor 3	173	5	2.4	Oncogenes Cell -associated
GREB1	205862_at	NM_014668	GREB1 protein	285	4.8	2.8	Oncogenes Cell -associated
MSX2	210319_x_at	D89377	Msh homeo box homologue 2	395	4	3.2	Oncogenes Cell -associated
PDLIM2	219165_at	NM_021630	PDZ and LIM domain 2 (mystique)	136	4	2.2	Oncogenes Cell -associated
ENTPD5	205757_at	NM_001249	Ectonucleoside triphosphate diphosphohydrolase 5	51	3.4	3	Oncogenes Cell -associated
MALAT1	224559_at	AF001540	Metastasis-associated lung adenocarcinoma transcript 1	200	2.5	3.4	Oncogenes Cell -associated
PBX3	204082_at	NM_006195	Pre-B-cell leukemia transcription factor 3	311	3.4	2.5	Oncogenes Cell -associated
CCNA2	203418_at	NM_001237	Cyclin A2	415	3.3	2.3	Oncogenes Cell -associated
G6PD	202275_at	NM_000402	Glucose-6-phosphate dehydrogenase	1,380	2.2	3.2	Oncogenes Cell -associated
HMMR	207165_at	NM_012485	Hyaluronan-mediated motility receptor (RHAMM)	540	2.9	2.1	Oncogenes Cell -associated
CCND1	208711_s_at	BC000076	Cyclin D1	695	2.1	2.9	Oncogenes Cell -associated
ECT2	219787_s_at	NM_018098	Epithelial cell transforming sequence 2 oncogene	545	2.8	1.6	Oncogenes Cell -associated
PTTG1	203554_x_at	NM_004219	Pituitary tumor-transforming 1	1,236	2.7	2.2	Oncogenes Cell -associated
MYBL1	213906_at	AW592266	V-myb myeloblastosis viral oncogene homologue-like 1	387	2.6	2	Oncogenes Cell -associated
IRS1	204686_at	NM_005544	Insulin receptor substrate 1	2,117	2.6	1.6	Oncogenes Cell -associated
PIK3R1	212240_s_at	AI679268	Phosphoinositide-3-kinase, regulatory subunit 1 (p85?)	1,206	2	2.1	Oncogenes Cell -associated
CXCL12	209687_at	U19495	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	596	5.7	1.6	Oncogenes Secreated
TFF3	204623_at	NM_003226	Trefoil factor 3 (intestinal)	387	4	3	Oncogenes Secreated
BMP7	209591_s_at	M60316	Bone morphogenetic protein 7 (osteogenic protein 1)	1,008	1.8	2	Oncogenes Secreated
CAV1	212097_at	AU147399	Caveolin 1, caveolae protein, 22 kDa	516	21.8	4.3	Tumor suppressors (cell associated)
GPR30	210640_s_at	U63917	G protein-coupled receptor 30	163	7	2.6	Tumor suppressors (cell associated)
CRABP2	202575_at	NM_001878	Cellular RA binding protein 2	4354	6.1	3.5	Tumor suppressors (cell associated)
CAV2	203324_s_at	NM_001233	Caveolin 2	643	5	2.8	Tumor suppressors (cell associated)
PHLDA2	209803_s_at	AF001294	Pleckstrin homology-like domain, family A, member 2	351	4.4	2.7	Tumor suppressors (cell associated)
BARD1	205345_at	NM_000465	BRCA1-associated RING domain 1	543	4.1	2.3	Tumor suppressors (cell associated)
NAT1	214440_at	NM_000662	N-acetyltransferase 1 (arylamine N-acetyltransferase)	1484	4.1	2.2	Tumor suppressors (cell associated)
BLM	205733_at	NM_000057	Bloom syndrome	122	3.3	2	Tumor suppressors (cell associated)
SFN	33322_i_at	X57348	Stratifin	2,066	3.1	1.9	Tumor suppressors (cell associated)
TOB1	228834_at	BF240286	Transducer of ERBB2, 1	3,287	2.9	2.1	Tumor suppressors (cell associated)
