Affymetrix Accession No	Gene Name	Ad. (avg)	SqCa  (avg)	Normal (avg)	T-test  Ad. vs Normal	T-test SqCa vs  Normal
1135_at	G protein-coupled receptor kinase 5	68.6	29.9	363.4	6.72E-06	1.62E-06
1186_at	growth differentiation factor 10	4.3	1.3	74.5	2.54E-07	1.69E-07
1197_at	actin, gamma 2, smooth muscle, enteric	38.4	31.2	208.9	0.018375	0.014604
1198_at	endothelin receptor type B	60.2	12	197.7	9.23E-06	2.11E-07
1516_g_at	NA	286.3	362.9	101.3	0.000283	1.06E-08
1521_at	non-metastatic cells 1, protein (NM23A) expressed in	747.1	929.7	172	2.02E-07	6.53E-10
1530_g_at	hypothetical protein CG003	44.5	15.3	97.3	3.14E-05	6.39E-09
1546_at	hyaluronoglucosaminidase 1	22.6	12.2	103.7	9.55E-09	4.45E-09
1558_g_at	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	82.7	170.4	51.3	0.001667	2.65E-08
1595_at	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	33.7	11.5	178	2.39E-05	2.44E-06
1596_g_at	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	129.9	35.4	519.6	8.69E-07	9.13E-08
1651_at	ubiquitin-conjugating enzyme E2C	325.3	505.1	5.6	0.000221	4.08E-09
1721_g_at	MAD2 mitotic arrest deficient-like 1 (yeast)	73	108.8	7.8	7.57E-05	1.21E-08
1815_g_at	transforming growth factor, beta receptor II (70-80kD)	425	205.9	945.7	4.16E-07	1.86E-09
1945_at	cyclin B1	101.9	152.5	25.6	0.000283	1.56E-12
1955_s_at	MAD, mothers against decapentaplegic homolog 6 (Drosophila)	53.4	23.1	308	4.17E-05	1.25E-05
1958_at	c-fos induced growth factor (vascular endothelial growth factor D)	23.5	5.8	157	5.85E-07	1.70E-07
1970_s_at	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	7.6	56	74.3	0.000361	0.345272
1985_s_at	non-metastatic cells 1, protein (NM23A) expressed in	561.8	753	163	1.03E-05	8.92E-13
2092_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	1314.4	1270.2	179.2	2.85E-07	1.04E-06
268_at	platelet/endothelial cell adhesion molecule (CD31 antigen)	163.7	80.4	554.2	5.61E-07	4.76E-08
31775_at	surfactant, pulmonary-associated protein D	492.5	292.4	1557	1.99E-06	2.23E-07
31790_at	similar to RhoGAP	5.6	5.8	56.1	2.56E-07	1.19E-08
31791_at	tumor protein p63	68.9	1224.3	36.8	0.023427	9.80E-09
31925_s_at	Ras protein-specific guanine nucleotide-releasing factor 1	4.3	4	54	1.67E-06	1.62E-06
32154_at	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	278	308.6	29.6	0.001018	1.38E-05
32184_at	LIM domain only 2 (rhombotin-like 1)	98.4	53.3	282.1	3.36E-06	4.18E-08
32186_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	547.7	847.3	90.7	0.000543	6.63E-06
32242_at	crystallin, alpha B	0.3	40.2	86.8	4.07E-05	0.059204
32306_g_at	retinoblastoma binding protein 1	2072.3	1998	601.2	6.82E-06	5.54E-07
32562_at	endoglin (Osler-Rendu-Weber syndrome 1)	405	188.7	913.4	5.36E-06	3.28E-08
32570_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	287.8	20.4	602.5	0.003878	7.86E-07
32664_at	ribonuclease, RNase A family, 4	110.9	23.2	236	4.63E-05	3.86E-09
32714_s_at	activin A receptor type II-like 1	29	23.5	108.1	2.95E-07	1.27E-07
32812_at	KIAA1102 protein	67.3	4	369.8	2.24E-07	3.19E-08
33118_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	67	14.4	99.4	0.2492	4.13E-08
33158_at	Kallmann syndrome 1 sequence	221.5	101.4	852	2.25E-05	3.09E-06
33282_at	ladinin 1	102.3	463.7	54.7	0.001146	4.18E-07
33699_at	progastricsin (pepsinogen C)	717.5	213.7	1283.6	0.024855	4.30E-07
33756_at	amine oxidase, copper containing 3 (vascular adhesion protein 1)	146.1	48	456.6	5.11E-06	1.56E-07
33766_at	cold shock domain protein A	5.7	29.9	224	0.000233	4.49E-05
33803_at	thrombomodulin	121.3	126.3	332.6	1.41E-05	5.47E-05
33871_s_at	folate receptor 2 (fetal)	8	43.8	105.4	0.001017	2.39E-08
34203_at	calponin 1, basic, smooth muscle	19.7	16.1	87.8	0.00021	0.000274
34235_at	KIAA0758 protein	1014.6	310.2	1743.2	9.13E-05	2.33E-10
34247_at	protease, serine, 12 (neurotrypsin, motopsin)	2.1	4.5	23.2	0.000809	0.004509
34342_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	2328	2141.4	333.1	3.40E-08	1.53E-06
34490_f_at	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)	45.3	21.4	192.4	6.23E-07	7.60E-08
34604_at	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	65.8	26.5	345.9	0.000182	4.73E-05
34637_f_at	alcohol dehydrogenase 1A (class I), alpha polypeptide	179	36.1	948.4	2.42E-05	3.59E-06
34638_r_at	alcohol dehydrogenase 1A (class I), alpha polypeptide	11	7	91	0.001824	0.001217
34708_at	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	439.6	140	1935.1	2.00E-06	3.14E-07
34715_at	forkhead box M1	114.2	230.4	3.9	1.51E-05	2.93E-09
34736_at	cyclin B1	119.9	191.3	17.7	0.00013	5.83E-12
34935_at	flavin containing monooxygenase 2	11.2	0.4	107.5	0.000266	9.10E-05
34995_at	calcitonin receptor-like	113.7	65.1	284.3	0.000191	1.06E-05
35164_at	Wolfram syndrome 1 (wolframin)	18.2	48.1	281.7	8.86E-06	5.02E-07
35323_at	eukaryotic translation initiation factor 3, subunit 9 (eta, 116kD)	386.5	561.9	156	2.76E-05	2.48E-10
35333_r_at	DVS27-related protein	24.6	31.9	110.4	2.61E-05	0.000661
35699_at	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	88.3	108.2	26.9	0.000888	9.41E-07
35712_at	leucine-rich repeat protein, neuronal 3	4	0.6	39.3	9.00E-07	2.61E-07
35717_at	ATP-binding cassette, sub-family A (ABC1), member 8	39	9.9	168	6.76E-09	1.12E-09
35730_at	alcohol dehydrogenase IB (class I), beta polypeptide	164.6	36	788.9	2.09E-08	6.40E-09
35832_at	sulfatase FP	407.7	390.2	28.3	1.86E-08	6.48E-07
35868_at	advanced glycosylation end product-specific receptor	446	109.1	2485.3	6.46E-06	1.30E-06
35985_at	A kinase (PRKA) anchor protein 2	143.6	55.2	383.6	0.000396	1.26E-05
35995_at	ZW10 interactor	349.2	356.5	96.5	7.17E-06	7.62E-09
36065_at	LIM domain binding 2	35.5	4.3	278.1	1.26E-05	2.43E-06
36133_at	desmoplakin (DPI, DPII)	592.2	1252.9	169.7	0.000569	4.98E-10
36247_f_at	alcohol dehydrogenase 1C (class I), gamma polypeptide	45.2	38.3	174.7	0.000119	0.000172
36447_at	ficolin (collagen/fibrinogen domain containing) 1	10.7	0	114.4	1.30E-05	3.30E-05
36569_at	tetranectin (plasminogen binding protein)	457.8	155.7	1761.7	4.54E-06	4.68E-07
36712_at	Homo sapiens mRNA; cDNA DKFZp564G112 (from clone DKFZp564G112)	40.8	17.6	205.5	6.82E-08	2.10E-08
36837_at	kinesin-like 6 (mitotic centromere-associated kinesin)	81.4	98.7	8.8	0.000119	4.18E-09
36861_at	adlican	989	611	238.5	8.65E-05	1.51E-05
36939_at	glycoprotein M6A	20.9	3.3	111.4	3.72E-06	4.86E-07
37176_at	hyaluronoglucosaminidase 1	18	11.2	162.5	6.41E-09	3.65E-09
37196_at	cadherin 5, type 2, VE-cadherin (vascular epithelium)	169.9	77.4	485.5	2.07E-06	8.44E-08
37203_at	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	217.5	420.3	705.1	1.08E-06	0.023738
37231_at	KIAA0008 gene product	89.1	81.3	11	4.67E-05	3.48E-11
37247_at	transcription factor 21	36.6	6.5	381.7	6.82E-07	2.34E-07
37251_s_at	glycoprotein M6B	37.4	19.6	178	5.75E-06	1.43E-06
37302_at	centromere protein F (350/400kD, mitosin)	150.4	129.3	28.1	0.000161	4.41E-07
37405_at	selenium binding protein 1	1109.7	388.9	1755.7	0.001245	2.78E-11
37430_at	arachidonate 15-lipoxygenase, second type	6.4	0.1	67.1	0.002979	1.16E-09
37512_at	3-hydroxysteroid epimerase	81.8	24.8	233.3	0.000134	2.71E-06
37558_at	IGF-II mRNA-binding protein 3	147.3	244	23.3	0.0011	1.38E-07
37628_at	monoamine oxidase B	117.1	39	347.8	1.54E-05	3.86E-07
37630_at	Homo sapiens, Similar to chordin-like, clone MGC:11264 IMAGE:3942645, mRNA, complete cds	15.6	2.1	158	7.74E-06	3.13E-06
37777_at	protein tyrosine phosphatase, receptor type, B	3.4	1.2	83.3	9.86E-05	1.40E-05
37811_at	calcium channel, voltage-dependent, alpha 2/delta subunit 2	212.8	90	661.3	8.54E-09	8.07E-10
37892_at	collagen, type XI, alpha 1	389.5	238.9	12	0.000115	1.05E-05
37899_at	thymidylate synthetase	94.1	112.4	25.3	6.00E-08	1.68E-09
37920_at	paired-like homeodomain transcription factor 1	102.5	265.1	11.4	0.006951	3.98E-10
37951_at	deleted in liver cancer 1	139.6	42	506.5	0.000237	1.87E-05
37985_at	lamin B1	148.7	171.2	31.4	8.61E-05	1.06E-08
38116_at	KIAA0101 gene product	285.2	404.4	61.8	3.87E-05	1.66E-07
38177_at	receptor (calcitonin) activity modifying protein 2	91	14.6	385.4	1.03E-05	4.44E-07
38183_at	forkhead box F1	23.6	4.5	173.9	8.19E-05	2.27E-05
38239_at	Homo sapiens mRNA; cDNA DKFZp564B2062 (from clone DKFZp564B2062)	207.5	4	1122	3.42E-07	5.30E-08
38618_at	NA	215.7	387.6	91.2	6.48E-05	1.07E-09
38704_at	microtubule-actin crosslinking factor 1	433.1	266.4	821.7	9.17E-06	2.70E-08
38717_at	DKFZP586A0522 protein	278.3	228.8	931.4	5.47E-10	2.15E-10
38748_at	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	87	39.6	213.6	6.69E-06	1.19E-07
38995_at	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	234.6	111.2	818	1.68E-07	2.46E-08
39015_f_at	keratin 6A	360.8	3361.3	36.9	0.006533	1.57E-07
39038_at	fibulin 5	128.2	45.9	403.3	2.39E-08	1.67E-09
39056_at	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	293.9	420.9	74.5	8.82E-05	8.96E-08
39066_at	microfibrillar-associated protein 4	114.6	32.3	899.2	4.63E-06	6.75E-07
39109_at	chromosome 20 open reading frame 1	208.1	305	42.2	0.000106	1.42E-09
39208_i_at	pro-platelet basic protein (includes platelet basic protein, beta-thromboglobulin, connective tissue-activating peptide III, neutrophil-activating peptide-2)	15.1	4.5	123.3	0.000196	7.43E-05
39260_at	solute carrier family 16 (monocarboxylic acid transporters), member 4	108.2	17.1	96.8	0.818978	2.41E-11
39452_s_at	Homo sapiens beta II spectrin-short isoform mRNA, partial cds	23.3	9.6	100.6	2.87E-06	3.40E-07
39677_at	KIAA0186 gene product	87.1	111.4	8.8	8.73E-05	1.75E-10
39682_at	sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)	20.3	1.4	78.5	0.013365	7.42E-07
39698_at	hypothetical protein SMAP31	372	153.2	943.2	4.97E-06	4.17E-08
39704_s_at	high-mobility group (nonhistone chromosomal) protein isoforms I and Y	592.5	1194.7	207.8	0.006415	1.39E-08
39799_at	fatty acid binding protein 5 (psoriasis-associated)	293.4	1004.9	608.9	2.49E-06	0.059176
39857_at	syntaxin 11	2.5	4.5	95.1	0.000473	0.000521
39878_at	protocadherin 9	5.6	8.2	46.7	9.51E-05	4.53E-05
39945_at	fibroblast activation protein, alpha	348.7	208.4	78.2	1.22E-05	9.45E-05
39979_at	coagulation factor X	2.9	1.2	47.9	3.27E-05	2.97E-10
40079_at	Homo sapiens cDNA: FLJ22182 fis, clone HRC00953	900.2	249.8	1509.6	0.00438	1.04E-07
40145_at	topoisomerase (DNA) II alpha (170kD)	317.4	290.5	38.5	0.000112	1.56E-07
40195_at	H2A histone family, member X	148.5	241.1	15.3	6.70E-06	1.19E-10
40282_s_at	D component of complement (adipsin)	237.9	175.7	691.3	1.54E-06	2.99E-07
40304_at	bullous pemphigoid antigen 1 (230/240kD)	24.3	476.2	2.2	0.23568	5.59E-05
40331_at	macrophage receptor with collagenous structure	77.2	0.5	494.4	5.26E-06	5.56E-07
40398_s_at	mesenchyme homeo box 2 (growth arrest-specific homeo box)	18.1	10.8	98.2	3.20E-06	8.97E-07
40412_at	pituitary tumor-transforming 1	187.9	228.6	20.9	1.92E-05	6.33E-13
40685_at	aldehyde dehydrogenase 3 family, member B1	175.2	62.3	336.1	0.000218	3.15E-08
407_at	protein tyrosine phosphatase, receptor type, B	14.7	0.7	117.2	6.82E-05	1.45E-05
40726_at	kinesin-like 1	78.7	83.3	10.8	0.000251	5.73E-09
40742_at	hemopoietic cell kinase	3.7	177.4	173.1	1.51E-06	0.979387
40763_at	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	19.7	31.4	70.7	0.000288	0.002084
40793_s_at	aquaporin 4	38.9	26.5	164.3	4.09E-08	1.32E-08
40834_at	PDZ domain containing 2	77.6	35.5	222.8	6.78E-09	2.27E-10
40915_r_at	cell division cycle 2, G1 to S and G2 to M	51.7	70.4	11.9	0.000126	5.04E-07
40926_at	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	178.9	865.5	65.1	5.41E-05	1.43E-05
41012_r_at	cAMP-regulated guanine nucleotide exchange factor II	11	7.9	25.7	4.68E-05	3.25E-06
41060_at	cyclin E1	68.5	82.9	11.8	2.70E-05	4.28E-07
41106_at	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	76.3	22.2	20.1	2.24E-07	0.006624
41139_at	melanoma antigen, family D, 1	902.4	569.6	433	4.76E-06	0.110554
41209_at	lipoprotein lipase	259.3	125.4	821.8	1.90E-07	1.70E-08
41245_at	growth differentiation factor 10/bmp-3b	4.3	1.4	120.1	8.73E-06	4.35E-06
41536_at	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	35.7	8.3	81.8	0.000149	9.74E-08
41583_at	flap structure-specific endonuclease 1	287.9	344	76.8	0.000192	2.26E-08
41688_at	plasmolipin	73.7	52.1	192.9	2.18E-05	2.37E-06
41770_at	monoamine oxidase A	84.5	32	279.8	9.37E-08	4.32E-09
41837_at	hypothetical protein DKFZp761F2014	9.5	3.3	115.2	4.89E-05	3.92E-06
572_at	TTK protein kinase	107.1	134.9	19.1	0.000186	7.06E-09
599_at	H2.0-like homeo box 1 (Drosophila)	3.2	26.5	87.8	3.65E-05	0.002001
607_s_at	von Willebrand factor	156.4	111.1	663.7	1.92E-08	9.11E-09
658_at	thrombospondin 2	312.8	267.1	82.1	3.15E-05	3.07E-05
659_g_at	thrombospondin 2	584.5	479.3	155.3	1.02E-05	5.25E-05
735_s_at	NA	7.3	5.2	123.5	0.004165	0.000863
774_g_at	myosin, heavy polypeptide 11, smooth muscle	26.8	68.8	182.2	0.010692	0.090318
863_g_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5	130.8	798.5	21.8	0.026491	1.92E-05
893_at	ubiquitin carrier protein	341.7	633.7	120.3	0.000714	1.42E-08
904_s_at	topoisomerase (DNA) II alpha (170kD)	372.8	339.8	58.2	2.81E-05	1.25E-07
912_s_at	phospholipase A2, group IB (pancreas)	87.6	39	261.7	7.44E-05	4.00E-06
914_g_at	v-ets erythroblastosis virus E26 oncogene like	57.8	28.5	163.8	1.52E-05	8.21E-07
