Probe Set	Unigene acc. No.	Gene symbol	Gene	Fold Change	log2 Fold Change	std	p_value	lower cl	upper cl	Detection call
160612_at	Mm.15691	Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1	-1.79	-0.84	0.12	0.01	-1.23	-0.44	PP PPP
95064_at	Mm.142498	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	-3.69	-1.88	0.19	0	-2.49	-1.28	PP PPP
101515_at	Mm.8403	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	-1.62	-0.69	0.1	0.01	-1	-0.39	PP PPP
92688_at	Mm.45570	Acp2	acid phosphatase 2, lysosomal	-1.84	-0.88	0.11	0	-1.22	-0.55	PP PPP
96573_at	Mm.196173	Actg	actin, gamma, cytoplasmic	-1.47	-0.55	0.05	0	-0.71	-0.4	PP PPP
104578_f_at	Mm.253564	Actn1	actinin, alpha 1	-1.65	-0.72	0.14	0.01	-1.17	-0.27	PP PPP
93560_at	Mm.20309	Acyp1	acylphosphatase 1, erythrocyte (common) type	1.58	0.66	0.07	0	0.45	0.88	PP PPP
98632_at	Mm.388	Ada	adenosine deaminase	-1.55	-0.64	0.08	0	-0.89	-0.38	PP PPP
97947_at	Mm.3037	Adam10	a disintegrin and metalloprotease domain 10	-1.66	-0.73	0.11	0.01	-1.09	-0.38	PP PPP
98589_at	Mm.381	Adfp	adipose differentiation related protein	-6.52	-2.71	0.16	0	-3.2	-2.21	PP PPP
93540_at	Mm.20047	Adprh	ADP-ribosylarginine hydrolase	-2.33	-1.22	0.16	0	-1.74	-0.7	PP PPP
98435_at	Mm.3440	Adss	adenylosuccinate synthetase, muscle	-2.31	-1.21	0.15	0	-1.7	-0.72	PP PPP
95355_at	Mm.46247	Agtrap	angiotensin II, type I receptor-associated protein	-1.62	-0.7	0.12	0.01	-1.06	-0.33	PP PPP
96024_at	Mm.2573	Ahcy	S-adenosylhomocysteine hydrolase	2.2	1.14	0.12	0	0.74	1.53	PP PPP
96025_g_at	Mm.2573	Ahcy	S-adenosylhomocysteine hydrolase	2.68	1.42	0.09	0	1.12	1.72	PP PPP
103299_at	Mm.203915	AI132321	expressed sequence AI132321	3.19	1.67	0.09	0	1.4	1.95	PP PPP
102330_at	Mm.10747	Aif1	allograft inflammatory factor 1	1.8	0.85	0.15	0.01	0.37	1.32	PP PPP
96888_at	Mm.30085	Akr1a4	aldo-keto reductase family 1, member A4 (aldehyde reductase)	-2.4	-1.26	0.17	0.01	-1.82	-0.71	PP PPP
100884_at	Mm.5378	Akr1b8	aldo-keto reductase family 1, member B8	1.66	0.73	0.12	0.01	0.35	1.12	PP PPP
96057_at	Mm.2621	Aldh2	aldehyde dehydrogenase 2, mitochondrial	-2.74	-1.45	0.15	0	-1.92	-0.98	PP PPP
96058_s_at	Mm.2621	Aldh2	aldehyde dehydrogenase 2, mitochondrial	-3.6	-1.85	0.19	0	-2.46	-1.24	PP PPP
160090_f_at	Mm.16763	Aldo1	aldolase 1, A isoform	2.67	1.41	0.14	0	0.97	1.86	PP PPP
161889_f_at	Mm.16763	Aldo1	aldolase 1, A isoform	2.79	1.48	0.1	0	1.15	1.81	PP PPP
160546_at	Mm.7729	Aldo3	aldolase 3, C isoform	4.86	2.28	0.19	0	1.66	2.9	PP PPP
100948_at	Mm.142714	ank	progressive ankylosis	1.55	0.63	0.07	0	0.4	0.86	PP PPP
97556_at	Mm.218657	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	1.66	0.73	0.11	0.01	0.38	1.09	PP PPA
99993_at	Mm.4487	Anpep	alanyl (membrane) aminopeptidase	-11.17	-3.48	0.25	0	-4.28	-2.68	PP PPP
93037_i_at	Mm.14860	Anxa1	annexin A1	-5.14	-2.36	0.08	0	-2.63	-2.1	PP PPP
93038_f_at	Mm.14860	Anxa1	annexin A1	-4.36	-2.13	0.08	0	-2.38	-1.87	PP PPP
161703_f_at	Mm.14860	Anxa1	annexin A1	-2.91	-1.54	0.13	0	-1.95	-1.13	PP PPP
100569_at	Mm.584	Anxa2	annexin A2	-1.87	-0.9	0.09	0	-1.18	-0.62	PP PPP
100584_at	Mm.259702	Anxa4	annexin A4	-2.4	-1.26	0.1	0	-1.57	-0.96	PP PPP
93083_at	Mm.1620	Anxa5	annexin A5	-1.76	-0.81	0.09	0	-1.09	-0.54	PP PPP
94304_at	Mm.22619	Anxa6	annexin A6	-1.71	-0.78	0.08	0	-1.03	-0.53	PP PPP
93362_at	Mm.18946	Ap2m1	adaptor protein complex AP-2, mu1	-1.81	-0.85	0.08	0	-1.11	-0.59	PP PPP
103878_at	Mm.21185	Ap3b1	adaptor-related protein complex 3, beta 1 subunit	-1.66	-0.73	0.1	0.01	-1.04	-0.42	PP PPP
96185_at	Mm.28463	Ap3d	adaptor-related protein complex 3, delta subunit	-1.97	-0.98	0.09	0	-1.27	-0.69	PP PPP
160734_at	Mm.27171	Ap3s1	adaptor-related protein complex 3, sigma 1 subunit	-2.61	-1.38	0.1	0	-1.69	-1.08	PP PPP
102710_at	Mm.14255	Apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	-1.72	-0.78	0.1	0	-1.08	-0.48	PP PPP
102943_at	Mm.34548	Apg7l	autophagy 7-like (S. cerevisiae)	-1.56	-0.64	0.1	0.01	-0.94	-0.34	PP PPP
93498_s_at	Mm.19133	Aplp2	amyloid beta (A4) precursor-like protein 2	-1.79	-0.84	0.18	0.02	-1.41	-0.27	PP PPP
98398_s_at	Mm.3333	Apobec1	apolipoprotein B editing complex 1	-1.85	-0.89	0.11	0	-1.25	-0.53	PP PPP
97887_at	Mm.28394	Apoc2	apolipoprotein C-II	-1.82	-0.86	0.14	0.01	-1.31	-0.41	PP PPP
95356_at	Mm.168157	Apoe	apolipoprotein E	-42.13	-5.4	0.27	0	-6.26	-4.53	PP PPP
93063_at	Mm.131766	App	amyloid beta (A4) precursor protein	-1.61	-0.69	0.09	0	-0.97	-0.4	PP PPP
104328_at	Mm.22477	Aqp9	aquaporin 9	2.16	1.11	0.14	0	0.66	1.57	PP PPA
101213_at	Mm.5286	Arbp	acidic ribosomal phosphoprotein P0	1.8	0.85	0.07	0	0.62	1.08	PP PPP
101016_at	Mm.6836	Arf1	ADP-ribosylation factor 1	-1.67	-0.74	0.07	0	-0.96	-0.53	PP PPP
101112_g_at	Mm.757	Arha	ras homolog gene family, member A	-2.31	-1.21	0.09	0	-1.48	-0.93	PP PPP
101113_at	Mm.757	Arha	ras homolog gene family, member A	-1.69	-0.76	0.09	0	-1.04	-0.48	PP PPP
101030_at	Mm.687	Arhb	ras homolog gene family, member AB	-3.65	-1.87	0.12	0	-2.24	-1.5	PP PPP
96056_at	Mm.262	Arhc	ras homolog gene family, member C	-1.54	-0.63	0.07	0	-0.85	-0.4	PP PPP
95547_at	Mm.27701	Arhd	ras homolog gene family, member D	1.67	0.74	0.08	0	0.47	1	PP PPP
94258_at	Mm.2241	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	1.71	0.78	0.13	0.01	0.37	1.19	PP PPP
95434_at	Mm.24498	Arpc3	actin related protein 2/3 complex, subunit 3	-1.64	-0.71	0.12	0.01	-1.08	-0.34	PP PPP
94282_at	Mm.22547	Asah1	N-acylsphingosine amidohydrolase 1	-1.82	-0.87	0.13	0.01	-1.29	-0.44	PP PPP
98914_at	Mm.28606	Asf1a	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	1.45	0.53	0.08	0.01	0.27	0.79	PP PPA
97364_at	Mm.29680	Asf1b	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	2.05	1.04	0.12	0	0.65	1.43	PP PPA
95133_at	Mm.2942	Asns	asparagine synthetase	2.75	1.46	0.14	0	1	1.92	PP PPP
104155_f_at	Mm.2706	Atf3	activating transcription factor 3	-3.54	-1.83	0.17	0	-2.37	-1.28	PP PPP
93797_g_at	Mm.205791	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	-2.21	-1.15	0.24	0.02	-1.92	-0.37	PP PPP
93798_at	Mm.205791	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	-2.26	-1.18	0.16	0.01	-1.69	-0.66	PP PPP
103935_at	Mm.6306	Atp2a3	ATPase, Ca++ transporting, ubiquitous	2.51	1.33	0.17	0	0.78	1.87	PP PPP
94043_at	Mm.21961	Atp6ip1	ATPase, H+ transporting, lysosomal interacting protein 1	-3.07	-1.62	0.1	0	-1.93	-1.31	PP PPP
103275_at	Mm.20869	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	-1.86	-0.9	0.16	0.01	-1.42	-0.38	PP PPP
98104_at	Mm.3479	Atp6v0b	ATPase, H+ transporting, V0 subunit B	-2.45	-1.29	0.11	0	-1.64	-0.95	PP PPP
96919_at	Mm.30155	Atp6v0c	ATPase, H+ transporting, V0 subunit C	-2.27	-1.18	0.09	0	-1.45	-0.91	PP PPP
92603_at	Mm.1081	Atp6v0d1	ATPase, H+ transporting, V0 subunit D isoform 1	-2.23	-1.16	0.13	0	-1.58	-0.74	PP PPP
94301_at	Mm.22602	Atp6v0e	ATPase, H+ transporting, V0 subunit	-3.28	-1.71	0.09	0	-1.98	-1.44	PP PPP
95745_g_at	Mm.29771	Atp6v1a1	ATPase, H+ transporting, V1 subunit A, isoform 1	-2.48	-1.31	0.1	0	-1.64	-0.98	PP PPP
95746_at	Mm.29771	Atp6v1a1	ATPase, H+ transporting, V1 subunit A, isoform 1	-2.75	-1.46	0.17	0	-2.01	-0.91	PP PPP
92598_at	Mm.10727	Atp6v1b2	ATPase, H+ transporting, V1 subunit B, isoform 2	-2.18	-1.12	0.15	0	-1.59	-0.65	PP PPP
160124_r_at	Mm.196502	Atp6v1c1	ATPase, H+ transporting, V1 subunit C, isoform 1	-2.37	-1.24	0.12	0	-1.64	-0.85	PP PPP
96951_at	Mm.30206	Atp6v1d	ATPase, H+ transporting, V1 subunit D	-2.29	-1.2	0.11	0	-1.55	-0.84	AP APP
94532_at	Mm.29045	Atp6v1e1	ATPase, H+ transporting, V1 subunit E isoform 1	-1.58	-0.66	0.11	0.01	-1	-0.33	PP PPP
93984_at	Mm.2171	Atpi	ATPase inhibitor	2.03	1.02	0.11	0	0.67	1.37	PP PPP
98469_at	Mm.3488	Aurkb	aurora kinase B	2.5	1.32	0.22	0.01	0.62	2.02	PP PPP
