ProbeID	Hs. Gene	Hs. Symbol	Anno	Mm. Homolog	Mm. gene	Target	Score	Homo-Xhyb
A_23_P30884	1192	CLIC1	Xhyb	Clic1	114584	AK150382	88.33	Y
A_23_P11806	1301	COL11A1	Xhyb	Col11a1	12814	AK157734	93.62	Y
A_24_P206776	1410	CRYAB	Xhyb	Cryab	12955	NW_00103907.1	91.5	Y
A_23_P119362	2014	EMP3	Xhyb	Emp3	13732	NW_00103849.1	78.8	Y
A_23_P16963	2840	GPR17	Xhyb	Gpr176	381413			N
A_23_P97990	5654	HTRA1	Xhyb	Htra1	56213			N
A_23_P252306	3397	ID1	Xhyb	Id1	15901	NT_0392070.7	62.8	Y
A_23_P372255	3707	ITPKB	Xhyb	Itpkb	320404			N
A_24_P279704	4099	MAG	Xhyb	Mag	17136	NT_0394130.7	62.6	Y
A_23_P7636	9232	PTTG1	Xhyb	Pttg1	30939	XR_002209	92.73	Y
A_23_P147025	9363	RAB33A	Xhyb	Rab33a	19337	NM_011228.1	86	Y
A_23_P50919	5270	SERPINE2	Xhyb	Serpine2	20720			N
A_23_P19673	6446	SGK1	Xhyb	Sgk1	20393	BC070401	96.67	Y
A_23_P70398	7422	VEGFA	Xhyb	Vegfa	22339	NM_001025250	96.67	Y
A_23_P81805	7422	VEGFA	Xhyb	Vegfa	22339	NM_001025250	90.48	Y
A_24_P12401	7422	VEGFA	Xhyb	Vegfa	22339	NM_001025250	98.33	Y
A_24_P179400	7422	VEGFA		Vegfa	22339	NM_001025250	104	Y
