Accession no.	Gene name	Function
AA235332	Ras suppressor protein 1 (RSU1)	Signal transduction
AA424700	MAD homologue 5 (SMAD5)	Signal transduction
AA455067	Synuclein ? (SNCA)	Signal transduction
AA479741	TNFRSF1A modulator (BRE)	Signal transduction
AA490011	Latent transforming growth factor-? binding protein 1 (LTBP1)	Signal transduction
R44288	calmodulin 2 (CALM2)	Signal transduction
R59598	spleen tyrosine kinase (SYK)	Signal transduction
AA669341	p23 cochaperone (P23)	HSP
H07880	Chaperonin containing TCP1 subunit 6A (CCT6A)	HSP
AA126911	Heterogeneous nuclear ribonucleoprotein A1 (HNRPA1)	RNA processing/splicing
AA133577	Small nuclear ribonucleoprotein polypeptide G (SNRPG)	RNA processing/splicing
AA454585	Splicing factor arginine, serine-rich 2 (SFRS2)	RNA processing/splicing
AA487442	Heterogeneous nuclear ribonucleoprotein G (HNRPG)	RNA processing/splicing
AA504272	Heterogeneous nuclear ribonucleoprotein M (HNRPM)	RNA processing/splicing
AA598400	Splicing factor arginine/serine-rich 3 (SFRS3)	RNA processing/splicing
AA668189	Small nuclear ribonucleoprotein polypeptide F (SNRPF)	RNA processing/splicing
AA599116	Small nuclear ribonucleoprotein polypeptides B, B1 (SNRPB)	RNA processing/splicing
AA678021	Small nuclear ribonucleoprotein polypeptide E (SNRPE)	RNA processing/splicing
H05899	Heterogeneous nuclear ribonucleoprotein C1, C2 (HNRPC)	RNA processing/splicing
H54020	Splicing factor arginine/serine-rich 7 (SFRS7)RAD	RNA processing/splicing
W02101	Heterogeneous nuclear ribonucleoprotein A2, B1 (HNRPA2B1)	RNA processing/splicing
W72693	Heterogeneous nuclear ribonucleoprotein A, B (HNRPAB)	RNA processing/splicing
AA410636	Isoleucine-tRNA synthetase (IARS)	Protein synthesis
AA450205	Translocation protein 1 (TLOC1)RAD	Protein synthesis
AA599178	Ribosomal protein L27a (RPL27A)	Protein synthesis
AA625634	Ribosomal protein L35 (RPL35)	Protein synthesis
AA633768	Ribosomal protein L24 (RPL24)	Protein synthesis
AA664241	Nascent-polypeptide-associated complex ? (NACA)	Protein synthesis
AA668301	Ribosomal protein S16 (RPS16)	Protein synthesis
AA669359	Ribosomal protein L36a (RPL36A)	Protein synthesis
AA683050	Ribosomal protein S8 (RPS8)	Protein synthesis
AA775364	Ribosomal protein L30 (RPL30)	Protein synthesis
H09590	Eukaryotic translation initiation factor 4A isoform 1 (EIF4A1)	Protein synthesis
H29485	La autoantigen (SSB)	Protein synthesis
T70056	RNase L inhibitor (ABCE1)	Protein synthesis
AA156940	Programmed cell death 5 (PDCD5)	Apoptosis
R52654	Cytochrome c (HCS)RAD 	Apoptosis
R53311	cytochrome c (HCS) 	Apoptosis
AA430504	Ubiquitin carrier protein E2-C (UBCH10)	Protein degradation
AA598815	Proteasome subunit ? type 5 (PSMA5)	Protein degradation
AA863149	Proteasome ? type 7 subunit (PSMA7)	Protein degradation
AA481076	MAD2-like 1 (MAD2L1)	Cell cycle
AA488332	Proliferation-associated 2G4 (PA2G4)	Cell cycle
N21624	14-3-3 ? (YWHAE)	Cell cycle
AA629262	Polo (Drosophia)-like kinase	Cell cycle
AA625662	HAT-1	Chromatin
AA868008	H4 histone family member G (H4FG)RAD,INACTIVE	Chromatin
N64051	Werner syndrome (WRN)	Chromatin
AA099534	Activated RNA polymerase II transcription cofactor 4 (PC4)	Transcription
AA630017	Transcription elongation factor B polypeptide 2 (TCEB2)	Transcription
AA773894	Zinc finger protein 43 (HTF6)	Transcription
AA873691	RNA polymerase II polypeptide L (POLR2L)	Transcription
AA894687	Subunit of NFAT (NF45)	Transcription
T55801	General transcription factor IIA 2 (GTF2A2)	Transcription
AA171613	Carbonic anhydrase XII (CA12)	Metabolism
R15814	Malate dehydrogenase 1 (MDH1)	Metabolism
AA431433	ATP synthase H+ transporting, mitochondrial F0 complex subunit e(ATP5I)	Metabolism
AA453471	GM2 ganglioside activator protein (GM2A)	Metabolism
AA460728	Voltage-dependent anion channel 3 (VDAC3)	Metabolism
AA487206	Glyceronephosphate O-acyltransferase (GNPAT)	Metabolism
AA644234	ATP synthase H+ transporting, mitochondrial F1 complex, ? 1(ATP5C1)	Metabolism
H05914	Lactate dehydrogenase A (LDHA)	Metabolism
H05914	Lactate dehydrogenase A (LDHA)	Metabolism
R15814	Malate dehydrogenase 1 (MDH1)	Metabolism
AA663983	Triosephosphate isomerase 1 (TPI1)	Metabolism
AA113872	Clathrin light polypeptide (CLTA)	Structure
H67086	Similar to Saccharomyces cerevisiae SSM4 (TEB4)	Structure
N20335	Clathrin, light polypeptide (CLTB)	Structure
AA434144	Claudin 3 (CLDN3)	Structure
AA634103	Thymosin ? 4 (TMSB4X)	Structure
AA644679	Cytoplasmic dynein light polypeptide (PIN)	Structure
AA234671	ATP-binding cassette sub-family D member 3 (ABCD3)	Transport
AA487623	Gap junction protein ? 1 (GJA1)	Transport
T71316	ADP-ribosylation factor 4 (ARF4)	Transport
AA676460	Karyopherin ? 2 (KPNA2)r	Transport
AA442991	Prothymosin ? (LOC51115)	Proliferation
AA775355	DNA repair protein (XRCC5)	DNA synthesis/repair
AA465203	Mitochondrial single-stranded DNA-binding protein (SSBP)	DNA synthesis/repair
AA459663	Thioredoxin peroxidase (AOE372)	Detoxification
H19203	Peroxiredoxin 3 (PRDX3)	Detoxification
AA460286	Guanine nucleotide binding protein 10 (GNG)	Unknown
AA187351	Ribonucleotide reductase M2 polypeptide	Unknown
H49443	ESTINACTIVE	Unknown
T68317	EST	Unknown
