Genbank ID	Original length (bp)	Current length (bp)	Longest ORF (aa)	Description	SSC assignment	LOD score
CB285205	416	1153	235	Unknown function	SSCX	7.56
CB285557	223	2536	420	20,30-cyclic-nucleotide 30-phosphodiesterase	SSC7	7.41
CB285581	670	3686	307	Follistatin-like 1	SSC13	11.97
CB285599	545	7887	780	Actin-binding LIM protein 1	SSC14	12.1
CB285980	548	6408	1480	THO complex 2	SSCX	13.58
CB286137	144	1005	205	Unknown function	SSC14	18.55
CB286295	661	3187	249	Unknown function	SSC7	17.35
CB286471	629	1141	47	Unknown function	SSC14	17.27
CB286544	121	3270	796	Vacuolar sorting protein 35	SSC6	4.18
CB286646	574	3986	372	Burkitt lymphoma receptor 1	SSC9	6.68
