Gene name	Abbreviation in texta	Chromosomal localization	Accession numberb
Basigin	BSG	19p13.3	NM_001728
B-cell translocation gene 2	BTG2	1q32	NM_006763
CD74 antigen	CD74	5q32	NM_004355
CD9 antigen	CD9	12p13	NM_001769
Checkpoint suppressor 1	CHES1	14q24.3–q31	NM_005197
Cathepsin D	CTSD	11p15.5	NM_001909
Early growth response 1	EGR1	5q31.1	NM_001964
FC fragment of IgG, receptor transporter, ?	FCGRT	19q13.3	NM_004107
Growth arrest-specific 6	GAS6	13q34	NM_000820
Integrin ? 6	ITGA6	2q31.1	NM_000210
LPS-induced TNF ? factor	LITAF	16p13.3–p12	NM_004862
Nuclear hormone receptor	NR0B2	1p36.1	NM_021969
Tissue inhibitor of matrixmetalloproteinases 3	TIMP3	22q22.1–q13.2	NM_000362
