Name,†	Symbol	Genbank ID	Fold change‡
Sulfatase 1	SULF1	AI653116	5.5
Osteoblast-specific factor 2	OSF2	AA598653	7.6
Fibronectin 1	FN1	R62612	7.2
Metallothionein 1L	MT1L	N80129	7.8
Nuclear transport factor 2	NUTF2	AI289110	6.6
Regulator of G-protein signaling 1	RGS1	AA017544	7.9
Metallothionein 1E	MT1E	AA872383	7.5
Milk fat globule-epidermal growth factor 8 protein	MFGE8	AA449667	7.5
Inhibin, ? A inhibin, ? A	INHBA	N27159	6.2
Fibrinogen B, ? polypeptide	FGB	NM_005141	4.4
Stress-induced phosphoprotein 1	ST1P1	M86752	6.2
A kinase anchor protein (gravin) 12	AKAP12	AA478543	5.2
Tissue inhibitor of metalloproteinase 2	TIMP2	AA486280	3.5
Complement component 1S	C1S	T62048	6.1
Serine protease inhibitor, Kazal type 1	SPINK1	AA845156	0.2
Acyl-CoA dehydrogenase A	CADSB	NM_001609	5.4
Regulatory factor X, 5	RFX5	AA418045	5.1
Proteoglycan 1, secretory granule	PRG1	A278759	4.5
Collagen, type I, ?2	COL1A2	AA490172	5.3
Metallothionein 1F	MT1F	N55459	5
Metallothionein 1H	MT1H	H77597	7
Lumican	LUM	AA447781	4.8
Collagen, type VI, ?3	COL6A3	R62603	3.5
Cathepsin K	CTSK	R00859	5.3
Cathepsin E	CTSE	H94487	0.1
