Accession no.	Gene	Description	WT-vehvs.WT-P4	WT-P4vs.PRKO-P4	WT-P4vs.PRKOveh	Functional Category
L31532	Bcl2	B cell leukemia/lymphoma 2	?1.51	?1.36	?1.52	Apoptosis
M61737	Cidec	Cell death-inducing DFFA-like effector c	?2.93	?2.51	?3.08	Apoptosis
L02918	Col5a2	Procollagen, type V, ?2	1.59	1.38	1.5	Cell adhesion
U43298	Lamb3	Laminin, ?3	?1.40	?1.42	?1.35	Cell adhesion
AF061260	Igsf4a	Ig superfamily, member 4A	?1.53	?1.76	?1.68	Cell adhesion
L19932	Tgfbi	TGF? induced	?3.60	?2.75	?2.96	Cell adhesion
D50263	Nbl1	Neuroblastoma, suppression of tumorigenicity 1	?1.39	?1.65	?1.68	Cell cycle
M12848	Myb	Myeloblastosis oncogene	?1.62	?1.72	?1.52	Cell cycle
AI841279	Bach	Brain acyl-CoA hydrolase	3.24	4	4.29	Metabolism
J04696	Gstm2	Glutathione S-transferase, ?2	2.77	3.27	3.59	Metabolism
AW259788	Lrp2	Low density lipoprotein receptor-related protein 2	2.15	5.84	6.67	Metabolism
AI845009	Asl	Argininosuccinate lyase	1.8	1.36	2	Metabolism
AV291935	Galm	Galactose mutarotase	1.54	2.23	2.29	Metabolism
X99273	Aldh1a2	Aldehyde dehydrogenase family 1, subfamily A2	1.51	1.33	1.24	Metabolism
U11680		Glycerol-3-phosphate acyltransferase	?1.41	?1.42	?1.52	Metabolism
M18070	Prnp	Prion protein	?1.41	?1.48	?1.48	Metabolism
AI853172	Ugcg	UDP-glucose ceramide glucosyltransferase	?1.43	?1.57	?1.44	Metabolism
D88994	Ampd3	AMP deaminase 3	?1.52	?1.52	?1.46	Metabolism
D00466	Apoe	Apolipoprotein E	?1.57	?1.69	?1.65	Metabolism
M74570	Aldh1a1	Aldh1 family 1, subfamily A1	?1.77	?2.17	?2.28	Metabolism
AI846934	Lpin1	Lipin 1	?1.87	?1.51	?1.75	Metabolism
Y08135	Smpdl3a	Sphingomyelin phosphodiesterase, acid-like 3A	?1.95	?1.51	?1.59	Metabolism
M25944	Car2	Carbonic anhydrase 2	?1.98	?1.65	?1.61	Metabolism
M21285	Scd1	Stearoyl-CoA desaturase 1	?2.03	?1.62	?1.89	Metabolism
U69543	Lipe	Lipase, hormone sensitive	?2.12	?1.80	?2.16	Metabolism
AJ006474	Car3	Carbonic anhydrase 3	?2.13	?2.04	?2.29	Metabolism
J00356	Amy1	Amylase 1, salivary	?2.52	?1.92	?2.36	Metabolism
U15977	Acsl1	Acyl-CoA synthetase long-chain family member 1	?2.63	?2.36	?2.97	Metabolism
M88694	Temt	Thioether S-methyltransferase	?2.72	?2.18	?2.64	Metabolism
M63335	Lpl	Lipoprotein lipase	?2.97	?2.52	?3.04	Metabolism
U34277	Pla2g7	Phospholipase A2, group VII	?3.10	?4.92	?4.69	Metabolism
AF009605	Pck1	Phosphoenolpyruvate carboxykinase 1, cytosolic	?3.11	?3.36	?3.53	Metabolism
Y12582	Capn6	Calpain 6	1.39	1.33	1.55	Proteolysis
AJ131851	Ctsf	Cathepsin F	?1.51	?1.45	?1.52	Proteolysis
M29961	Enpep	Glutamyl aminopeptidase	?1.66	?1.59	?1.47	Proteolysis
AI854839	Cndp2	CNDP dipeptidase 2	?1.70	?1.62	?1.43	Proteolysis
X04673	Adn	Adipsin	?2.27	?2.75	?3.07	Proteolysis
L08757	Hoxa-10	Homeo box A10	1.73	1.81	1.39	Transcriptional regulation
AV140884	Hoxa-11s	Homeo box A11, opposite strand transcript	1.6	1.64	1.87	Transcriptional regulation
AW124113	Basp1	Brain abundant membrane-attached signal protein	1.59	1.46	1.67	Transcriptional regulation
U20371	Hoxa11	Homeo box A11	1.57	1.6	1.65	Transcriptional regulation
AW123564	Hod	Homeobox only domain	1.47	1.95	1.97	Transcriptional regulation
AF085745	Nr1h3	Nuclear receptor subfamily 1, group H, member 3	?1.45	?1.53	?1.38	Transcriptional regulation
Y07836	Bhlhb2	Basic helix-loop-helix domain containing, class B2	?1.73	?1.69	?1.68	Transcriptional regulation
AB015426	Fut9	Fucosyltransferase 9	?1.91	?1.95	?1.72	Transcriptional regulation
M61007	Cebpb	CCAAT/enhancer binding protein (C/EBP), ?	?1.95	?1.81	?1.96	Transcriptional regulation
D50418	Six4	Sine oculis-related homeobox 4 homolog	?2.37	?2.60	?2.47	Transcriptional regulation
X06342		Serine protease inhibitor, Kazal type 3	4.62	5.1	4.89	Signal transduction
X15591	Ctla2a	Cytotoxic T lymphocyte-associated protein 2?	3.27	2.31	3	Signal transduction
D10204	Ptger3	Prostaglandin E receptor 3 (subtype EP3)	3.16	2.15	2.78	Signal transduction
AI323667	Irg1	Immunoresponsive gene 1	2.84	4.1	3.79	Signal transduction
X97991	Calca	Calcitonin/calcitonin-related polypeptide-?	2.41	2.83	2.72	Signal transduction
L41352	Areg	Amphiregulin	2.36	2.48	2.57	Signal transduction
M81591	Mme	Membrane metalloendopeptidase	2.24	2.09	2.54	Signal transduction
X04480	Igf1	IGF-I	2.21	1.76	1.94	Signal transduction
Z29532		Follistatin	1.8	1.8	1.76	Signal transduction
X60676	Serpinh1	Serine proteinase inhibitor, clade H, member 1	1.71	1.47	1.61	Signal transduction
AW214298		Hairy/enhancer of split related	1.67	1.77	2.26	Signal transduction
D26352	Calb1	Calbindin-28K	1.57	1.85	2.74	Signal transduction
AW046032	F2r	Coagulation factor II (thrombin) receptor	1.49	1.51	1.53	Signal transduction
AI956230	Ppp2r5a	Protein phosphatase 2, regulatory subunit B	?1.34	?1.33	?1.46	Signal transduction
U90662	Efna1	Ephrin A1	?1.39	?1.42	?1.56	Signal transduction
AI840585		RIKEN cDNA 3110043O21 gene	?1.40	?1.38	?1.32	Signal transduction
AI843884	Rab11fip5	RAB11 family interacting protein 5 (class I)	?1.40	?1.39	?1.37	Signal transduction
U24703	Reln	Reelin	?1.41	?1.37	?1.40	Signal transduction
AW227647	Grina	Glutamate receptor N-methyl D-asparate-associated protein 1	?1.44	?1.36	?1.40	Signal transduction
M23362	Fgfr2	Fibroblast growth factor receptor 2	?1.46	?1.43	?1.54	Signal transduction
AI843359	Grina	Glutamate receptor N-methyl D-asparate-associated protein 1	?1.50	?1.44	?1.43	Signal transduction
AI846023	Arf7	ADP-ribosylation factor-like 7	?1.53	?2.09	?2.10	Signal transduction
M60523		Inhibitor of DNA binding 3	?1.54	?1.79	?2.05	Signal transduction
U05245	Tlam1	T Cell lymphoma invasion and metastasis 1	?1.55	?1.82	?1.61	Signal transduction
AI646638	Frat2	Frequently rearranged in advanced T-cell lymphomas 2	?1.57	?1.53	?1.63	Signal transduction
AF110818	Gpr49	G Protein-coupled receptor 49	?1.58	?1.66	?1.73	Signal transduction
AW125849		RIKEN cDNA 9130213B05 gene	?1.60	?1.47	?1.70	Signal transduction
AI854794	Tenc1	Tensin-like C1 domain-containing phosphatase	?1.66	?1.51	?1.62	Signal transduction
AI563854	Tacstd2	Tumor-associated calcium signal transducer 2	?1.67	?1.84	?1.97	Signal transduction
D45859	Pprn1b	Protein phosphatase 1B, ?-isoform	?1.70	?1.75	?1.73	Signal transduction
AW121336	Wfdc2	WAP four-disulfide core domain 2	?1.72	?1.34	?1.36	Signal transduction
AA718169	Retn	Resistin	?1.82	?1.65	?2.13	Signal transduction
AV376312		RIKEN cDNA 4930422J18 gene	?1.85	?1.60	?1.57	Signal transduction
M26071	F3	Coagulation factor III	?1.91	?1.64	?1.52	Signal transduction
M81445	Gjb2	Gap junction membrane channel protein-? 2	?1.98	?2.33	?2.69	Signal transduction
Z80112	Cxcr4	Chemokine (C-X-C motif) receptor 4	?2.00	?3.15	?2.42	Signal transduction
