probe set	Entrez Gene	Gene Symbol	Gene Title
1552797_s_at	150696	PROM2	prominin 2
1552931_a_at	5151	PDE8A	phosphodiesterase 8A
1553132_a_at	123036	MTAC2D1	membrane targeting (tandem) C2 domain containing 1
1553155_x_at	245972	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 2
1553536_at	NA	NA	NA
1554190_s_at	79949	C10orf81	chromosome 10 open reading frame 81
1554411_at	1499	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa
1554609_at	374408	MGC12965	similar to Cytochrome c, somatic
1555890_at	441295	OR2A9P	Olfactory receptor, family 2, subfamily A, member 9 pseudogene
1555950_a_at	1604	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)
1556033_at	388685	FLJ39739	FLJ39739 protein
1556190_s_at	NA	NA	CDNA FLJ32335 fis, clone PROST2005604
1556308_at	285368	FLJ33674	hypothetical protein FLJ33674
1556325_at	27145	FILIP1	filamin A interacting protein 1
1556665_at	115669	TTC6	tetratricopeptide repeat domain 6
1558345_a_at	439911	LOC439911	hypothetical gene supported by NM_194304
1558460_at	10057	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
1559280_a_at	NA	NA	CDNA FLJ35259 fis, clone PROST2004251
1559425_at	NA	NA	CDNA FLJ36614 fis, clone TRACH2016380
1560342_at	60685	ZFAND3	Zinc finger, AN1-type domain 3
1563022_at	347475	LOC347475	hypothetical gene supported by BC017958
1565638_at	4063	LY9	Lymphocyte antigen 9
1565639_a_at	4063	LY9	Lymphocyte antigen 9
1566851_at	287015	TRIM42	tripartite motif-containing 42
1569057_s_at	348477 /// 375056	KIAA0268 /// UNQ6077	C219-reactive peptide /// AAAP6077
1569144_a_at	375791	MGC59937	Similar to RIKEN cDNA 2310002J15 gene
1569362_at	214	ALCAM	Activated leukocyte cell adhesion molecule
1570107_at	NA	NA	NA
200059_s_at	387	RHOA	ras homolog gene family, member A /// ras homolog gene family, member A
200090_at	2339	FNTA	farnesyltransferase, CAAX box, alpha /// farnesyltransferase, CAAX box, alpha
200614_at	1213	CLTC	clathrin, heavy polypeptide (Hc)
200620_at	9528	TMEM59	transmembrane protein 59
200625_s_at	10487	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)
200696_s_at	2934	GSN	gelsolin (amyloidosis, Finnish type)
200698_at	11014	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200699_at	11014	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200706_s_at	9516	LITAF	lipopolysaccharide-induced TNF factor
200755_s_at	813	CALU	calumenin
200862_at	1718	DHCR24	24-dehydrocholesterol reductase
200863_s_at	8766	RAB11A	RAB11A, member RAS oncogene family
200864_s_at	8766	RAB11A	RAB11A, member RAS oncogene family
200878_at	2034	EPAS1	endothelial PAS domain protein 1
200911_s_at	6867	TACC1	transforming, acidic coiled-coil containing protein 1
201061_s_at	2040	STOM	stomatin
201096_s_at	378	ARF4	ADP-ribosylation factor 4
201098_at	9276	COPB2	coatomer protein complex, subunit beta 2 (beta prime)
201108_s_at	7057	THBS1	thrombospondin 1
201110_s_at	7057	THBS1	thrombospondin 1
201150_s_at	7078	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
201151_s_at	4154	MBNL1	muscleblind-like (Drosophila)
201152_s_at	4154	MBNL1	muscleblind-like (Drosophila)
201207_at	7126	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)
201286_at	6382	SDC1	syndecan 1
201287_s_at	6382	SDC1	syndecan 1
201311_s_at	6451	SH3BGRL	SH3 domain binding glutamic acid-rich protein like
201312_s_at	6451	SH3BGRL	SH3 domain binding glutamic acid-rich protein like
201324_at	2012	EMP1	epithelial membrane protein 1
201375_s_at	5516	PPP2CB	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform
201409_s_at	5500	PPP1CB	protein phosphatase 1, catalytic subunit, beta isoform
201428_at	1364	CLDN4	claudin 4
201531_at	7538	ZFP36	zinc finger protein 36, C3H type, homolog (mouse)
201718_s_at	2037	EPB41L2	erythrocyte membrane protein band 4.1-like 2
201760_s_at	55884	WSB2	WD repeat and SOCS box-containing 2
201825_s_at	51097	SCCPDH	saccharopine dehydrogenase (putative)
201826_s_at	51097	SCCPDH	saccharopine dehydrogenase (putative)
201829_at	10276	NET1	neuroepithelial cell transforming gene 1
201830_s_at	10276	NET1	neuroepithelial cell transforming gene 1
201884_at	1048	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5
201887_at	3597	IL13RA1	interleukin 13 receptor, alpha 1
201888_s_at	3597	IL13RA1	interleukin 13 receptor, alpha 1
201920_at	6574	SLC20A1	solute carrier family 20 (phosphate transporter), member 1
201925_s_at	1604	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)
201926_s_at	1604	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)
201939_at	10769	PLK2	polo-like kinase 2 (Drosophila)
201951_at	214	ALCAM	activated leukocyte cell adhesion molecule
201952_at	214	ALCAM	activated leukocyte cell adhesion molecule
201963_at	2180	ACSL1	acyl-CoA synthetase long-chain family member 1
201985_at	9897	KIAA0196	KIAA0196
202061_s_at	6400	SEL1L	sel-1 suppressor of lin-12-like (C. elegans)
