Clone	Chromosomeband	Startposition	Genes	No.tumors
RP11-193J5	1q24	163,240,622		4
RMC01P52	1p34	39,779,782	MYCL1	3
RP11-43B4	6p22	20,117,736	ID4	3
RP11-159C8	6p22	20,442,777	E2F3	5
CTD-2018P8	6p22	20,622,576	CDKAL1	4
RP11-3D15	6p22	21,715,615	SOX4	5
RP11-273J1	6p22	22,030,457	LOC401237	4
RP11-10G10	8q22	101,112,122	SPAG1,RNF19	3
RP11-145G10	8q24	128,499,737		3
RP11-85M7	10p14	6,649,014	SFMBT2	3
RP11-33J8	10p14	7,199,612		3
RP11-35I11	10p14	8,922,795		3
RP1-88B16	11q13	69,133,863	CCND1prox	9
CTD-2192B11	11q13	69,133,897	CCND1	8
RP1-4E16	11q13	69,134,005	CCND1	8
RP1-128I8	11q13	69,134,005	CCND1	7
RP1-162F2	11q13	69,134,063	CCND1end	6
RP1-17L4	11q13	69,134,124	FGF4	7
CTB-36F16	11q13	69,134,163	FGF3	8
CTC-437H15	11q13	69,134,772	EMS1,CTN1	5
RP11-120P20	11q13	70,129,383	SHANK2	4
GS-7N12	11q13-14	74,760,360	PAK1	5
CTD-2222B22	11q23	116,613,723	PCSK7	3
CTB-136O14	12q14	67,488,237	MDM2	6
RP11-15L3	12q15	68,217,525	FRS2,CCT2LRRC10,VMD2L3	6
CTB-82N15	12q14	68,366,100		4
RP11-183A20	13q33	106,617,308	TNFSF13B	3
RP11-140E1	19q13	43,372,950	DPF1,PPP1R14A,SPINT2,KCNK6	3
RP11-118P21	19q13	43,861,826	ACTN4	3
