Probe Set ID	Gene Symbol	Gene Title	FC	p value
201215_at	PLS3	Plastin 3 (T isoform)	10,1	4 x 10-6
232090_at	DNM3	Dynamin 3	5,2	6 x 10-7
213943_at	TWIST1	Twist homolog 1	5,1	6 x 10-7
229256_at	PGM2L1	Phosphoglucomutase 2-like 1	3,6	6 x 10-7
219654_at	PTPLA	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	3,1	3 x 10-5
231929_at	IKZF2	IKAROS family zinc finger 2 (Helios)	3,1	5 x 10-6
204529_at	TOX	Thymus high mobility group box protein TOX	3,1	5 x 10-7
228948_at	EPHA4	EPH receptor A4	3	1 x 10-5
236408_at	KLHDC5	Kelch domain containing 5	3	8 x 10-8
207314_x_at	KIR3DL2	Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	2,9	0,0002
210073_at	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	2,8	6 x 10-7
223313_s_at	MAGED4	Melanoma antigen family D,4	2,8	0,002
1553530_a_at	ITGB1	Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	2,7	5 x 10-8
226021_at	RDH10	Retinol dehydrogenase 10 (all-trans)	2,6	0,01
203544_s_at	STAM	Signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	2,6	0,0002
236341_at	CTLA4	Cytotoxic T-lymphocyte-associated protein 4	2,6	0,003
213135_at	TIAM1	T-cell lymphoma invasion and metastasis 1	2,5	5 x 10-9
231148_at	IGFL2	Insulin growth factor-like family member 2	2,5	0,006
211688_x_at	KIR3DL1	Killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	2,5	0,0004
212074_at	UNC84A	Unc-84 homolog A (C. elegans)	2,4	9 x 10-10
210342_s_at	TPO	Thyroid peroxidase	2,4	0,0002
227725_at	ST6GALNAC1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	2,4	0,003
212624_s_at	CHN1	Chimerin (chimaerin) 1	2,5	0,0004
213534_s_at	PASK	PAS domain containing serine/threonine kinase	2,3	0,006
203828_s_at	IL32	Interleukin 32	2,3	9 x 10-6
2045860_at	FKBP5	FK506 binding protein 5	2,3	7 x 10-7
240070_at	VSIG9	V-set and immunoglobulin domain containing 9	2,2	0,0003
212445_s_at	NEDD4L	Neural precursor cell expressed, developmentally down-regulated 4-like	2,2	0,0002
206545_at	CD28	CD28 molecule	2,2	0,0001
205390_s_at	ANK1	Ankyrin 1, erythrocytic	2,2	3 x 10-5
218820_at	C14orf132	Chromosome 14 open reading frame 132	2,2	5 x 10-5
201731_s_at	TPR / BTRC	Translocated promoter region (to activated MET oncogene) (TPR) / beta-transducin repeat containing	2,2	3 x 10-7
207996_s_at	C18orf1	Chromosome 18 open reading frame 1	2,2	6 x 10-10
227236_at	TSPAN2	Tetraspanin 2	2,2	0,0003
210643_at	TNFSF11	Tumor necrosis factor (ligand) superfamily, member 11	2,2	0,002
224428_s_at	CDCA7	Cell division cycle associated 7	2,2	0,0003
227711_at	FAM112B	Family with sequence similarity 112, member B	2,1	2 x 10-6
227697_at	SOCS3	Suppressor of cytokine signaling 3	2,1	0,005
204154_at	CDO1	Cysteine dioxygenase, type I	2,1	0,02
214083_at	PPP2R5C	Protein phosphatase 2, regulatory subunit B, gamma isoform	2,1	2 x 10-5
218186_at	RAB25	RAB25, member RAS oncogene family	2,1	0,0007
216971_s_at	PLEC1	Plectin 1, intermediate filament binding protein 500kDa	2,1	0,003
1555830_s_at	FAM62B	Family with sequence similarity 62 (C2 domain containing) member B	2,1	2 x 10-5
225864_at	FAM84B	Family with sequence similarity 84, member B	2,1	0,0007
230930_at	LOC338620	Hypothetical protein LOC338620	2,1	0,0004
204612_at	PKIA	Protein kinase (cAMP-dependent, catalytic) inhibitor alpha	2,1	4 x 10-6
228834_at	TOB1	Transducer of ERBB2, 1	2,1	0,006
205081_at	CRIP1 / GALK2	Cysteine-rich protein 1 (intestinal) / Galactokinase 2	2	2 x 10-7
204688_at	SGCE	Sarcoglycan, epsilon	2	0,0001
202478_at	TRIB2	Tribbles homolog 2 (Drosophila)	2	4 x 10-5
212094_at	PEG10	Paternally expressed 10	2	0,0008
207651_at	GPR171	G protein-coupled receptor 171	2	0,003
204014_at	DUSP4	Dual specificity phosphatase 4	2	0,02
