Acc no.	Gene description	Invasive cells/general population	P value
AA414612	Capping protein alpha1	4	0.008
AW556230	Cell division cycle 42	3.96	0.007
AU015486	Capping Protein alpha2	3.89	0.016
C79581	Moesin	3.67	0.02
C86972	Arp 2/3 complex subunit p16	3.52	0.011
AW538432	Rho interactin protein 3	3.33	0.005
AU015879	LIM-kinase 1	3.24	0.006
AA285584	Palladin	3.12	0.003
AW555565	Zyxin	2.93	0.014
W10023	Catenin beta	2.88	0.029
C76867	Tropomyosin alpha chain	2.86	0.001
AU023806	Rho-associated coiled-coil forming kinase 1	2.71	0.002
AW536576	Testis expressed gene 9	2.67	0.006
AI324089	Phosphatidylinositol-4-phosphate 5-kinase type II alpha	2.6	0.005
AI427644	Epidermal growth factor receptor	2.59	0.019
AW541453	Capping protein (actin filament), gelsolin-like	2.53	0.02
C86107	Actinin alpha3	2.52	0.003
AW543636	Annexin A5	2.47	0.013
AA052404	CRIPT protein	2.32	0.011
AA014771	Protein kinase C, zeta	2.3	0.011
AW546733	Arp 2/3 complex subunit p21	2.22	0.014
AA538228	RAB25, member RAS oncogene family	2.19	0.035
AA275245	Vinculin	2.16	0.021
AA386680	Kinesin family member 5B	2.13	0.015
AW536843	Chaperonin subunit 4 (delta)	2.06	0.009
AW536183	Chaperonin subunit 3 (gamma)	2.06	0.042
AI326287	Tubulin alpha-4 chain	2.05	0.046
AW553280	Integrin beta1 (fibronectin receptor beta)	2	0.013
AW536098	Cofilin 1, nonmuscle	2	0.023
AU017992	Kinectin 1	2	0.005
AW557123	Downstream of tyrosine kinase 1	2	0.013
AW549817	Burkitt lymphoma receptor 1	2	0.021
AA272097	Fibroblast growth factor receptor 1	0.54	0.004
AA073514	Zip code binding protein 1	0.11	0.004
